,bib,id,name,rank,speed,split1,split2,split3,split4,split5,status,uci
0,1,2001,NICOLE Myriam,1,41.50,23.472,60.224,92.252,135.352,160.706,Finished,10004535237
1,4,2004,ATHERTON Rachel,2,43.03,22.847,61.748,95.397,139.415,164.265,Finished,10003434487
2,2,2002,SEAGRAVE Tahnee,3,42.89,22.902,61.248,95.686,139.696,164.484,Finished,10007414016
3,8,2008,CABIROU Marine,4,42.03,24.295,63.484,97.391,140.362,165.935,Finished,10009563069
4,28,2028,RAVANEL Cecile,5,42.03,24.986,63.606,97.407,142.042,168.416,Finished,10002816317
5,14,2014,HRASTNIK Monika,6,42.32,25.733,67.321,101.54,147.683,173.635,Finished,10017602955
6,5,2005,SIEGENTHALER Emilie,7,42.59,24.839,70.361,106.006,151.454,177.593,Finished,10004167243
7,30,2030,CURD Katy,8,42.83,25.08,67.731,104.743,152.632,177.849,Finished,10006044292
8,13,2013,SALAZAR Mariana,9,42.59,24.796,69.349,105.951,152.711,178.096,Finished,10007687838
9,3,2003,HANNAH Tracey,10,42.26,23.703,63.029,97.077,153.333,178.898,Finished,10003732258
10,9,2009,MILLER Miranda,11,32.93,23.732,68.136,105.187,152.908,179.384,Finished,10005872726
11,10,2010,CAPPELLARI Carina,12,41.75,25.452,69.571,106.067,154.042,179.959,Finished,10006911535
12,18,2018,RUBESAM Sandra,13,42.01,25.825,68.839,106.023,156.572,182.582,Finished,10052523258
13,17,2017,WIDMANN Veronika,14,41.17,27.571,71.3,108.366,158.06,185.117,Finished,10007423312
14,25,2025,BATTOLLA Eva,15,39.03,27.348,73.175,111.843,165.236,192.258,Finished,10010936631
15,26,2026,SCHWEMMER Kim,16,39.83,27.26,74.513,114.81,165.879,205.299,Finished,10007401686
