,bib,id,name,rank,speed,split1,split2,split3,split4,split5,status,uci
0,1,1001,GWIN Aaron,1,47.21,20.81,52.86,80.785,116.514,139.193,Finished,10006516663
1,13,1013,SHAW Luca,2,49.60,20.613,54.162,82.787,118.094,139.991,Finished,10008813442
2,16,1016,LUCAS Dean,3,48.00,20.68,53.964,81.87,117.83,140.328,Finished,10008103322
3,19,1019,BLENKINSOP Samuel,4,49.55,21.224,54.699,82.891,118.749,141.107,Finished,10004485929
4,34,1034,NORTON Dakotah,5,47.50,20.904,54.898,83.172,119.061,141.821,Finished,10010038167
5,7,1007,MOIR Jack,6,46.57,21.293,54.912,82.986,119.34,142.081,Finished,10008176575
6,9,1009,GREENLAND Laurie,7,46.93,21.152,54.779,83.42,119.614,142.191,Finished,10009404738
7,5,1005,VERGIER Loris,8,36.25,21.076,56.543,84.294,119.956,142.271,Finished,10008723112
8,2,1002,BROSNAN Troy,9,48.58,21.022,55.352,83.637,120.046,142.404,Finished,10007307417
9,6,1006,HART Danny,10,46.71,20.704,54.741,82.511,119.447,142.965,Finished,10005470073
10,32,1032,PAYET Florent,11,46.52,20.784,55.064,84.103,120.597,143.026,Finished,10004035685
11,45,1045,MULALLY Neko,12,47.08,21.542,55.314,84.549,120.848,143.616,Finished,10007287613
12,3,1003,MINNAAR Greg,13,44.52,21.379,54.424,82.729,119.805,143.663,Finished,10002818640
13,20,1020,HARRISON Charlie,14,48.48,21.833,56.331,85.836,122.221,144.696,Finished,10009645925
14,41,1041,SMITH Joseph,15,47.57,21.683,55.744,84.643,121.336,144.874,Finished,10005852518
15,12,1012,GUTIERREZ VILLEGAS Marcelo,16,47.83,21.467,56.692,85.392,122.441,144.994,Finished,10005855649
16,58,1058,THIRION Remi,17,46.54,21.61,56.472,85.41,122.435,145.012,Finished,10005415715
17,29,1029,WILLIAMSON Greg,18,48.13,21.172,55.971,85.577,122.384,145.171,Finished,10006909111
18,43,1043,ATHERTON Gee,19,47.30,21.441,56.881,85.846,121.954,145.273,Finished,10003434386
19,97,1097,KOLB Andreas,20,46.80,21.781,55.982,85.459,122.289,145.597,Finished,10009187092
20,11,1011,PIERRON Amaury,21,47.52,20.807,54.254,82.114,120.823,145.72,Finished,10008827283
21,18,1018,BRAYTON Adam,22,48.38,20.89,56.154,85.568,123.703,146.018,Finished,10005386110
22,8,1008,WALLACE Mark,23,47.25,21.69,56.767,85.752,122.957,146.045,Finished,10008172636
23,31,1031,COULANGES Benoit,24,46.20,21.305,55.929,85.62,123.502,146.684,Finished,10008194359
24,78,1078,CARBALLO GONZALEZ Edgar,25,45.90,21.138,55.863,85.605,123.662,146.989,Finished,10004684878
25,35,1035,FAIRCLOUGH Brendan,26,46.00,21.881,55.817,85.607,123.64,146.998,Finished,10003642635
26,22,1022,FEARON Connor,27,47.72,21.285,55.663,85.374,123.501,147.027,Finished,10007656314
27,37,1037,FIGARET Faustin,28,45.23,21.556,56.481,85.512,122.96,147.247,Finished,10007327221
28,40,1040,MASTERS Edward,29,48.38,20.82,55.592,84.455,122.961,147.737,Finished,10005560003
29,79,1079,MANSON Magnus,30,46.86,21.599,56.913,86.941,124.225,147.829,Finished,10009819313
