,bib,id,name,q_rank,q_speed,q_split1,q_split2,q_split3,q_split4,q_split5,q_start,q_start_rev,q_status,uci,q_points,r_points,rank,speed,split1,split2,split3,split4,split5,start,start_rev,status,points,qr_diff,q_split1_rank,q_split1_vs_best,q_split1_vs_winner,q_split2_rank,q_split2_vs_best,q_split2_vs_winner,q_split2_sector,q_split2_sector_rank,q_split2_sector_vs_best,q_split2_sector_vs_winner,q_split3_rank,q_split3_vs_best,q_split3_vs_winner,q_split3_sector,q_split3_sector_rank,q_split3_sector_vs_best,q_split3_sector_vs_winner,q_split4_rank,q_split4_vs_best,q_split4_vs_winner,q_split4_sector,q_split4_sector_rank,q_split4_sector_vs_best,q_split4_sector_vs_winner,q_split5_rank,q_split5_vs_best,q_split5_vs_winner,q_split5_sector,q_split5_sector_rank,q_split5_sector_vs_best,q_split5_sector_vs_winner,split1_rank,split1_vs_best,split1_vs_winner,split2_rank,split2_vs_best,split2_vs_winner,split2_sector,split2_sector_rank,split2_sector_vs_best,split2_sector_vs_winner,split3_rank,split3_vs_best,split3_vs_winner,split3_sector,split3_sector_rank,split3_sector_vs_best,split3_sector_vs_winner,split4_rank,split4_vs_best,split4_vs_winner,split4_sector,split4_sector_rank,split4_sector_vs_best,split4_sector_vs_winner,split5_rank,split5_vs_best,split5_vs_winner,split5_sector,split5_sector_rank,split5_sector_vs_best,split5_sector_vs_winner,speed_ms,speed_ms_vs_best,speed_rank,q_speed_rank,BirthDate,CategoryCode,FamilyName,GivenName,Id,Nation,Outfit,PrintName,Protected,RaceId,RaceNr,ScoreboardName,StartOrder,StartTime,UciCode,UciRank,UciRiderId,UciTeamCode,UciTeamId,UciTeamName,WorldCupRank,Age
0,1,2001,NICOLE Myriam,3,41.5,23.892,62.448,97.414,143.798,169.144,1,26,Finished,10004535237,30.0,200.0,1.0,25.34,23.472,60.224,92.252,135.352,160.706,14.0,3.0,Finished,230.0,-8.438000000000017,4.0,0.9029999999999987,0.0,1.0,0.0,0.0,38.556,1.0,0.0,0.0,1.0,0.0,0.0,34.966,4.0,0.26500000000000057,0.0,3.0,0.7860000000000014,0.0,46.384,7.0,2.430000000000007,0.0,3.0,1.8050000000000068,0.0,25.346000000000004,9.0,1.0190000000000055,0.0,3.0,0.625,0.0,1.0,0.0,0.0,36.751999999999995,1.0,0.0,0.0,1.0,0.0,0.0,32.028,1.0,0.0,0.0,1.0,0.0,0.0,43.10000000000001,2.0,0.1290000000000191,0.0,1.0,0.0,0.0,25.353999999999985,4.0,0.5659999999999741,0.0,7.038888888888889,2.1527777777777795,8.0,10.0,1990-02-08T00:00:00,WE,NICOLE,Myriam,1196904306182328,FRA,NCh,NICOLE Myriam,False,0,1,NICOLE M,1,48600000,FRA19900208,1,10004535237,CVN,1590,COMMENCAL / VALLNORD,1,28
1,4,2004,ATHERTON Rachel,1,43.03,22.989,63.123,97.824,143.012,167.339,4,23,Finished,10003434487,50.0,160.0,2.0,24.32,22.847,61.748,95.397,139.415,164.265,16.0,1.0,Finished,210.0,-3.0740000000000123,1.0,0.0,-0.9029999999999987,2.0,0.6749999999999972,0.6749999999999972,40.134,3.0,1.578000000000003,1.578000000000003,2.0,0.4099999999999966,0.4099999999999966,34.701,1.0,0.0,-0.26500000000000057,1.0,0.0,-0.7860000000000014,45.188,4.0,1.2340000000000089,-1.195999999999998,1.0,0.0,-1.8050000000000068,24.326999999999998,1.0,0.0,-1.0190000000000055,1.0,0.0,-0.625,3.0,1.524000000000001,1.524000000000001,38.900999999999996,4.0,2.149000000000001,2.149000000000001,2.0,3.1450000000000102,3.1450000000000102,33.64900000000001,2.0,1.6210000000000093,1.6210000000000093,2.0,4.062999999999988,4.062999999999988,44.01799999999999,4.0,1.046999999999997,0.917999999999978,2.0,3.5589999999999975,3.5589999999999975,24.849999999999994,2.0,0.0619999999999834,-0.5039999999999907,6.7555555555555555,2.4361111111111127,16.0,1.0,1987-12-06T00:00:00,WE,ATHERTON,Rachel,1196904306182331,GBR,NCh,ATHERTON Rachel,False,0,4,ATHERTON R,4,48690000,GBR19871206,7,10003434487,TDH,1598,TREK FACTORY RACING DH,4,30
2,2,2002,SEAGRAVE Tahnee,6,42.89,23.379,64.166,100.003,146.578,171.331,2,25,Finished,10007414016,16.0,140.0,3.0,24.75,22.902,61.248,95.686,139.696,164.484,12.0,5.0,Finished,156.0,-6.84699999999998,2.0,0.39000000000000057,-0.5129999999999981,3.0,1.7179999999999964,1.7179999999999964,40.78699999999999,6.0,2.2309999999999945,2.2309999999999945,4.0,2.5889999999999986,2.5889999999999986,35.837,9.0,1.1360000000000028,0.8710000000000022,6.0,3.5660000000000025,2.780000000000001,46.575,8.0,2.6210000000000093,0.1910000000000025,6.0,3.9919999999999902,2.1869999999999834,24.752999999999986,2.0,0.4259999999999877,-0.5930000000000177,2.0,0.054999999999999716,-0.5700000000000003,2.0,1.024000000000001,1.024000000000001,38.346,2.0,1.5940000000000012,1.5940000000000012,3.0,3.4340000000000117,3.4340000000000117,34.43800000000001,7.0,2.410000000000011,2.410000000000011,3.0,4.343999999999994,4.343999999999994,44.00999999999999,3.0,1.0390000000000015,0.9099999999999824,3.0,3.77800000000002,3.77800000000002,24.78800000000001,1.0,0.0,-0.5659999999999741,6.875,2.316666666666668,15.0,2.0,1995-06-15T00:00:00,WE,SEAGRAVE,Tahnee,1196904306182329,GBR,,SEAGRAVE Tahnee,False,0,2,SEAGRAVE T,2,48630000,GBR19950615,3,10007414016,FMD,1863,TRANSITION BIKES / MUC-OFF FACTORY RACING,2,23
3,8,2008,CABIROU Marine,4,42.03,24.779,65.175,100.712,144.666,170.129,6,21,Finished,10009563069,25.0,125.0,4.0,25.46,24.295,63.484,97.391,140.362,165.935,13.0,4.0,Finished,150.0,-4.193999999999988,7.0,1.7899999999999991,0.8870000000000005,5.0,2.7269999999999968,2.7269999999999968,40.396,5.0,1.8400000000000034,1.8400000000000034,6.0,3.298000000000002,3.298000000000002,35.537000000000006,7.0,0.8360000000000056,0.5710000000000051,4.0,1.6539999999999964,0.867999999999995,43.95399999999999,1.0,0.0,-2.430000000000007,4.0,2.789999999999992,0.9849999999999852,25.462999999999994,11.0,1.1359999999999957,0.11699999999999022,6.0,1.4480000000000004,0.8230000000000004,5.0,3.260000000000005,3.260000000000005,39.189,5.0,2.4370000000000047,2.4370000000000047,5.0,5.13900000000001,5.13900000000001,33.907000000000004,4.0,1.8790000000000049,1.8790000000000049,4.0,5.009999999999991,5.009999999999991,42.97099999999999,1.0,0.0,-0.1290000000000191,4.0,5.229000000000013,5.229000000000013,25.573000000000008,7.0,0.7849999999999966,0.2190000000000225,7.072222222222223,2.1194444444444454,6.0,7.0,1997-03-12T00:00:00,WE,CABIROU,Marine,1196904306182333,FRA,,CABIROU Marine,False,0,8,CABIROU M,6,48750000,FRA19970312,5,10009563069,VVR,2096,VOULVOUL RACING,8,21
4,28,2028,RAVANEL Cecile,5,42.03,25.199,65.341,100.24,145.616,171.002,23,4,Finished,10002816317,20.0,110.0,5.0,25.38,24.986,63.606,97.407,142.042,168.416,8.0,9.0,Finished,130.0,-2.5860000000000127,10.0,2.210000000000001,1.3070000000000022,6.0,2.8929999999999936,2.8929999999999936,40.141999999999996,4.0,1.5859999999999985,1.5859999999999985,5.0,2.8259999999999934,2.8259999999999934,34.899,2.0,0.1980000000000004,-0.06700000000000017,5.0,2.6040000000000134,1.818000000000012,45.37600000000002,5.0,1.4220000000000255,-1.0079999999999814,5.0,3.663000000000011,1.858000000000004,25.385999999999996,10.0,1.0589999999999975,0.03999999999999204,9.0,2.1389999999999993,1.5139999999999993,6.0,3.382000000000005,3.382000000000005,38.620000000000005,3.0,1.8680000000000092,1.8680000000000092,6.0,5.155000000000001,5.155000000000001,33.800999999999995,3.0,1.7729999999999961,1.7729999999999961,5.0,6.689999999999998,6.689999999999998,44.635000000000005,5.0,1.6640000000000157,1.5349999999999966,5.0,7.710000000000008,7.710000000000008,26.373999999999995,12.0,1.5859999999999843,1.0200000000000102,7.05,2.1416666666666684,7.0,7.0,1981-01-06T00:00:00,WE,RAVANEL,Cecile,1196904306182350,FRA,,RAVANEL Cecile,False,0,28,RAVANEL C,23,49260000,FRA19810106,166,10002816317,,0,,0,37
5,14,2014,HRASTNIK Monika,8,42.32,25.491,67.223,102.256,148.593,173.685,10,17,Finished,10017602955,12.0,95.0,6.0,25.09,25.733,67.321,101.54,147.683,173.635,7.0,10.0,Finished,107.0,-0.05000000000001137,13.0,2.501999999999999,1.5990000000000002,8.0,4.774999999999999,4.774999999999999,41.732,7.0,3.176000000000002,3.176000000000002,8.0,4.841999999999999,4.841999999999999,35.033,5.0,0.33200000000000074,0.06700000000000017,8.0,5.580999999999989,4.7949999999999875,46.33699999999999,6.0,2.3829999999999956,-0.047000000000011255,8.0,6.346000000000004,4.540999999999997,25.092000000000013,5.0,0.7650000000000148,-0.2539999999999907,12.0,2.8859999999999992,2.2609999999999992,7.0,7.097000000000001,7.097000000000001,41.587999999999994,7.0,4.8359999999999985,4.8359999999999985,7.0,9.288000000000011,9.288000000000011,34.21900000000001,6.0,2.1910000000000096,2.1910000000000096,6.0,12.330999999999989,12.330999999999989,46.14299999999999,7.0,3.171999999999997,3.042999999999978,6.0,12.929000000000002,12.929000000000002,25.951999999999998,9.0,1.1639999999999873,0.5980000000000132,6.969444444444445,2.222222222222223,12.0,5.0,1994-06-07T00:00:00,WE,HRASTNIK,Monika,1196904306182337,SLO,CCh,HRASTNIK Monika,False,0,14,HRASTNIK M,10,48870000,SLO19940607,8,10017602955,,0,,14,24
6,5,2005,SIEGENTHALER Emilie,7,42.59,24.842,66.578,101.536,146.705,171.766,5,22,Finished,10004167243,14.0,80.0,7.0,25.06,24.839,70.361,106.006,151.454,177.593,11.0,6.0,Finished,94.0,5.826999999999998,8.0,1.852999999999998,0.9499999999999993,7.0,4.130000000000003,4.130000000000003,41.736000000000004,8.0,3.180000000000007,3.180000000000007,7.0,4.122,4.122,34.958,3.0,0.2569999999999979,-0.008000000000002672,7.0,3.693000000000012,2.9070000000000107,45.16900000000001,3.0,1.2150000000000176,-1.2149999999999892,7.0,4.4269999999999925,2.6219999999999857,25.06099999999998,4.0,0.7339999999999804,-0.285000000000025,8.0,1.9919999999999973,1.3669999999999973,13.0,10.137000000000008,10.137000000000008,45.522000000000006,14.0,8.77000000000001,8.77000000000001,11.0,13.754000000000005,13.754000000000005,35.644999999999996,8.0,3.6169999999999973,3.6169999999999973,7.0,16.102000000000004,16.102000000000004,45.44800000000001,6.0,2.477000000000018,2.347999999999999,7.0,16.887,16.887,26.13899999999998,11.0,1.3509999999999707,0.7849999999999966,6.961111111111111,2.230555555555557,13.0,4.0,1986-09-19T00:00:00,WE,SIEGENTHALER,Emilie,1196904306182332,SUI,,SIEGENTHALER Emilie,False,0,5,SIEGENTHALER,5,48720000,SUI19860919,6,10004167243,PFR,1864,PIVOT FACTORY RACING,5,31
7,30,2030,CURD Katy,9,42.83,25.01,68.73,106.493,154.205,179.469,25,2,Finished,10006044292,10.0,70.0,8.0,25.26,25.08,67.731,104.743,152.632,177.849,6.0,11.0,Finished,80.0,-1.6200000000000045,9.0,2.021000000000001,1.118000000000002,9.0,6.282000000000004,6.282000000000004,43.72,10.0,5.1640000000000015,5.1640000000000015,9.0,9.078999999999994,9.078999999999994,37.76299999999999,10.0,3.0619999999999905,2.79699999999999,9.0,11.193000000000012,10.40700000000001,47.71200000000002,10.0,3.758000000000024,1.3280000000000172,9.0,12.129999999999995,10.324999999999989,25.26399999999998,8.0,0.9369999999999834,-0.08200000000002206,10.0,2.232999999999997,1.607999999999997,8.0,7.506999999999998,7.506999999999998,42.650999999999996,8.0,5.899000000000001,5.899000000000001,8.0,12.491,12.491,37.012,11.0,4.984000000000002,4.984000000000002,8.0,17.28,17.28,47.88900000000001,10.0,4.918000000000021,4.7890000000000015,8.0,17.143,17.143,25.216999999999985,3.0,0.4289999999999736,-0.13700000000000045,7.0166666666666675,2.1750000000000007,9.0,3.0,1989-04-27T00:00:00,WE,CURD,Katy,1196904306182352,GBR,,CURD Katy,False,0,30,CURD K,25,49320000,GBR19890427,209,10006044292,,0,,0,29
8,13,2013,SALAZAR Mariana,10,42.59,24.721,70.465,108.783,156.541,181.493,9,18,Finished,10007687838,5.0,60.0,9.0,24.95,24.796,69.349,105.951,152.711,178.096,5.0,12.0,Finished,65.0,-3.3969999999999914,6.0,1.7319999999999993,0.8290000000000006,11.0,8.017000000000003,8.017000000000003,45.744,14.0,7.188000000000002,7.188000000000002,12.0,11.369,11.369,38.318,12.0,3.6169999999999973,3.3519999999999968,10.0,13.528999999999996,12.742999999999995,47.757999999999996,11.0,3.804000000000002,1.3739999999999952,10.0,14.153999999999996,12.34899999999999,24.951999999999998,3.0,0.625,-0.39400000000000546,7.0,1.948999999999998,1.323999999999998,11.0,9.125000000000007,9.125000000000007,44.553000000000004,13.0,7.801000000000009,7.801000000000009,10.0,13.698999999999998,13.698999999999998,36.60199999999999,10.0,4.573999999999991,4.573999999999991,9.0,17.35900000000001,17.35900000000001,46.76000000000002,8.0,3.78900000000003,3.660000000000011,9.0,17.390000000000015,17.390000000000015,25.38499999999999,5.0,0.59699999999998,0.03100000000000591,6.930555555555555,2.261111111111113,14.0,4.0,1994-05-06T00:00:00,WE,SALAZAR,Mariana,1196904306182336,ESA,,SALAZAR Mariana,False,0,13,SALAZAR M,9,48840000,ESA19940506,26,10007687838,DOR,1867,DORVAL AM,13,24
9,3,2003,HANNAH Tracey,2,42.26,24.107,64.23,99.438,143.724,168.829,3,24,Finished,10003732258,40.0,55.0,10.0,25.1,23.703,63.029,97.077,153.333,178.898,15.0,2.0,Finished,95.0,10.068999999999988,5.0,1.1179999999999986,0.21499999999999986,4.0,1.7820000000000036,1.7820000000000036,40.123000000000005,2.0,1.5670000000000073,1.5670000000000073,3.0,2.024000000000001,2.024000000000001,35.208,6.0,0.5069999999999979,0.24199999999999733,2.0,0.7119999999999891,-0.07400000000001228,44.28599999999999,2.0,0.33199999999999363,-2.098000000000013,2.0,1.490000000000009,-0.3149999999999977,25.105000000000018,6.0,0.77800000000002,-0.24099999999998545,4.0,0.8559999999999981,0.2309999999999981,4.0,2.805000000000007,2.805000000000007,39.32600000000001,6.0,2.5740000000000123,2.5740000000000123,4.0,4.825000000000003,4.825000000000003,34.047999999999995,5.0,2.019999999999996,2.019999999999996,11.0,17.980999999999995,17.980999999999995,56.256,16.0,13.28500000000001,13.155999999999992,10.0,18.192000000000007,18.192000000000007,25.564999999999998,6.0,0.7769999999999868,0.21100000000001273,6.972222222222223,2.219444444444445,11.0,6.0,1988-06-13T00:00:00,WE,HANNAH,Tracey,1196904306182330,AUS,NCh,HANNAH Tracey,False,0,3,HANNAH T,3,48660000,AUS19880613,2,10003732258,URT,1608,POLYGON UR,3,30
