,bib,id,name,q_rank,q_speed,q_split1,q_split2,q_split3,q_split4,q_split5,q_start,q_start_rev,q_status,uci,q_points
0,4,2004,ATHERTON Rachel,1,,22.989,63.123,97.824,143.012,167.339,4,23,Finished,10003434487,50.0
1,3,2003,HANNAH Tracey,2,,24.107,64.23,99.438,143.724,168.829,3,24,Finished,10003732258,40.0
2,1,2001,NICOLE Myriam,3,,23.892,62.448,97.414,143.798,169.144,1,26,Finished,10004535237,30.0
3,8,2008,CABIROU Marine,4,,24.779,65.175,100.712,144.666,170.129,6,21,Finished,10009563069,25.0
4,28,2028,RAVANEL Cecile,5,,25.199,65.341,100.24,145.616,171.002,23,4,Finished,10002816317,20.0
5,2,2002,SEAGRAVE Tahnee,6,,23.379,64.166,100.003,146.578,171.331,2,25,Finished,10007414016,16.0
6,5,2005,SIEGENTHALER Emilie,7,,24.842,66.578,101.536,146.705,171.766,5,22,Finished,10004167243,14.0
7,14,2014,HRASTNIK Monika,8,,25.491,67.223,102.256,148.593,173.685,10,17,Finished,10017602955,12.0
8,30,2030,CURD Katy,9,,25.01,68.73,106.493,154.205,179.469,25,2,Finished,10006044292,10.0
9,13,2013,SALAZAR Mariana,10,,24.721,70.465,108.783,156.541,181.493,9,18,Finished,10007687838,5.0
10,10,2010,CAPPELLARI Carina,11,,25.451,70.73,108.755,157.709,183.305,8,19,Finished,10006911535,
11,18,2018,RUBESAM Sandra,12,,26.142,70.093,107.856,158.81,184.031,13,14,Finished,10052523258,
12,17,2017,WIDMANN Veronika,13,,27.265,70.669,109.436,159.132,185.272,12,15,Finished,10007423312,
13,26,2026,SCHWEMMER Kim,14,,27.529,74.179,113.821,163.857,191.004,21,6,Finished,10007401686,
14,25,2025,BATTOLLA Eva,15,,26.346,76.003,117.438,170.256,197.555,20,7,Finished,10010936631,
15,20,2020,HOFFMANN Nina Charlott,16,,25.311,89.738,125.419,172.741,199.114,15,12,Finished,10015887065,
16,23,2023,WOHLGENSINGER Alexandra,17,,35.281,80.634,119.944,172.804,203.365,18,9,Finished,10010735153,
17,16,2016,CHAPPAZ Melanie,18,,27.308,74.063,114.615,177.163,205.705,11,16,Finished,10011008066,
18,29,2029,TUTT Aston,19,,29.487,78.226,130.599,195.889,224.45,24,3,Finished,10010911975,
19,9,2009,MILLER Miranda,20,,23.786,71.733,121.847,191.868,224.964,7,20,Finished,10005872726,
20,31,2031,PRICE Amber,21,,34.294,89.197,142.519,216.317,245.374,26,1,Finished,10008592665,
21,19,2019,RUTZ Lea Salome,22,,27.531,82.853,129.21,221.563,251.401,14,13,Finished,10010012000,
22,21,2021,LESOIN Flora,23,,,,,,,16,11,DNF,10009734134,
23,22,2022,HORVAT Spela,24,,,,,,,17,10,DNS,10007478074,
24,24,2024,HUBSCHER Janine,25,,,,,,,19,8,DNS,10059628813,
25,27,2027,BJORKMAN Josefine,26,,,,,,,22,5,DNS,10007928015,
