,bib,id,name,rank,speed,split1,split2,split3,split4,split5,start,start_rev,status,uci,r_points
0,1,2001,NICOLE Myriam,1,,23.472,60.224,92.252,135.352,160.706,14,3,Finished,10004535237,200.0
1,4,2004,ATHERTON Rachel,2,,22.847,61.748,95.397,139.415,164.265,16,1,Finished,10003434487,160.0
2,2,2002,SEAGRAVE Tahnee,3,,22.902,61.248,95.686,139.696,164.484,12,5,Finished,10007414016,140.0
3,8,2008,CABIROU Marine,4,,24.295,63.484,97.391,140.362,165.935,13,4,Finished,10009563069,125.0
4,28,2028,RAVANEL Cecile,5,,24.986,63.606,97.407,142.042,168.416,8,9,Finished,10002816317,110.0
5,14,2014,HRASTNIK Monika,6,,25.733,67.321,101.54,147.683,173.635,7,10,Finished,10017602955,95.0
6,5,2005,SIEGENTHALER Emilie,7,,24.839,70.361,106.006,151.454,177.593,11,6,Finished,10004167243,80.0
7,30,2030,CURD Katy,8,,25.08,67.731,104.743,152.632,177.849,6,11,Finished,10006044292,70.0
8,13,2013,SALAZAR Mariana,9,,24.796,69.349,105.951,152.711,178.096,5,12,Finished,10007687838,60.0
9,3,2003,HANNAH Tracey,10,,23.703,63.029,97.077,153.333,178.898,15,2,Finished,10003732258,55.0
10,9,2009,MILLER Miranda,11,,23.732,68.136,105.187,152.908,179.384,9,8,Finished,10005872726,45.0
11,10,2010,CAPPELLARI Carina,12,,25.452,69.571,106.067,154.042,179.959,10,7,Finished,10006911535,35.0
12,18,2018,RUBESAM Sandra,13,,25.825,68.839,106.023,156.572,182.582,4,13,Finished,10052523258,25.0
13,17,2017,WIDMANN Veronika,14,,27.571,71.3,108.366,158.06,185.117,3,14,Finished,10007423312,15.0
14,25,2025,BATTOLLA Eva,15,,27.348,73.175,111.843,165.236,192.258,1,16,Finished,10010936631,5.0
15,26,2026,SCHWEMMER Kim,16,,27.26,74.513,114.81,165.879,205.299,2,15,Finished,10007401686,
