,bib,id,name,q_rank,q_speed,q_split1,q_split2,q_split3,q_split4,q_split5,q_start,q_start_rev,q_status,uci,q_points
0,2,2002,ATHERTON Rachel,1,,64.79,208.081,237.522,277.644,307.825,2,22,Finished,10003434487,50.0
1,1,2001,NICOLE Myriam,2,,64.731,207.479,236.619,278.295,309.765,1,23,Finished,10004535237,40.0
2,3,2003,SEAGRAVE Tahnee,3,,65.784,215.552,244.961,286.927,316.908,3,21,Finished,10007414016,30.0
3,7,2007,HANNAH Tracey,4,,68.024,215.659,245.135,287.062,316.984,7,17,Finished,10003732258,25.0
4,5,2005,RAVANEL Cecile,5,,69.712,220.343,249.447,291.609,322.395,5,19,Finished,10002816317,20.0
5,4,2004,CABIROU Marine,6,,69.122,219.452,248.975,291.874,322.75,4,20,Finished,10009563069,16.0
6,6,2006,HRASTNIK Monika,7,,70.979,225.106,255.085,297.575,329.662,6,18,Finished,10017602955,14.0
7,8,2008,SIEGENTHALER Emilie,8,,70.084,224.785,255.893,298.887,331.032,8,16,Finished,10004167243,12.0
8,19,2019,A'HERN Sian,9,,71.824,228.635,258.177,301.225,332.101,17,7,Finished,10010802043,10.0
9,10,2010,SALAZAR Mariana,10,,69.585,227.091,258.031,301.685,333.643,10,14,Finished,10007687838,5.0
10,14,2014,WIDMANN Veronika,11,,71.229,229.762,260.573,303.922,337.025,14,10,Finished,10007423312,
11,12,2012,CAPPELLARI Carina,12,,72.158,230.902,262.651,306.457,338.082,12,12,Finished,10006911535,
12,18,2018,RONNING Frida Helena,13,,69.913,232.54,263.512,307.579,338.826,16,8,Finished,10008084326,
13,11,2011,MILLER Miranda,14,,69.454,233.264,264.189,308.358,339.195,11,13,Finished,10005872726,
14,21,2021,MOLLOY Tegan,15,,71.748,238.836,269.964,312.758,344.251,19,5,Finished,10008826980,
15,13,2013,RUBESAM Sandra,16,,70.914,235.06,268.477,313.138,348.049,13,11,Finished,10052523258,
16,17,2017,CHAPPAZ Melanie,17,,73.958,241.569,272.814,319.069,353.742,15,9,Finished,10011008066,
17,20,2020,WOHLGENSINGER Alexandra,18,,72.711,234.807,279.658,323.959,356.41,18,6,Finished,10010735153,
18,9,2009,CURD Katy,19,,68.637,225.432,265.748,324.042,370.91,9,15,Finished,10006044292,
19,26,2026,BELL Cairn,20,,75.749,253.087,293.457,341.455,381.991,23,1,Finished,10011212069,
20,22,2022,LESOIN Flora,21,,76.505,259.523,298.416,346.652,386.246,20,4,Finished,10009734134,
21,24,2024,GREEN Sumayyah,22,,82.104,294.68,343.351,404.997,453.326,22,2,Finished,10016172712,
22,23,2023,TUTT Aston,23,,208.18,381.1,415.451,466.913,512.445,21,3,Finished,10010911975,
