,BirthDate,CategoryCode,FamilyName,GivenName,Id,Nation,Outfit,PrintName,Protected,RaceId,RaceNr,ScoreboardName,StartOrder,StartTime,UciCode,UciRank,UciRiderId,UciTeamCode,UciTeamId,UciTeamName,WorldCupRank,Age
2001,1990-02-08T00:00:00,WE,NICOLE,Myriam,1196990205528238,FRA,WCL,NICOLE Myriam,False,0,1,NICOLE M,1,48600000,FRA19900208,1,10004535237,CVN,1590,COMMENCAL / VALLNORD,1,28
2002,1987-12-06T00:00:00,WE,ATHERTON,Rachel,1196990205528239,GBR,NCh,ATHERTON Rachel,False,0,2,ATHERTON R,2,48630000,GBR19871206,6,10003434487,TDH,1598,TREK FACTORY RACING DH,2,30
2003,1995-06-15T00:00:00,WE,SEAGRAVE,Tahnee,1196990205528240,GBR,,SEAGRAVE Tahnee,False,0,3,SEAGRAVE T,3,48660000,GBR19950615,2,10007414016,FMD,1863,TRANSITION BIKES / MUC-OFF FACTORY RACING,3,23
2004,1997-03-12T00:00:00,WE,CABIROU,Marine,1196990205528241,FRA,,CABIROU Marine,False,0,4,CABIROU M,4,48690000,FRA19970312,4,10009563069,VVR,2096,VOULVOUL RACING,4,21
2005,1981-01-06T00:00:00,WE,RAVANEL,Cecile,1196990205528242,FRA,,RAVANEL Cecile,False,0,5,RAVANEL C,5,48720000,FRA19810106,38,10002816317,,0,,5,37
2006,1994-06-07T00:00:00,WE,HRASTNIK,Monika,1196990205528243,SLO,CCh,HRASTNIK Monika,False,0,6,HRASTNIK M,6,48750000,SLO19940607,8,10017602955,,0,,6,24
2007,1988-06-13T00:00:00,WE,HANNAH,Tracey,1196990205528244,AUS,NCh,HANNAH Tracey,False,0,7,HANNAH T,7,48780000,AUS19880613,3,10003732258,URT,1608,POLYGON UR,7,30
2008,1986-09-19T00:00:00,WE,SIEGENTHALER,Emilie,1196990205528245,SUI,,SIEGENTHALER Emilie,False,0,8,SIEGENTHALER,8,48810000,SUI19860919,5,10004167243,PFR,1864,PIVOT FACTORY RACING,8,31
2009,1989-04-27T00:00:00,WE,CURD,Katy,1196990205528246,GBR,,CURD Katy,False,0,9,CURD K,9,48840000,GBR19890427,53,10006044292,,0,,9,29
2010,1994-05-06T00:00:00,WE,SALAZAR,Mariana,1196990205528247,ESA,,SALAZAR Mariana,False,0,10,SALAZAR M,10,48870000,ESA19940506,22,10007687838,DOR,1867,DORVAL AM,10,24
2011,1990-03-02T00:00:00,WE,MILLER,Miranda,1196990205528248,CAN,WCh,MILLER Miranda,False,0,11,MILLER M,11,48900000,CAN19900302,9,10005872726,SGR,1667,SPECIALIZED GRAVITY,11,28
2012,1991-11-06T00:00:00,WE,CAPPELLARI,Carina,1196990205528249,SUI,NCh,CAPPELLARI Carina,False,0,12,CAPPELLARI C,12,48930000,SUI19911106,10,10006911535,MNR,2039,HIAG DATA - NS-BIKES FACTORY RACING,12,26
2013,1988-02-10T00:00:00,WE,RUBESAM,Sandra,1196990205528250,GER,,RUBESAM Sandra,False,0,13,RUBESAM S,13,48960000,GER19880210,17,10052523258,,0,,13,30
2014,1993-03-08T00:00:00,WE,WIDMANN,Veronika,1196990205528251,ITA,,WIDMANN Veronika,False,0,14,WIDMANN V,14,48990000,ITA19930308,15,10007423312,FSF,2238,FS FUNN,14,25
2017,1999-03-12T00:00:00,WE,CHAPPAZ,Melanie,1196990205528252,FRA,,CHAPPAZ Melanie,False,0,17,CHAPPAZ M,15,49020000,FRA19990312,12,10011008066,HTH,3167,HOPE TECHNOLOGY,0,19
2018,1995-07-09T00:00:00,WE,RONNING,Frida Helena,1196990205528253,NOR,NCh,RONNING Frida Helena,False,0,18,RONNING F,16,49050000,NOR19950709,19,10008084326,,0,,0,22
2019,1998-08-02T00:00:00,WE,A'HERN,Sian,1196990205528254,AUS,,A'HERN Sian,False,0,19,A'HERN S,17,49080000,AUS19980802,35,10010802043,,0,,0,19
2020,1984-04-10T00:00:00,WE,WOHLGENSINGER,Alexandra,1196990205528255,SUI,,WOHLGENSINGER Alexandra,False,0,20,WOHLGENSINGE,18,49110000,SUI19840410,37,10010735153,,0,,0,34
2021,1996-01-18T00:00:00,WE,MOLLOY,Tegan,1196990205528256,AUS,,MOLLOY Tegan,False,0,21,MOLLOY T,19,49140000,AUS19960118,40,10008826980,KON,1012,KONA FACTORY TEAM,0,22
2022,1999-11-17T00:00:00,WE,LESOIN,Flora,1196990205528257,FRA,,LESOIN Flora,False,0,22,LESOIN F,20,49170000,FRA19991117,44,10009734134,,0,,0,18
2023,1998-10-06T00:00:00,WE,TUTT,Aston,1196990205528258,GBR,,TUTT Aston,False,0,23,TUTT A,21,49200000,GBR19981006,145,10010911975,,0,,0,19
2024,1999-05-13T00:00:00,WE,GREEN,Sumayyah,1196990205528259,GBR,,GREEN Sumayyah,False,0,24,GREEN S,22,49230000,GBR19990513,182,10016172712,,0,,0,19
2026,1998-03-14T00:00:00,WE,BELL,Cairn,1196990205528260,GBR,N,BELL Cairn,False,0,26,BELL C,23,49260000,GBR19980314,292,10011212069,,0,,0,20
