,bib,id,name,rank,speed,split1,split2,split3,split4,split5,start,start_rev,status,uci,r_points
0,3,2003,SEAGRAVE Tahnee,1,,64.814,211.338,240.134,281.291,310.96,14,3,Finished,10007414016,200.0
1,1,2001,NICOLE Myriam,2,,65.404,216.908,247.122,288.983,319.211,15,2,Finished,10004535237,160.0
2,2,2002,ATHERTON Rachel,3,,65.12,218.276,247.811,289.281,320.016,16,1,Finished,10003434487,140.0
3,4,2004,CABIROU Marine,4,,68.834,219.147,249.423,291.659,321.782,11,6,Finished,10009563069,125.0
4,7,2007,HANNAH Tracey,5,,69.64,221.078,251.784,292.907,322.744,13,4,Finished,10003732258,110.0
5,5,2005,RAVANEL Cecile,6,,69.94,220.347,250.502,293.668,324.368,12,5,Finished,10002816317,95.0
6,9,2009,CURD Katy,7,,68.445,222.227,252.625,295.056,325.459,7,10,Finished,10006044292,80.0
7,8,2008,SIEGENTHALER Emilie,8,,69.004,221.473,252.675,295.47,326.604,9,8,Finished,10004167243,70.0
8,10,2010,SALAZAR Mariana,9,,69.152,221.653,253.741,296.977,328.307,8,9,Finished,10007687838,60.0
9,14,2014,WIDMANN Veronika,10,,70.073,224.835,255.885,299.41,331.65,5,12,Finished,10007423312,55.0
10,12,2012,CAPPELLARI Carina,11,,70.622,228.955,260.684,304.076,333.917,4,13,Finished,10006911535,45.0
11,6,2006,HRASTNIK Monika,12,,70.924,228.648,259.526,301.992,334.228,10,7,Finished,10017602955,35.0
12,19,2019,A'HERN Sian,13,,72.004,227.763,261.969,304.97,338.471,6,11,Finished,10010802043,25.0
13,11,2011,MILLER Miranda,14,,70.044,233.287,265.325,308.498,338.761,2,15,Finished,10005872726,15.0
14,18,2018,RONNING Frida Helena,15,,69.709,236.186,279.291,323.358,353.508,3,14,Finished,10008084326,5.0
15,21,2021,MOLLOY Tegan,16,,70.599,250.404,282.587,324.682,354.699,1,16,Finished,10008826980,
