,bib,id,name,q_rank,q_speed,q_split1,q_split2,q_split3,q_split4,q_split5,q_start,q_start_rev,q_status,uci,q_points,r_points,rank,speed,split1,split2,split3,split4,split5,start,start_rev,status,points,q_split1_rank,q_split1_vs_best,q_split1_vs_winner,q_split2_rank,q_split2_vs_best,q_split2_vs_winner,q_split2_sector,q_split2_sector_rank,q_split2_sector_vs_best,q_split2_sector_vs_winner,q_split3_rank,q_split3_vs_best,q_split3_vs_winner,q_split3_sector,q_split3_sector_rank,q_split3_sector_vs_best,q_split3_sector_vs_winner,q_split4_rank,q_split4_vs_best,q_split4_vs_winner,q_split4_sector,q_split4_sector_rank,q_split4_sector_vs_best,q_split4_sector_vs_winner,q_split5_rank,q_split5_vs_best,q_split5_vs_winner,q_split5_sector,q_split5_sector_rank,q_split5_sector_vs_best,q_split5_sector_vs_winner,split1_rank,split1_vs_best,split1_vs_winner,split2_rank,split2_vs_best,split2_vs_winner,split2_sector,split2_sector_rank,split2_sector_vs_best,split2_sector_vs_winner,split3_rank,split3_vs_best,split3_vs_winner,split3_sector,split3_sector_rank,split3_sector_vs_best,split3_sector_vs_winner,split4_rank,split4_vs_best,split4_vs_winner,split4_sector,split4_sector_rank,split4_sector_vs_best,split4_sector_vs_winner,split5_rank,split5_vs_best,split5_vs_winner,split5_sector,split5_sector_rank,split5_sector_vs_best,split5_sector_vs_winner,speed_ms,speed_ms_vs_best,speed_rank,q_speed_rank,BirthDate,CategoryCode,FamilyName,GivenName,Id,Nation,Outfit,PrintName,RaceId,RaceNr,ScoreboardName,StartOrder,StartTime,UciCode,UciRank,UciRiderId,UciTeamCode,UciTeamId,UciTeamName,WorldCupRank,Age
0,3,2003,SEAGRAVE Tahnee,3,50.77,65.784,215.552,244.961,286.927,316.908,3,21,Finished,10007414016,30.0,200.0,1.0,52.2,64.814,211.338,240.134,281.291,310.96,14.0,3.0,Finished,230.0,3.0,1.0530000000000115,0.0,3.0,8.072999999999979,0.0,149.76799999999997,4.0,7.019999999999953,0.0,3.0,8.342000000000013,0.0,29.40900000000002,3.0,0.3050000000000068,0.0,3.0,9.283000000000015,0.0,41.96600000000001,4.0,1.843999999999994,0.0,3.0,9.083000000000027,0.0,29.980999999999995,2.0,0.05900000000002592,0.0,1.0,0.0,0.0,1.0,0.0,0.0,146.524,1.0,0.0,0.0,1.0,0.0,0.0,28.795999999999992,1.0,0.0,0.0,1.0,0.0,0.0,41.15700000000001,2.0,0.034000000000020236,0.0,1.0,0.0,0.0,29.668999999999983,1.0,0.0,0.0,14.500000000000002,0.0,3.0,3.0,1995-06-15T00:00:00,WE,SEAGRAVE,Tahnee,1196990205528240,GBR,,SEAGRAVE Tahnee,0,3,SEAGRAVE T,3,48660000,GBR19950615,2,10007414016,FMD,1863,TRANSITION BIKES / MUC-OFF FACTORY RACING,3,22
1,1,2001,NICOLE Myriam,2,50.45,64.731,207.479,236.619,278.295,309.765,1,23,Finished,10004535237,40.0,160.0,2.0,50.72,65.404,216.908,247.122,288.983,319.211,15.0,2.0,Finished,200.0,1.0,0.0,-1.0530000000000115,1.0,0.0,-8.072999999999979,142.74800000000002,1.0,0.0,-7.019999999999953,1.0,0.0,-8.342000000000013,29.139999999999986,2.0,0.03599999999997294,-0.2690000000000339,2.0,0.6510000000000105,-8.632000000000005,41.676000000000016,2.0,1.554000000000002,-0.28999999999999204,2.0,1.9399999999999977,-7.143000000000029,31.46999999999997,8.0,1.5480000000000018,1.488999999999976,3.0,0.5900000000000034,0.5900000000000034,2.0,5.569999999999993,5.569999999999993,151.504,5.0,4.97999999999999,4.97999999999999,2.0,6.988000000000028,6.988000000000028,30.214000000000027,4.0,1.4180000000000348,1.4180000000000348,2.0,7.692000000000007,7.692000000000007,41.86099999999999,4.0,0.7379999999999995,0.7039999999999793,2.0,8.251000000000033,8.251000000000033,30.22800000000001,7.0,0.5590000000000259,0.5590000000000259,14.088888888888889,0.4111111111111132,8.0,5.0,1990-02-08T00:00:00,WE,NICOLE,Myriam,1196990205528238,FRA,WCL,NICOLE Myriam,0,1,NICOLE M,1,48600000,FRA19900208,1,10004535237,CVN,1590,COMMENCAL / VALLNORD,1,28
2,2,2002,ATHERTON Rachel,1,50.61,64.79,208.081,237.522,277.644,307.825,2,22,Finished,10003434487,50.0,140.0,3.0,49.81,65.12,218.276,247.811,289.281,320.016,16.0,1.0,Finished,190.0,2.0,0.05900000000001171,-0.9939999999999998,2.0,0.6019999999999754,-7.471000000000004,143.291,2.0,0.542999999999978,-6.476999999999975,2.0,0.9029999999999916,-7.439000000000021,29.441000000000003,4.0,0.3369999999999891,0.031999999999982265,1.0,0.0,-9.283000000000015,40.122000000000014,1.0,0.0,-1.843999999999994,1.0,0.0,-9.083000000000027,30.180999999999983,3.0,0.25900000000001455,0.19999999999998863,2.0,0.3060000000000116,0.3060000000000116,3.0,6.938000000000017,6.938000000000017,153.156,8.0,6.632000000000005,6.632000000000005,3.0,7.677000000000021,7.677000000000021,29.534999999999997,2.0,0.7390000000000043,0.7390000000000043,3.0,7.990000000000009,7.990000000000009,41.47,3.0,0.3470000000000084,0.3129999999999882,3.0,9.05600000000004,9.05600000000004,30.735000000000014,11.0,1.066000000000031,1.066000000000031,13.836111111111112,0.6638888888888896,11.0,4.0,1987-12-06T00:00:00,WE,ATHERTON,Rachel,1196990205528239,GBR,NCh,ATHERTON Rachel,0,2,ATHERTON R,2,48630000,GBR19871206,6,10003434487,TDH,1598,TREK FACTORY RACING DH,2,30
3,4,2004,CABIROU Marine,6,49.3,69.122,219.452,248.975,291.874,322.75,4,20,Finished,10009563069,16.0,125.0,4.0,50.55,68.834,219.147,249.423,291.659,321.782,11.0,6.0,Finished,141.0,6.0,4.391000000000005,3.337999999999994,5.0,11.972999999999985,3.9000000000000057,150.32999999999998,5.0,7.581999999999965,0.5620000000000118,5.0,12.355999999999995,4.013999999999982,29.522999999999996,6.0,0.4189999999999827,0.1139999999999759,6.0,14.230000000000018,4.947000000000003,42.89900000000003,8.0,2.7770000000000152,0.9330000000000211,6.0,14.925000000000011,5.8419999999999845,30.875999999999976,6.0,0.9540000000000077,0.8949999999999818,5.0,4.02000000000001,4.02000000000001,4.0,7.8089999999999975,7.8089999999999975,150.313,2.0,3.7889999999999873,3.7889999999999873,4.0,9.289000000000016,9.289000000000016,30.27600000000001,5.0,1.4800000000000182,1.4800000000000182,4.0,10.367999999999995,10.367999999999995,42.23599999999999,6.0,1.1129999999999995,1.0789999999999793,4.0,10.822000000000003,10.822000000000003,30.12299999999999,5.0,0.45400000000000773,0.45400000000000773,14.041666666666666,0.4583333333333357,9.0,8.0,1997-03-12T00:00:00,WE,CABIROU,Marine,1196990205528241,FRA,,CABIROU Marine,0,4,CABIROU M,4,48690000,FRA19970312,4,10009563069,VVR,2096,VOULVOUL RACING,4,21
4,7,2007,HANNAH Tracey,4,51.2,68.024,215.659,245.135,287.062,316.984,7,17,Finished,10003732258,25.0,110.0,5.0,53.08,69.64,221.078,251.784,292.907,322.744,13.0,4.0,Finished,135.0,4.0,3.2930000000000064,2.239999999999995,4.0,8.179999999999978,0.10699999999999932,147.635,3.0,4.886999999999972,-2.1329999999999814,4.0,8.515999999999991,0.17399999999997817,29.476,5.0,0.3719999999999857,0.06699999999997885,4.0,9.418000000000006,0.1349999999999909,41.92700000000002,3.0,1.8050000000000068,-0.03899999999998727,4.0,9.158999999999992,0.07599999999996498,29.92199999999997,1.0,0.0,-0.05900000000002592,8.0,4.826000000000008,4.826000000000008,6.0,9.740000000000009,9.740000000000009,151.438,4.0,4.913999999999987,4.913999999999987,6.0,11.650000000000006,11.650000000000006,30.70599999999999,7.0,1.9099999999999966,1.9099999999999966,5.0,11.615999999999985,11.615999999999985,41.12299999999999,1.0,0.0,-0.034000000000020236,5.0,11.784000000000049,11.784000000000049,29.837000000000046,2.0,0.1680000000000632,0.1680000000000632,14.744444444444445,0.0,1.0,2.0,1988-06-13T00:00:00,WE,HANNAH,Tracey,1196990205528244,AUS,NCh,HANNAH Tracey,0,7,HANNAH T,7,48780000,AUS19880613,3,10003732258,URT,1608,POLYGON UR,7,29
5,5,2005,RAVANEL Cecile,5,48.66,69.712,220.343,249.447,291.609,322.395,5,19,Finished,10002816317,20.0,95.0,6.0,48.7,69.94,220.347,250.502,293.668,324.368,12.0,5.0,Finished,115.0,9.0,4.981000000000009,3.9279999999999973,6.0,12.863999999999976,4.790999999999997,150.63099999999997,6.0,7.882999999999953,0.8629999999999995,6.0,12.828000000000003,4.48599999999999,29.104000000000013,1.0,0.0,-0.3050000000000068,5.0,13.964999999999975,4.6819999999999595,42.16199999999998,5.0,2.0399999999999636,0.19599999999996953,5.0,14.569999999999993,5.486999999999966,30.786,4.0,0.8640000000000327,0.8050000000000068,10.0,5.126000000000005,5.126000000000005,5.0,9.009000000000015,9.009000000000015,150.407,3.0,3.8830000000000098,3.8830000000000098,5.0,10.368000000000023,10.368000000000023,30.155,3.0,1.3590000000000089,1.3590000000000089,6.0,12.37700000000001,12.37700000000001,43.166,11.0,2.0430000000000064,2.008999999999986,6.0,13.408000000000015,13.408000000000015,30.69999999999999,10.0,1.031000000000006,1.031000000000006,13.527777777777779,1.2166666666666668,14.0,12.0,1981-01-06T00:00:00,WE,RAVANEL,Cecile,1196990205528242,FRA,,RAVANEL Cecile,0,5,RAVANEL C,5,48720000,FRA19810106,38,10002816317,,0,,5,37
6,9,2009,CURD Katy,19,35.53,68.637,225.432,265.748,324.042,370.91,9,15,Finished,10006044292,,80.0,7.0,49.81,68.445,222.227,252.625,295.056,325.459,7.0,10.0,Finished,80.0,5.0,3.906000000000006,2.8529999999999944,9.0,17.952999999999975,9.879999999999995,156.795,9.0,14.046999999999969,7.027000000000015,15.0,29.12899999999999,20.786999999999978,40.316,20.0,11.211999999999989,10.906999999999982,19.0,46.39799999999997,37.11499999999995,58.29399999999998,22.0,18.17199999999997,16.327999999999975,19.0,63.085000000000036,54.00200000000001,46.86800000000005,21.0,16.946000000000083,16.887000000000057,4.0,3.6310000000000002,3.6310000000000002,9.0,10.88900000000001,10.88900000000001,153.782,9.0,7.25800000000001,7.25800000000001,7.0,12.491000000000014,12.491000000000014,30.397999999999996,6.0,1.6020000000000039,1.6020000000000039,7.0,13.764999999999986,13.764999999999986,42.43099999999998,7.0,1.3079999999999927,1.2739999999999725,7.0,14.499000000000024,14.499000000000024,30.40300000000002,9.0,0.7340000000000373,0.7340000000000373,13.836111111111112,0.9083333333333332,11.0,15.0,1989-04-27T00:00:00,WE,CURD,Katy,1196990205528246,GBR,,CURD Katy,0,9,CURD K,9,48840000,GBR19890427,53,10006044292,,0,,9,29
7,8,2008,SIEGENTHALER Emilie,8,48.9,70.084,224.785,255.893,298.887,331.032,8,16,Finished,10004167243,12.0,70.0,8.0,51.15,69.004,221.473,252.675,295.47,326.604,9.0,8.0,Finished,82.0,11.0,5.353000000000009,4.299999999999997,7.0,17.305999999999983,9.233000000000004,154.701,8.0,11.952999999999975,4.933000000000021,8.0,19.274,10.931999999999988,31.108000000000004,13.0,2.0039999999999907,1.6989999999999839,8.0,21.242999999999995,11.95999999999998,42.994,9.0,2.8719999999999857,1.0279999999999916,8.0,23.206999999999994,14.123999999999967,32.14499999999998,13.0,2.223000000000013,2.1639999999999873,6.0,4.190000000000012,4.190000000000012,7.0,10.13500000000002,10.13500000000002,152.469,6.0,5.944999999999993,5.944999999999993,8.0,12.541000000000025,12.541000000000025,31.201999999999998,10.0,2.406000000000006,2.406000000000006,8.0,14.17900000000003,14.17900000000003,42.795000000000016,9.0,1.6720000000000255,1.6380000000000052,8.0,15.644000000000005,15.644000000000005,31.133999999999958,12.0,1.464999999999975,1.464999999999975,14.208333333333334,0.5361111111111114,6.0,10.0,1986-09-19T00:00:00,WE,SIEGENTHALER,Emilie,1196990205528245,SUI,,SIEGENTHALER Emilie,0,8,SIEGENTHALER,8,48810000,SUI19860919,5,10004167243,PFR,1864,PIVOT FACTORY RACING,8,31
8,10,2010,SALAZAR Mariana,10,48.9,69.585,227.091,258.031,301.685,333.643,10,14,Finished,10007687838,5.0,60.0,9.0,49.3,69.152,221.653,253.741,296.977,328.307,8.0,9.0,Finished,65.0,8.0,4.853999999999999,3.8009999999999877,10.0,19.611999999999995,11.539000000000016,157.50600000000003,11.0,14.75800000000001,7.738000000000056,9.0,21.412000000000006,13.069999999999993,30.939999999999998,11.0,1.8359999999999843,1.5309999999999775,10.0,24.040999999999997,14.757999999999981,43.653999999999996,12.0,3.5319999999999823,1.6879999999999882,10.0,25.817999999999984,16.734999999999957,31.95799999999997,11.0,2.0360000000000014,1.9769999999999754,7.0,4.338000000000008,4.338000000000008,8.0,10.314999999999998,10.314999999999998,152.50099999999998,7.0,5.976999999999975,5.976999999999975,9.0,13.607000000000028,13.607000000000028,32.08800000000002,13.0,3.29200000000003,3.29200000000003,9.0,15.685999999999979,15.685999999999979,43.23599999999996,13.0,2.112999999999971,2.078999999999951,9.0,17.347000000000037,17.347000000000037,31.33000000000004,13.0,1.6610000000000582,1.6610000000000582,13.694444444444445,1.0500000000000007,12.0,10.0,1994-05-06T00:00:00,WE,SALAZAR,Mariana,1196990205528247,ESA,,SALAZAR Mariana,0,10,SALAZAR M,10,48870000,ESA19940506,22,10007687838,DOR,1867,DORVAL AM,10,24
9,14,2014,WIDMANN Veronika,11,47.12,71.229,229.762,260.573,303.922,337.025,14,10,Finished,10007423312,,55.0,10.0,49.87,70.073,224.835,255.885,299.41,331.65,5.0,12.0,Finished,55.0,14.0,6.498000000000005,5.444999999999993,12.0,22.282999999999987,14.210000000000008,158.53300000000002,12.0,15.784999999999997,8.765000000000043,11.0,23.95399999999998,15.611999999999966,30.81099999999998,9.0,1.7069999999999652,1.4019999999999584,11.0,26.27800000000002,16.995000000000005,43.349000000000046,11.0,3.2270000000000323,1.3830000000000382,11.0,29.19999999999999,20.116999999999962,33.10299999999995,15.0,3.180999999999983,3.1219999999999573,12.0,5.259,5.259,10.0,13.497000000000014,13.497000000000014,154.762,10.0,8.238,8.238,10.0,15.751000000000005,15.751000000000005,31.049999999999983,9.0,2.2539999999999907,2.2539999999999907,10.0,18.119000000000028,18.119000000000028,43.525000000000034,15.0,2.4020000000000437,2.3680000000000234,10.0,20.689999999999998,20.689999999999998,32.23999999999995,15.0,2.5709999999999695,2.5709999999999695,13.852777777777778,0.8916666666666675,10.0,14.0,1993-03-08T00:00:00,WE,WIDMANN,Veronika,1196990205528251,ITA,,WIDMANN Veronika,0,14,WIDMANN V,14,48990000,ITA19930308,15,10007423312,FSF,2238,FS FUNN,14,25
10,12,2012,CAPPELLARI Carina,12,49.46,72.158,230.902,262.651,306.457,338.082,12,12,Finished,10006911535,,45.0,11.0,51.36,70.622,228.955,260.684,304.076,333.917,4.0,13.0,Finished,45.0,17.0,7.427000000000007,6.373999999999995,13.0,23.422999999999973,15.349999999999994,158.74399999999997,13.0,15.995999999999952,8.975999999999999,12.0,26.03200000000001,17.689999999999998,31.749000000000024,16.0,2.6450000000000102,2.3400000000000034,12.0,28.812999999999988,19.529999999999973,43.80599999999998,13.0,3.683999999999969,1.839999999999975,12.0,30.257000000000005,21.173999999999978,31.625,10.0,1.7030000000000314,1.6440000000000055,14.0,5.808000000000007,5.808000000000007,13.0,17.61700000000002,17.61700000000002,158.33300000000003,13.0,11.809000000000026,11.809000000000026,12.0,20.55000000000004,20.55000000000004,31.729000000000013,11.0,2.933000000000021,2.933000000000021,12.0,22.785000000000025,22.785000000000025,43.391999999999996,14.0,2.2690000000000055,2.234999999999985,11.0,22.956999999999994,22.956999999999994,29.84099999999995,3.0,0.17199999999996862,0.17199999999996862,14.266666666666667,0.47777777777777786,5.0,7.0,1991-11-06T00:00:00,WE,CAPPELLARI,Carina,1196990205528249,SUI,NCh,CAPPELLARI Carina,0,12,CAPPELLARI C,12,48930000,SUI19911106,10,10006911535,MNR,2039,HIAG DATA - NS-BIKES FACTORY RACING,12,26
11,6,2006,HRASTNIK Monika,7,49.16,70.979,225.106,255.085,297.575,329.662,6,18,Finished,10017602955,14.0,35.0,12.0,49.25,70.924,228.648,259.526,301.992,334.228,10.0,7.0,Finished,49.0,13.0,6.248000000000005,5.194999999999993,8.0,17.62699999999998,9.554000000000002,154.127,7.0,11.37899999999999,4.359000000000037,7.0,18.466000000000008,10.123999999999995,29.979000000000013,8.0,0.875,0.5699999999999932,7.0,19.930999999999983,10.647999999999968,42.48999999999998,6.0,2.3679999999999666,0.5239999999999725,7.0,21.83699999999999,12.753999999999962,32.08699999999999,12.0,2.1650000000000205,2.1059999999999945,15.0,6.110000000000014,6.110000000000014,12.0,17.310000000000002,17.310000000000002,157.724,12.0,11.199999999999989,11.199999999999989,11.0,19.392000000000024,19.392000000000024,30.878000000000014,8.0,2.082000000000022,2.082000000000022,11.0,20.701000000000022,20.701000000000022,42.46600000000001,8.0,1.3430000000000177,1.3089999999999975,12.0,23.26800000000003,23.26800000000003,32.23599999999999,14.0,2.5670000000000073,2.5670000000000073,13.680555555555555,1.06388888888889,13.0,9.0,1994-06-07T00:00:00,WE,HRASTNIK,Monika,1196990205528243,SLO,CCh,HRASTNIK Monika,0,6,HRASTNIK M,6,48750000,SLO19940607,8,10017602955,,0,,6,23
