,BirthDate,CategoryCode,FamilyName,GivenName,Id,Nation,Outfit,PrintName,RaceId,RaceNr,ScoreboardName,StartOrder,StartTime,UciCode,UciRank,UciRiderId,UciTeamCode,UciTeamId,UciTeamName,WorldCupRank,Age
2001,1990-02-08T00:00:00,WE,NICOLE,Myriam,102001,FRA,WCL,NICOLE Myriam,0,1,NICOLE M,15,47040000,FRA19900208,1,10004535237,CVN,1590,COMMENCAL / VALLNORD,1,28
2002,1987-12-06T00:00:00,WE,ATHERTON,Rachel,102002,GBR,NCh,ATHERTON Rachel,0,2,ATHERTON R,16,47280000,GBR19871206,6,10003434487,TDH,1598,TREK FACTORY RACING DH,2,30
2003,1995-06-15T00:00:00,WE,SEAGRAVE,Tahnee,102003,GBR,,SEAGRAVE Tahnee,0,3,SEAGRAVE T,14,46800000,GBR19950615,2,10007414016,FMD,1863,TRANSITION BIKES / MUC-OFF FACTORY RACING,3,22
2004,1997-03-12T00:00:00,WE,CABIROU,Marine,102004,FRA,,CABIROU Marine,0,4,CABIROU M,11,46140000,FRA19970312,4,10009563069,VVR,2096,VOULVOUL RACING,4,21
2005,1981-01-06T00:00:00,WE,RAVANEL,Cecile,102005,FRA,,RAVANEL Cecile,0,5,RAVANEL C,12,46350000,FRA19810106,38,10002816317,,0,,5,37
2006,1994-06-07T00:00:00,WE,HRASTNIK,Monika,102006,SLO,CCh,HRASTNIK Monika,0,6,HRASTNIK M,10,46020000,SLO19940607,8,10017602955,,0,,6,23
2007,1988-06-13T00:00:00,WE,HANNAH,Tracey,102007,AUS,NCh,HANNAH Tracey,0,7,HANNAH T,13,46560000,AUS19880613,3,10003732258,URT,1608,POLYGON UR,7,29
2008,1986-09-19T00:00:00,WE,SIEGENTHALER,Emilie,102008,SUI,,SIEGENTHALER Emilie,0,8,SIEGENTHALER,9,45900000,SUI19860919,5,10004167243,PFR,1864,PIVOT FACTORY RACING,8,31
2009,1989-04-27T00:00:00,WE,CURD,Katy,102009,GBR,,CURD Katy,0,9,CURD K,7,45660000,GBR19890427,53,10006044292,,0,,9,29
2010,1994-05-06T00:00:00,WE,SALAZAR,Mariana,102010,ESA,,SALAZAR Mariana,0,10,SALAZAR M,8,45780000,ESA19940506,22,10007687838,DOR,1867,DORVAL AM,10,24
2011,1990-03-02T00:00:00,WE,MILLER,Miranda,102011,CAN,WCh,MILLER Miranda,0,11,MILLER M,2,45060000,CAN19900302,9,10005872726,SGR,1667,SPECIALIZED GRAVITY,11,28
2012,1991-11-06T00:00:00,WE,CAPPELLARI,Carina,102012,SUI,NCh,CAPPELLARI Carina,0,12,CAPPELLARI C,4,45180000,SUI19911106,10,10006911535,MNR,2039,HIAG DATA - NS-BIKES FACTORY RACING,12,26
2014,1993-03-08T00:00:00,WE,WIDMANN,Veronika,102014,ITA,,WIDMANN Veronika,0,14,WIDMANN V,5,45240000,ITA19930308,15,10007423312,FSF,2238,FS FUNN,14,25
2018,1995-07-09T00:00:00,WE,RONNING,Frida Helena,102018,NOR,NCh,RONNING Frida Helena,0,18,RONNING F,3,45120000,NOR19950709,19,10008084326,,0,,0,22
2019,1998-08-02T00:00:00,WE,A'HERN,Sian,102019,AUS,,A'HERN Sian,0,19,A'HERN S,6,45300000,AUS19980802,35,10010802043,,0,,0,19
2021,1996-01-18T00:00:00,WE,MOLLOY,Tegan,102021,AUS,,MOLLOY Tegan,0,21,MOLLOY T,1,45000000,AUS19960118,40,10008826980,KON,1012,KONA FACTORY TEAM,0,22
