,bib,id,name,q_rank,q_speed,q_split1,q_split2,q_split3,q_split4,q_split5,q_start,q_start_rev,q_status,uci,q_points
0,2,1002,SHAW Luca,1,,60.014,186.512,212.277,247.485,273.782,2,131,Finished,10008813442,50.0
1,9,1009,HART Danny,2,,60.809,185.396,210.357,247.029,273.87,8,125,Finished,10005470073,40.0
2,10,1010,VERGIER Loris,3,,61.204,187.249,212.537,248.952,274.898,9,124,Finished,10008723112,30.0
3,8,1008,BROSNAN Troy,4,,60.617,187.408,212.731,248.705,275.03,7,126,Finished,10007307417,25.0
4,22,1022,WILLIAMSON Greg,5,,61.259,188.577,214.584,250.636,277.348,21,112,Finished,10006909111,22.0
5,4,1004,BLENKINSOP Samuel,6,,61.779,190.823,216.682,252.882,278.77,4,129,Finished,10004485929,20.0
6,29,1029,FEARON Connor,7,,61.04,190.362,215.592,252.316,278.856,28,105,Finished,10007656314,18.0
7,5,1005,NORTON Dakotah,8,,61.564,191.429,216.909,253.406,279.095,5,128,Finished,10010038167,17.0
8,138,1138,MAES Martin,9,,61.771,191.332,216.737,253.168,279.157,129,4,Finished,10009453945,16.0
9,16,1016,PIERRON Amaury,10,,61.084,189.992,216.245,252.555,279.274,15,118,Finished,10008827283,15.0
10,57,1057,ILES Finn,11,,61.676,191.021,216.305,253.076,279.741,55,78,Finished,10076111537,14.0
11,18,1018,GUTIERREZ VILLEGAS Marcelo,12,,62.351,192.255,218.375,255.122,281.077,17,116,Finished,10005855649,13.0
12,21,1021,BRAYTON Adam,13,,61.242,191.396,217.493,255.264,282.093,20,113,Finished,10005386110,12.0
13,25,1025,ATHERTON Gee,14,,61.131,191.488,217.698,254.969,282.278,24,109,Finished,10003434386,11.0
14,28,1028,FAIRCLOUGH Brendan,15,,62.367,192.6,218.571,255.576,282.554,27,106,Finished,10003642635,10.0
15,14,1014,MULALLY Neko,16,,62.262,193.487,219.681,256.417,282.578,13,120,Finished,10007287613,9.0
16,1,1001,GWIN Aaron,17,,59.23,188.135,214.841,253.443,282.737,1,132,Finished,10006516663,8.0
17,19,1019,MACDONALD Brook,18,,63.033,194.199,220.245,256.782,282.814,18,115,Finished,10006429969,7.0
18,23,1023,WALLACE Mark,19,,62.046,193.645,219.644,256.552,283.068,22,111,Finished,10008172636,6.0
19,7,1007,GREENLAND Laurie,20,,62.191,193.724,219.692,256.467,283.3,6,127,Finished,10009404738,5.0
20,30,1030,FIGARET Faustin,21,,63.05,194.13,220.282,257.162,284.147,29,104,Finished,10007327221,
21,39,1039,HATTON Charlie,22,,62.085,190.016,220.316,256.536,284.178,37,96,Finished,10009897014,
22,88,1088,MACKINNON Kiran,23,,61.821,193.757,220.436,257.78,284.524,83,50,Finished,10007888104,
23,15,1015,SMITH Joseph,24,,62.409,193.372,219.754,257.404,284.791,14,119,Finished,10005852518,
24,80,1080,KERR Bernard,25,,63.44,194.75,220.351,257.75,284.829,75,58,Finished,10006413094,
25,81,1081,WILSON Reece,26,,63.237,194.086,220.562,257.883,284.951,76,57,Finished,10009563271,
26,71,1071,WALKER Matt,27,,62.474,193.761,220.385,258.054,285.274,68,65,Finished,10011016756,
27,95,1095,JONES Michael,28,,62.923,194.98,221.303,259.003,285.739,90,43,Finished,10008194965,
28,66,1066,MARIN Alex,29,,62.284,193.981,220.516,258.767,285.998,63,70,Finished,10009452935,
29,65,1065,CHAPMAN Rupert,30,,62.921,195.793,222.691,259.786,286.256,62,71,Finished,10006841413,
30,129,1129,DALE Sam,31,,62.828,195.404,221.829,259.861,286.291,121,12,Finished,10005778554,
31,17,1017,THIRION Remi,32,,62.857,195.593,222.054,259.238,286.36,16,117,Finished,10005415715,
32,13,1013,HARRISON Charlie,33,,60.869,198.445,224.628,261.133,287.474,12,121,Finished,10009645925,
33,61,1061,BRUNI Loic,34,,61.811,198.532,224.543,261.262,287.658,59,74,Finished,10007544358,
34,49,1049,GUTIERREZ VILLEGAS Rafael,35,,62.791,195.687,222.401,260.891,287.731,47,86,Finished,10007692787,
35,40,1040,VERNON Taylor,36,,64.564,197.277,224.006,260.957,287.809,38,95,Finished,10008728667,
36,43,1043,RUFFIN Thibaut,37,,62.329,196.6,223.548,261.592,288.207,41,92,Finished,10003396293,
37,115,1115,BLAIR Lachlan,38,,63.085,197.126,223.25,261.778,289.025,109,24,Finished,10008827687,
38,112,1112,ESTAQUE Thomas,39,,63.464,197.02,223.906,261.919,289.123,106,27,Finished,10008848505,
39,33,1033,DICKERSON Bryn,40,,63.346,198.301,225.046,263.09,289.63,31,102,Finished,10006949022,
40,67,1067,READING Jack,41,,63.335,198.524,225.359,263.103,289.772,64,69,Finished,10006576176,
41,75,1075,FAYOLLE Alexandre,42,,63.694,197.262,223.609,261.922,289.822,71,62,Finished,10008168996,
42,36,1036,REVELLI Loris,43,,63.967,198.535,224.999,263.543,290.391,34,99,Finished,10009443942,
43,42,1042,GANNICOTT George,44,,64.609,200.185,227.051,263.927,290.498,40,93,Finished,10008169101,
44,106,1106,SUAREZ ALONSO Angel,45,,64.445,198.786,226.164,264.587,290.705,100,33,Finished,10008831529,
45,45,1045,MASTERS Wyn,46,,64.272,199.211,225.804,264.266,291.072,43,90,Finished,10004406107,
46,64,1064,DICKSON Jacob,47,,64.348,199.358,225.963,263.815,291.199,61,72,Finished,10009453642,
47,82,1082,HARTENSTERN Max,48,,64.189,200.378,227.112,264.636,291.204,77,56,Finished,10011213584,
