,BirthDate,CategoryCode,FamilyName,GivenName,Id,Nation,Outfit,PrintName,RaceId,RaceNr,ScoreboardName,StartOrder,StartTime,UciCode,UciRank,UciRiderId,UciTeamCode,UciTeamId,UciTeamName,WorldCupRank,Age
1001,1987-12-24T00:00:00,ME,GWIN,Aaron,101001,USA,WCL,GWIN Aaron,0,1,GWIN A,52,54150000,USA19871224,1,10006516663,YTM,1531,THE YT MOB,1,30
1002,1996-12-25T00:00:00,ME,SHAW,Luca,101002,USA,,SHAW Luca,0,2,SHAW L,60,55830000,USA19961225,10,10008813442,SCB,1307,SANTA CRUZ SYNDICATE,2,21
1004,1988-10-28T00:00:00,ME,BLENKINSOP,Samuel,101004,NZL,CCh,BLENKINSOP Samuel,0,4,BLENKINSOP S,56,54990000,NZL19881028,8,10004485929,NFR,2013,NORCO FACTORY RACING,4,29
1005,1992-04-30T00:00:00,ME,NORTON,Dakotah,101005,USA,,NORTON Dakotah,0,5,NORTON D,55,54780000,USA19920430,19,10010038167,UDR,1961,UNIOR/DEVINCI FACTORY RACING,5,26
1007,1997-02-18T00:00:00,ME,GREENLAND,Laurie,101007,GBR,,GREENLAND Laurie,0,7,GREENLAND L,50,53580000,GBR19970218,12,10009404738,MSM,1009,MS MONDRAKER TEAM,7,21
1008,1993-07-13T00:00:00,ME,BROSNAN,Troy,101008,AUS,NCh,BROSNAN Troy,0,8,BROSNAN T,57,55200000,AUS19930713,2,10007307417,CFT,2162,CANYON FACTORY DOWNHILL TEAM,8,24
1009,1991-09-20T00:00:00,ME,HART,Danny,101009,GBR,,HART Danny,0,9,HART D,59,55620000,GBR19910920,5,10005470073,MST,1680,MADISON SARACEN FACTORY TEAM,9,26
1010,1996-05-07T00:00:00,ME,VERGIER,Loris,101010,FRA,,VERGIER Loris,0,10,VERGIER L,58,55410000,FRA19960507,7,10008723112,SCB,1307,SANTA CRUZ SYNDICATE,10,22
1012,1986-11-21T00:00:00,ME,PAYET,Florent,101012,FRA,,PAYET Florent,0,12,PAYET F,44,52500000,FRA19861121,27,10004035685,VVR,2096,VOULVOUL RACING,12,31
1013,1997-10-18T00:00:00,ME,HARRISON,Charlie,101013,USA,,HARRISON Charlie,0,13,HARRISON C,47,53040000,USA19971018,23,10009645925,IFR,2029,INTENSE FACTORY RACING,13,20
