,bib,id,name,rank,speed,split1,split2,split3,split4,split5,start,start_rev,status,uci,r_points
0,16,1016,PIERRON Amaury,1,,60.602,185.501,211.297,247.279,274.452,54,7,Finished,10008827283,200
1,10,1010,VERGIER Loris,2,,60.79,186.001,211.93,248.287,274.722,58,3,Finished,10008723112,160
2,8,1008,BROSNAN Troy,3,,60.101,186.402,212.226,248.301,274.763,57,4,Finished,10007307417,140
3,81,1081,WILSON Reece,4,,61.39,187.453,213.456,249.286,275.775,30,31,Finished,10009563271,125
4,61,1061,BRUNI Loic,5,,60.521,187.518,213.998,250.78,277.039,46,15,Finished,10007544358,110
5,9,1009,HART Danny,6,,60.734,186.386,212.55,250.051,277.209,59,2,Finished,10005470073,95
6,71,1071,WALKER Matt,7,,60.504,187.293,213.215,250.435,277.612,29,32,Finished,10011016756,90
7,18,1018,GUTIERREZ VILLEGAS Marcelo,8,,61.269,189.254,215.855,251.704,277.698,39,22,Finished,10005855649,85
8,4,1004,BLENKINSOP Samuel,9,,61.452,189.187,215.381,251.41,277.72,56,5,Finished,10004485929,80
9,138,1138,MAES Martin,10,,61.545,188.737,214.603,250.706,277.774,41,20,Finished,10009453945,75
10,19,1019,MACDONALD Brook,11,,61.677,190.486,216.521,252.042,278.0,35,26,Finished,10006429969,70
11,17,1017,THIRION Remi,12,,61.408,189.256,215.118,251.6,278.27,48,13,Finished,10005415715,65
12,29,1029,FEARON Connor,13,,60.665,188.415,214.395,251.427,278.374,42,19,Finished,10007656314,60
13,39,1039,HATTON Charlie,14,,61.206,188.366,214.748,250.609,278.384,33,28,Finished,10009897014,55
14,25,1025,ATHERTON Gee,15,,60.723,188.086,214.004,251.372,279.346,37,24,Finished,10003434386,50
15,7,1007,GREENLAND Laurie,16,,60.674,188.69,214.955,251.82,279.657,50,11,Finished,10009404738,45
16,23,1023,WALLACE Mark,17,,61.622,189.774,215.84,253.095,279.94,51,10,Finished,10008172636,44
17,13,1013,HARRISON Charlie,18,,61.042,191.64,217.85,254.387,280.493,47,14,Finished,10009645925,43
18,57,1057,ILES Finn,19,,60.84,189.184,216.086,253.193,280.545,40,21,Finished,10076111537,42
19,1,1001,GWIN Aaron,20,,60.058,190.789,217.343,253.837,280.822,52,9,Finished,10006516663,41
20,28,1028,FAIRCLOUGH Brendan,21,,61.878,189.593,215.807,253.187,280.849,36,25,Finished,10003642635,40
21,30,1030,FIGARET Faustin,22,,61.321,189.935,216.125,253.513,281.019,34,27,Finished,10007327221,39
22,40,1040,VERNON Taylor,23,,62.348,190.833,217.766,254.404,281.362,23,38,Finished,10008728667,38
23,95,1095,JONES Michael,24,,62.315,190.612,216.529,253.675,281.579,28,33,Finished,10008194965,37
24,21,1021,BRAYTON Adam,25,,61.761,190.558,216.616,254.2,281.619,38,23,Finished,10005386110,36
25,129,1129,DALE Sam,26,,61.552,191.822,218.204,255.35,282.288,25,36,Finished,10005778554,35
26,14,1014,MULALLY Neko,27,,61.296,191.55,218.221,255.371,282.451,53,8,Finished,10007287613,34
27,66,1066,MARIN Alex,28,,61.543,191.387,218.113,255.426,282.807,27,34,Finished,10009452935,33
28,15,1015,SMITH Joseph,29,,61.758,190.618,217.34,255.342,282.886,49,12,Finished,10005852518,32
29,75,1075,FAYOLLE Alexandre,30,,62.532,192.45,218.531,255.412,282.917,45,16,Finished,10008168996,31
30,5,1005,NORTON Dakotah,31,,62.555,192.958,219.14,256.54,283.057,55,6,Finished,10010038167,30
31,65,1065,CHAPMAN Rupert,32,,61.762,192.399,219.125,256.193,283.557,26,35,Finished,10006841413,29
32,51,1051,PIERRON Baptiste,33,,61.523,190.673,217.644,255.599,283.905,11,50,Finished,10008586504,28
33,12,1012,PAYET Florent,34,,61.223,193.184,219.508,257.376,284.448,44,17,Finished,10004035685,27
34,43,1043,RUFFIN Thibaut,35,,60.935,192.681,220.059,257.717,284.964,22,39,Finished,10003396293,26
35,45,1045,MASTERS Wyn,36,,62.594,193.294,220.0,258.029,285.05,14,47,Finished,10004406107,25
36,67,1067,READING Jack,37,,60.744,193.229,220.33,258.077,285.121,18,43,Finished,10006576176,24
37,33,1033,DICKERSON Bryn,38,,61.122,194.126,221.41,259.193,286.308,19,42,Finished,10006949022,23
38,42,1042,GANNICOTT George,39,,62.09,194.328,221.543,258.829,286.354,16,45,Finished,10008169101,22
39,80,1080,KERR Bernard,40,,62.221,193.014,222.158,259.167,286.789,31,30,Finished,10006413094,21
40,112,1112,ESTAQUE Thomas,41,,61.311,195.022,222.455,259.222,286.962,20,41,Finished,10008848505,20
41,38,1038,NIEDERBERGER Noel,42,,63.742,195.823,222.871,260.028,287.366,9,52,Finished,10007568913,19
42,41,1041,DIPASQUALE Charly,43,,61.958,195.366,221.942,260.006,287.441,7,54,Finished,10060004382,18
43,82,1082,HARTENSTERN Max,44,,63.657,196.704,224.012,261.076,287.449,12,49,Finished,10011213584,17
44,31,1031,MANSON Magnus,45,,63.136,195.363,222.757,260.953,288.056,2,59,Finished,10009819313,16
45,64,1064,DICKSON Jacob,46,,63.213,196.209,222.908,260.741,288.125,13,48,Finished,10009453642,15
46,36,1036,REVELLI Loris,47,,62.789,195.673,223.012,261.595,289.014,17,44,Finished,10009443942,14
47,115,1115,BLAIR Lachlan,48,,61.802,195.376,222.661,261.338,289.042,21,40,Finished,10008827687,13
48,48,1048,FITZGERALD Henry,49,,63.951,197.014,224.47,262.507,289.055,6,55,Finished,10009831033,12
49,99,1099,GALLAGHER Kenta,50,,62.838,197.14,224.349,262.12,289.336,1,60,Finished,10006812616,11
50,79,1079,VIGE Gaetan,51,,62.897,195.295,221.838,259.988,289.606,8,53,Finished,10009826989,10
51,104,1104,RUFFIN Gaetan,52,,62.333,195.962,223.095,261.572,289.746,10,51,Finished,10007305090,9
52,49,1049,GUTIERREZ VILLEGAS Rafael,53,,62.746,196.195,222.98,262.032,289.842,24,37,Finished,10007692787,8
53,78,1078,WEBER Basil,54,,63.839,200.635,228.225,265.879,293.345,5,56,Finished,10007392895,7
54,89,1089,HEAP Elliott,55,,65.435,199.182,226.989,265.643,294.984,4,57,Finished,10009843965,6
55,88,1088,MACKINNON Kiran,56,,60.36,204.067,231.469,268.752,296.058,32,29,Finished,10007888104,5
56,86,1086,POTGIETER Johann,57,,64.013,213.39,242.02,281.849,310.577,3,58,Finished,10004065900,4
57,22,1022,WILLIAMSON Greg,58,,61.707,208.734,245.156,287.915,323.479,43,18,Finished,10006909111,3
58,2,1002,SHAW Luca,59,,59.142,198.497,230.95,283.025,330.07,60,1,Finished,10008813442,2
59,106,1106,SUAREZ ALONSO Angel,60,,59.941,266.703,376.757,418.044,450.873,15,46,Finished,10008831529,1
