,BirthDate,CategoryCode,FamilyName,GivenName,Id,Nation,Outfit,PrintName,Protected,RaceId,RaceNr,ScoreboardName,StartOrder,StartTime,UciCode,UciRank,UciRiderId,UciTeamCode,UciTeamId,UciTeamName,WorldCupRank,Age
2001,1988-06-13T00:00:00,WE,HANNAH,Tracey,1196298715793634,AUS,WCL,HANNAH Tracey,False,0,1,HANNAH T,1,48600000,AUS19880613,2,10003732258,URT,1608,POLYGON UR,1,30
2002,1990-02-08T00:00:00,WE,NICOLE,Myriam,1196298715793635,FRA,NCh,NICOLE Myriam,False,0,2,NICOLE M,2,48630000,FRA19900208,4,10004535237,CVN,1590,COMMENCAL / VALLNORD,2,28
2003,1987-12-06T00:00:00,WE,ATHERTON,Rachel,1196298715793636,GBR,WCh,ATHERTON Rachel,False,0,3,ATHERTON R,3,48660000,GBR19871206,1,10003434487,TDH,1598,TREK FACTORY RACING DH,3,30
2004,1993-03-11T00:00:00,WE,CARPENTER,Manon,1196298715793637,GBR,,CARPENTER Manon,False,0,4,CARPENTER M,4,48690000,GBR19930311,5,10007368546,RFD,1170,RADON FACTORY DOWNHILL TEAM,4,25
2005,1995-06-15T00:00:00,WE,SEAGRAVE,Tahnee,1196298715793638,GBR,,SEAGRAVE Tahnee,False,0,5,SEAGRAVE T,5,48720000,GBR19950615,3,10007414016,FMD,1863,TRANSITION BIKES / FMD FACTORY RACING,5,23
2006,1986-09-19T00:00:00,WE,SIEGENTHALER,Emilie,1196298715793639,SUI,,SIEGENTHALER Emilie,False,0,6,SIEGENTHALER,6,48750000,SUI19860919,12,10004167243,PFT,1864,PIVOT FACTORY RACING,6,31
2007,1990-06-09T00:00:00,WE,CHARRE,Morgane,1196298715793640,FRA,,CHARRE Morgane,False,0,7,CHARRE M,7,48780000,FRA19900609,9,10006509690,BGM,1936,BERGAMONT FACTORY TEAM,7,28
2008,1994-05-06T00:00:00,WE,SALAZAR,Mariana,1196298715793641,ESA,,SALAZAR Mariana,False,0,8,SALAZAR M,8,48810000,ESA19940506,13,10007687838,DOR,1867,DORVAL AM NICOLAI,8,24
2009,1990-11-27T00:00:00,WE,FARINA,Eleonora,1196298715793642,ITA,CCh,FARINA Eleonora,False,0,9,FARINA E,9,48840000,ITA19901127,7,10010007855,GBM,2231,GB RIFAR MONDRAKER ASD,9,27
2010,1997-03-12T00:00:00,WE,CABIROU,Marine,1196298715793643,FRA,,CABIROU Marine,False,0,10,CABIROU M,10,48870000,FRA19970312,6,10009563069,VVR,2096,VV RACING,10,21
2011,1991-11-06T00:00:00,WE,CAPPELLARI,Carina,1196298715793644,SUI,,CAPPELLARI Carina,False,0,11,CAPPELLARI C,11,48900000,SUI19911106,11,10006911535,NSR,2039,NS-BIKES FACTORY RACING,11,26
2012,1990-03-02T00:00:00,WE,MILLER,Miranda,1196298715793645,CAN,NCh,MILLER Miranda,False,0,12,MILLER M,12,48930000,CAN19900302,8,10005872726,SGR,1667,SPECIALIZED GRAVITY,12,28
2013,1988-02-10T00:00:00,WE,RUBESAM,Sandra,1196298715793646,GER,NCh,RUBESAM Sandra,False,0,13,RUBESAM S,13,48960000,GER19880210,18,10005570511,,0,,13,30
2014,1990-11-25T00:00:00,WE,VERBEECK,Vaea,1196298715793647,CAN,,VERBEECK Vaea,False,0,14,VERBEECK V,14,48990000,CAN19901125,24,10006526969,,0,,14,27
2016,1993-03-08T00:00:00,WE,WIDMANN,Veronika,1196298715793648,ITA,NCh,WIDMANN Veronika,False,0,16,WIDMANN V,15,49020000,ITA19930308,10,10007423312,FPF,2238,FS PATROL FUNN,16,25
2017,1994-06-07T00:00:00,WE,HRASTNIK,Monika,1196298715793649,SLO,,HRASTNIK Monika,False,0,17,HRASTNIK M,16,49050000,SLO19940607,14,10017602955,,0,,18,24
2018,1991-07-11T00:00:00,WE,MARCELLINI,Alia,1196298715793650,ITA,,MARCELLINI Alia,False,0,18,MARCELLINI A,17,49080000,ITA19910711,15,10006825649,,0,,0,26
2019,1993-09-29T00:00:00,WE,NOGUEIRA,Camila,1196298715793651,ARG,,NOGUEIRA Camila,False,0,19,NOGUEIRA C,18,49110000,ARG19930929,17,10008589635,,0,,19,24
2020,1995-01-25T00:00:00,WE,RUTZ,Lea Salome,1196298715793652,SUI,NCh,RUTZ Lea Salome,False,0,20,RUTZ L,19,49140000,SUI19950125,20,10010012000,,0,,0,23
2021,1993-08-01T00:00:00,WE,SCHWEMMER,Kim,1196298715793653,GER,,SCHWEMMER Kim,False,0,21,SCHWEMMER K,20,49170000,GER19930801,25,10007401686,,0,,0,24
2022,1994-02-24T00:00:00,WE,BJORKMAN,Josefine,1196298715793654,SWE,NCh,BJORKMAN Josefine,False,0,22,BJORKMAN J,21,49200000,SWE19940224,26,10007928015,,0,,0,24
2023,1995-05-17T00:00:00,WE,FINK,Geraldine,1196298715793655,SUI,,FINK Geraldine,False,0,23,FINK G,22,49230000,SUI19950517,28,10008552350,,0,,0,23
2025,1991-06-07T00:00:00,WE,WECHSELBERGER,Simone,1196298715793656,AUT,,WECHSELBERGER Simone,False,0,25,WECHSELBERGE,23,49260000,AUT19910607,47,10010670384,MSR,1009,MS MONDRAKER TEAM,0,27
2026,1996-01-18T00:00:00,WE,MOLLOY,Tegan,1196298715793657,AUS,,MOLLOY Tegan,False,0,26,MOLLOY T,24,49290000,AUS19960118,58,10008826980,KON,1012,KONA FACTORY TEAM,0,22
2027,1995-07-09T00:00:00,WE,RONNING,Frida Helena,1196298715793658,NOR,,RONNING Frida Helena,False,0,27,RONNING F,25,49320000,NOR19950709,61,10008084326,,0,,0,22
2028,1984-04-10T00:00:00,WE,WOHLGENSINGER,Alexandra,1196298715793659,SUI,,WOHLGENSINGER Alexandra,False,0,28,WOHLGENSINGE,26,49350000,SUI19840410,64,10010735153,,0,,0,34
2029,1988-03-01T00:00:00,WE,SKUMBINA,Anna,1196298715793660,RUS,NCh,SKUMBINA Anna,False,0,29,SKUMBINA A,27,49380000,RUS19880301,72,10007933166,,0,,0,30
2030,1991-09-25T00:00:00,WE,LEIVSDOTTIR,Vera,1196298715793661,NOR,,LEIVSDOTTIR Vera,False,0,30,LEIVSDOTTIR,28,49410000,NOR19910925,93,10010898134,,0,,0,26
2031,1991-02-05T00:00:00,WE,HILL-WRIGHT,Ronja,1196298715793662,AUS,NCh,HILL-WRIGHT Ronja,False,0,31,HILL-WRIGHT,29,49440000,AUS19910205,97,10010623807,,0,,0,27
2032,1986-12-05T00:00:00,WE,DUTOVA,Vera,1196298715793663,RUS,,DUTOVA Vera,False,0,32,DUTOVA V,30,49470000,RUS19861205,141,10009254790,,0,,0,31
2033,1982-02-25T00:00:00,WE,BULSKA,Agata,1196298715793664,POL,N,BULSKA Agata,False,0,33,BULSKA A,31,49500000,POL19820225,183,10011186407,,0,,0,36
2034,1977-05-26T00:00:00,WE,RABEDER,Elke,1196298715793665,AUT,N,RABEDER Elke,False,0,34,RABEDER E,32,49530000,AUT19770526,185,10005884446,,0,,0,41
2036,1998-03-14T00:00:00,WE,BELL,Cairn,1196298715793666,GBR,N,BELL Cairn,False,0,36,BELL C,33,49560000,GBR19980314,253,10011212069,,0,,0,20
2037,1998-06-28T00:00:00,WE,ARMSTRONG,Virginia,1196298715793667,NZL,N,ARMSTRONG Virginia,False,0,37,ARMSTRONG V,34,49590000,NZL19980628,0,10052926416,,0,,0,20
