,bib,id,name,q_rank,q_split1,q_split2,q_split3,q_split4,q_split5,q_start,q_start_rev,q_status,uci,q_points
0,8,1008,GWIN Aaron,1,48.953,83.388,120.776,161.722,190.271,8,155,Finished,10006516663,50.0
1,1,1001,MINNAAR Greg,2,48.913,83.465,121.802,163.615,192.519,1,162,Finished,10002818640,40.0
2,11,1011,BROSNAN Troy,3,49.167,84.626,122.385,164.221,193.176,11,152,Finished,10007307417,30.0
3,14,1014,BRUNI Loic,4,48.497,83.721,122.277,164.101,193.494,14,149,Finished,10007544358,25.0
4,15,1015,VERGIER Loris,5,49.232,84.444,122.567,165.048,194.444,15,148,Finished,10008723112,22.0
5,38,1038,HANNAH Michael,6,49.753,85.559,123.49,166.33,195.429,38,125,Finished,10002815812,20.0
6,9,1009,GREENLAND Laurie,7,49.385,83.918,122.751,165.513,195.437,9,154,Finished,10009404738,18.0
7,24,1024,KERR Bernard,8,49.462,85.08,124.25,166.926,195.861,24,139,Finished,10006413094,17.0
8,53,1053,HART Danny,9,48.926,84.435,122.964,166.828,196.701,52,111,Finished,10005470073,16.0
9,30,1030,SHAW Luca,10,49.677,86.276,124.121,167.465,197.026,30,133,Finished,10008813442,15.0
10,6,1006,FEARON Connor,11,49.875,85.825,125.042,168.026,197.2,6,157,Finished,10007656314,14.0
11,10,1010,THIRION Remi,12,48.936,85.086,123.642,166.877,197.218,10,153,Finished,10005415715,13.0
12,48,1048,DICKSON Jacob,13,49.776,85.711,125.021,167.768,197.738,47,116,Finished,10009453642,12.0
13,23,1023,MACDONALD Brook,14,50.046,86.567,125.389,168.795,198.789,23,140,Finished,10006429969,11.0
14,25,1025,ZABJEK Jure,15,49.991,86.333,125.045,168.69,198.863,25,138,Finished,10008164855,10.0
15,43,1043,BRANNIGAN George,16,49.931,86.745,125.454,168.86,199.128,42,121,Finished,10006834339,9.0
16,5,1005,FAYOLLE Alexandre,17,49.682,86.578,126.357,169.471,199.265,5,158,Finished,10008168996,8.0
17,26,1026,FIGARET Faustin,18,49.308,85.922,125.084,168.678,199.316,26,137,Finished,10007327221,7.0
18,76,1076,LUCAS Dean,19,50.123,86.929,125.763,169.119,199.374,72,91,Finished,10008103322,6.0
19,68,1068,NIEDERBERGER Noel,20,50.474,87.456,126.649,169.918,199.451,65,98,Finished,10007568913,5.0
20,3,1003,MOIR Jack,21,49.913,85.703,124.439,167.01,199.453,3,160,Finished,10008176575,
21,35,1035,SIMMONDS Matthew,22,49.831,86.399,125.533,169.694,199.574,35,128,Finished,10004170576,
22,2,1002,GUTIERREZ VILLEGAS Marcelo,23,49.623,86.777,125.302,168.994,199.589,2,161,Finished,10005855649,
23,27,1027,READING Jack,24,49.662,86.281,125.212,169.666,199.652,27,136,Finished,10006576176,
24,17,1017,PEKOLL Markus,25,50.391,87.022,126.257,170.09,199.994,17,146,Finished,10004038921,
25,7,1007,MULALLY Neko,26,50.565,87.617,126.275,170.025,200.078,7,156,Finished,10007287613,
26,18,1018,FAIRCLOUGH Brendan,27,50.302,86.881,126.926,170.293,200.342,18,145,Finished,10003642635,
27,39,1039,BLENKINSOP Samuel,28,51.291,87.773,125.662,169.959,200.574,39,124,Finished,10004485929,
28,29,1029,PIERRON Amaury,29,50.614,87.767,127.023,169.57,200.654,29,134,Finished,10008827283,
29,97,1097,CAROLI Jerome,30,50.464,86.805,126.412,170.245,200.985,90,73,Finished,10008172232,
30,82,1082,TRUMMER David,31,50.826,87.777,127.524,170.88,201.046,77,86,Finished,10007713403,
31,4,1004,WALLACE Mark,32,52.565,88.973,128.107,171.424,201.105,4,159,Finished,10008172636,
32,56,1056,LUKASIK Slawomir,33,50.633,87.826,126.867,170.918,201.213,54,109,Finished,10007405932,
33,34,1034,LEIVSSON Isak,34,51.437,88.563,127.662,171.671,201.301,34,129,Finished,10007422100,
34,20,1020,BRAYTON Adam,35,51.03,87.945,127.599,171.756,201.39,20,143,Finished,10005386110,
35,92,1092,MUDD Graeme,36,50.36,87.865,125.742,170.211,201.474,85,78,Finished,10007244264,
36,59,1059,ATWILL Philip,37,51.01,87.215,126.243,170.31,201.581,57,106,Finished,10008059064,
37,19,1019,MARIN Alex,38,50.672,87.068,127.21,171.394,201.826,19,144,Finished,10009452935,
38,47,1047,MASTERS Edward,39,49.631,87.175,125.903,170.712,201.905,46,117,Finished,10005560003,
39,87,1087,BARANEK Rastislav,40,51.092,87.96,127.7,171.579,201.948,82,81,Finished,10008169808,
40,22,1022,CABIROU Rudy,41,50.959,88.125,127.489,170.97,201.98,22,141,Finished,10007714413,
41,37,1037,COULANGES Benoit,42,50.02,87.955,127.143,171.898,202.009,37,126,Finished,10008194359,
42,12,1012,HATTON Charlie,43,51.17,88.16,128.083,172.021,202.147,12,151,Finished,10009897014,
43,36,1036,RIESCO Forrest,44,51.567,88.092,127.578,171.738,202.338,36,127,Finished,10008550734,
44,46,1046,NORTON Dakotah,45,50.089,88.165,126.654,171.877,202.367,45,118,Finished,10010038167,
45,33,1033,JACKSON Eliot,46,51.101,88.918,127.748,171.522,202.457,33,130,Finished,10007423514,
46,83,1083,VIGE Gaetan,47,50.388,87.635,128.519,171.977,202.65,78,85,Finished,10009826989,
47,69,1069,DALE Sam,48,51.487,88.813,127.474,172.186,202.699,66,97,Finished,10005778554,
48,63,1063,JAUCH Jasper,49,51.223,88.689,128.105,172.332,202.708,61,102,Finished,10007455745,
49,95,1095,MOLLOY Harry,50,51.099,89.042,127.856,172.567,202.749,88,75,Finished,10006816454,
50,65,1065,VERNON Taylor,51,50.684,87.119,127.238,171.519,202.818,63,100,Finished,10008728667,
51,51,1051,WILSON Reece,52,50.713,87.808,127.169,172.127,202.824,50,113,Finished,10009563271,
52,74,1074,SMITH Joseph,53,50.697,87.741,127.613,172.262,203.018,71,92,Finished,10005852518,
53,85,1085,FISCHBACH Johannes,54,50.089,88.044,127.076,172.366,203.278,80,83,Finished,10004475825,
54,62,1062,BUTTON Joshua,55,51.678,88.629,129.29,173.584,203.656,60,103,Finished,10005767844,
55,101,1101,WALKER Matthew,56,51.426,89.896,127.694,173.222,203.817,92,71,Finished,10005838875,
56,93,1093,STEPANEK Ondrej,57,50.939,88.374,127.762,173.704,203.87,86,77,Finished,10007713706,
57,41,1041,REVELLI Loris,58,51.592,89.602,129.466,174.025,204.05,40,123,Finished,10009443942,
58,28,1028,CHAPMAN Rupert,59,51.178,89.285,128.759,173.588,204.308,28,135,Finished,10006841413,
59,61,1061,PIERRON Baptiste,60,53.898,89.595,130.307,174.003,204.34,59,104,Finished,10008586504,
60,52,1052,GARLICKI Stefan,61,51.56,89.433,128.055,173.376,204.413,51,112,Finished,10006796549,
61,119,1119,CZERMAK Wojciech,62,51.971,89.067,129.478,173.982,204.507,110,53,Finished,10009083325,
