,BirthDate,CategoryCode,FamilyName,GivenName,Id,Nation,Outfit,PrintName,Protected,RaceId,RaceNr,ScoreboardName,StartOrder,StartTime,UciCode,UciRank,UciRiderId,UciTeamCode,UciTeamId,UciTeamName,WorldCupRank,Age
1001,1981-11-13T00:00:00,ME,MINNAAR,Greg,1196298715793414,RSA,WCL,MINNAAR Greg,False,0,1,MINNAAR G,1,50400000,RSA19811113,3,10002818640,SCB,1307,SANTA CRUZ SYNDICATE,1,36
1002,1990-05-09T00:00:00,ME,GUTIERREZ VILLEGAS,Marcelo,1196298715793415,COL,NCh,GUTIERREZ VILLEGAS Marcelo,False,0,2,GUTIERREZ VI,2,50430000,COL19900509,8,10005855649,GMT,1329,GIANT FACTORY OFF-ROAD TEAM,2,28
1003,1994-02-08T00:00:00,ME,MOIR,Jack,1196298715793416,AUS,NCh,MOIR Jack,False,0,3,MOIR J,3,50460000,AUS19940208,11,10008176575,IFR,2029,INTENSE FACTORY RACING,3,24
1004,1995-06-01T00:00:00,ME,WALLACE,Mark,1196298715793417,CAN,,WALLACE Mark,False,0,4,WALLACE M,4,50490000,CAN19950601,13,10008172636,CFT,2162,CANYON FACTORY RACING DH,4,23
1005,1995-07-20T00:00:00,ME,FAYOLLE,Alexandre,1196298715793418,FRA,,FAYOLLE Alexandre,False,0,5,FAYOLLE A,5,50520000,FRA19950720,16,10008168996,URT,1608,POLYGON UR,5,22
1006,1994-01-19T00:00:00,ME,FEARON,Connor,1196298715793419,AUS,,FEARON Connor,False,0,6,FEARON C,6,50550000,AUS19940119,7,10007656314,KON,1012,KONA FACTORY TEAM,6,24
1007,1993-02-19T00:00:00,ME,MULALLY,Neko,1196298715793420,USA,,MULALLY Neko,False,0,7,MULALLY N,7,50580000,USA19930219,55,10007287613,YTM,1531,THE YT MOB,7,25
1008,1987-12-24T00:00:00,ME,GWIN,Aaron,1196298715793421,USA,NCh,GWIN Aaron,False,0,8,GWIN A,8,50610000,USA19871224,5,10006516663,YTM,1531,THE YT MOB,8,30
1009,1997-02-18T00:00:00,ME,GREENLAND,Laurie,1196298715793422,GBR,,GREENLAND Laurie,False,0,9,GREENLAND L,9,50640000,GBR19970218,9,10009404738,MSR,1009,MS MONDRAKER TEAM,9,21
1010,1990-04-23T00:00:00,ME,THIRION,Remi,1196298715793423,FRA,,THIRION Remi,False,0,10,THIRION R,10,50670000,FRA19900423,6,10005415715,CVN,1590,COMMENCAL / VALLNORD,10,28
1011,1993-07-13T00:00:00,ME,BROSNAN,Troy,1196298715793424,AUS,,BROSNAN Troy,False,0,11,BROSNAN T,11,50700000,AUS19930713,2,10007307417,CFT,2162,CANYON FACTORY RACING DH,11,24
1012,1998-02-23T00:00:00,ME,HATTON,Charlie,1196298715793425,GBR,,HATTON Charlie,False,0,12,HATTON C,12,50730000,GBR19980223,84,10009897014,IRU,2233,INTENSE RACING UK,12,20
1013,1996-11-15T00:00:00,ME,ESTAQUE,Thomas,1196298715793426,FRA,,ESTAQUE Thomas,False,0,13,ESTAQUE T,13,50760000,FRA19961115,20,10008848505,CLB,1596,COMMENCAL - LAC BLANC,13,21
1014,1994-05-13T00:00:00,ME,BRUNI,Loic,1196298715793427,FRA,,BRUNI Loic,False,0,14,BRUNI L,14,50790000,FRA19940513,26,10007544358,SGR,1667,SPECIALIZED GRAVITY,14,24
1015,1996-05-07T00:00:00,ME,VERGIER,Loris,1196298715793428,FRA,,VERGIER Loris,False,0,15,VERGIER L,15,50820000,FRA19960507,19,10008723112,SCB,1307,SANTA CRUZ SYNDICATE,15,22
1016,1986-11-21T00:00:00,ME,PAYET,Florent,1196298715793429,FRA,CCh,PAYET Florent,False,0,16,PAYET F,16,50850000,FRA19861121,4,10004035685,VVR,2096,VV RACING,16,31
1017,1987-10-13T00:00:00,ME,PEKOLL,Markus,1196298715793430,AUT,NCh,PEKOLL Markus,False,0,17,PEKOLL M,17,50880000,AUT19871013,18,10004038921,MSR,1009,MS MONDRAKER TEAM,17,30
1018,1988-01-10T00:00:00,ME,FAIRCLOUGH,Brendan,1196298715793431,GBR,,FAIRCLOUGH Brendan,False,0,18,FAIRCLOUGH B,18,50910000,GBR19880110,23,10003642635,SVL,1448,SCOTT-VELOSOLUTIONS,18,30
1019,1997-03-25T00:00:00,ME,MARIN,Alex,1196298715793432,ESP,,MARIN Alex,False,0,19,MARIN A,19,50940000,ESP19970325,39,10009452935,MAD,1680,MADISON SARACEN FACTORY TEAM,19,21
1020,1988-10-19T00:00:00,ME,BRAYTON,Adam,1196298715793433,GBR,,BRAYTON Adam,False,0,20,BRAYTON A,20,50970000,GBR19881019,22,10005386110,,0,,20,29
1021,1997-10-18T00:00:00,ME,HARRISON,Charlie,1196298715793434,USA,,HARRISON Charlie,False,0,21,HARRISON C,21,51000000,USA19971018,27,10009645925,IFR,2029,INTENSE FACTORY RACING,21,20
1022,1994-05-11T00:00:00,ME,CABIROU,Rudy,1196298715793435,FRA,,CABIROU Rudy,False,0,22,CABIROU R,22,51030000,FRA19940511,54,10007714413,UTT,1961,UNIOR TOOLS TEAM,22,24
1023,1991-11-25T00:00:00,ME,MACDONALD,Brook,1196298715793436,NZL,,MACDONALD Brook,False,0,23,MACDONALD B,23,51060000,NZL19911125,33,10006429969,GTR,2103,GT FACTORY RACING,23,26
1024,1991-02-16T00:00:00,ME,KERR,Bernard,1196298715793437,GBR,,KERR Bernard,False,0,24,KERR B,24,51090000,GBR19910216,14,10006413094,PFT,1864,PIVOT FACTORY RACING,24,27
1025,1995-10-11T00:00:00,ME,ZABJEK,Jure,1196298715793438,SLO,NCh,ZABJEK Jure,False,0,25,ZABJEK J,25,51120000,SLO19951011,12,10008164855,UTT,1961,UNIOR TOOLS TEAM,25,22
1026,1993-11-07T00:00:00,ME,FIGARET,Faustin,1196298715793439,FRA,,FIGARET Faustin,False,0,26,FIGARET F,26,51150000,FRA19931107,49,10007327221,RFD,1170,RADON FACTORY DOWNHILL TEAM,26,24
1027,1988-12-10T00:00:00,ME,READING,Jack,1196298715793440,GBR,,READING Jack,False,0,27,READING J,27,51180000,GBR19881210,29,10006576176,OVR,2043,ONE VISION GLOBAL RACING,27,29
1028,1992-04-09T00:00:00,ME,CHAPMAN,Rupert,1196298715793441,NZL,,CHAPMAN Rupert,False,0,28,CHAPMAN R,28,51210000,NZL19920409,34,10006841413,PFT,1864,PIVOT FACTORY RACING,28,26
1029,1996-03-04T00:00:00,ME,PIERRON,Amaury,1196298715793442,FRA,,PIERRON Amaury,False,0,29,PIERRON A,29,51240000,FRA19960304,35,10008827283,CLB,1596,COMMENCAL - LAC BLANC,29,22
1030,1996-12-25T00:00:00,ME,SHAW,Luca,1196298715793443,USA,,SHAW Luca,False,0,30,SHAW L,30,51270000,USA19961225,21,10008813442,SCB,1307,SANTA CRUZ SYNDICATE,30,21
1031,1995-10-13T00:00:00,ME,BLAIR,Lachlan,1196298715793444,GBR,,BLAIR Lachlan,False,0,31,BLAIR L,31,51300000,GBR19951013,117,10008827687,,0,,31,22
1032,1994-05-31T00:00:00,ME,MCGLONE,Fraser,1196298715793445,GBR,,MCGLONE Fraser,False,0,32,MCGLONE F,32,51330000,GBR19940531,119,10007694306,,0,,32,24
1033,1990-06-19T00:00:00,ME,JACKSON,Eliot,1196298715793446,USA,,JACKSON Eliot,False,0,33,JACKSON E,33,51360000,USA19900619,43,10007423514,GMT,1329,GIANT FACTORY OFF-ROAD TEAM,33,28
1034,1993-10-17T00:00:00,ME,LEIVSSON,Isak,1196298715793447,NOR,,LEIVSSON Isak,False,0,34,LEIVSSON I,34,51390000,NOR19931017,50,10007422100,,0,,34,24
1035,1987-05-20T00:00:00,ME,SIMMONDS,Matthew,1196298715793448,GBR,,SIMMONDS Matthew,False,0,35,SIMMONDS M,35,51420000,GBR19870520,41,10004170576,MAD,1680,MADISON SARACEN FACTORY TEAM,35,31
