,bib,id,name,rank,split1,split2,split3,split4,split5,start,start_rev,status,uci,r_points
0,8,1008,GWIN Aaron,1,47.409,81.156,118.573,158.791,186.958,80,1,Finished,10006516663,200.0
1,15,1015,VERGIER Loris,2,47.539,81.13,119.137,160.264,188.393,76,5,Finished,10008723112,160.0
2,1,1001,MINNAAR Greg,3,48.003,82.133,120.592,161.353,189.642,79,2,Finished,10002818640,140.0
3,11,1011,BROSNAN Troy,4,48.061,82.558,121.319,162.4,190.243,78,3,Finished,10007307417,125.0
4,24,1024,KERR Bernard,5,48.027,82.275,120.988,162.796,191.311,73,8,Finished,10006413094,110.0
5,9,1009,GREENLAND Laurie,6,48.035,82.227,121.46,163.045,191.474,74,7,Finished,10009404738,95.0
6,30,1030,SHAW Luca,7,47.915,83.697,121.508,163.265,192.096,71,10,Finished,10008813442,90.0
7,38,1038,HANNAH Michael,8,48.719,83.709,121.055,163.148,192.253,75,6,Finished,10002815812,85.0
8,3,1003,MOIR Jack,9,48.498,84.378,123.048,165.0,194.058,67,14,Finished,10008176575,80.0
9,6,1006,FEARON Connor,10,48.665,84.01,122.895,165.617,194.116,70,11,Finished,10007656314,75.0
10,53,1053,HART Danny,11,48.709,83.347,123.658,165.978,194.442,72,9,Finished,10005470073,70.0
11,25,1025,ZABJEK Jure,12,48.101,83.188,122.425,165.357,194.783,61,20,Finished,10008164855,65.0
12,23,1023,MACDONALD Brook,13,48.99,83.936,122.56,165.727,194.89,62,19,Finished,10006429969,60.0
13,76,1076,LUCAS Dean,14,48.643,83.761,122.724,165.247,195.25,58,23,Finished,10008103322,55.0
14,48,1048,DICKSON Jacob,15,48.771,84.092,124.028,166.226,195.292,63,18,Finished,10009453642,50.0
15,59,1059,ATWILL Philip,16,48.864,83.787,123.86,166.254,195.491,42,39,Finished,10008059064,45.0
16,43,1043,BRANNIGAN George,17,48.905,84.828,123.784,166.333,195.497,60,21,Finished,10006834339,44.0
17,34,1034,LEIVSSON Isak,18,49.883,85.685,124.649,167.046,195.604,44,37,Finished,10007422100,43.0
18,27,1027,READING Jack,19,48.573,83.711,123.327,166.396,195.614,50,31,Finished,10006576176,42.0
19,19,1019,MARIN Alex,20,49.082,84.114,123.999,166.381,195.681,53,28,Finished,10009452935,41.0
20,26,1026,FIGARET Faustin,21,48.243,83.756,123.289,166.281,195.87,59,22,Finished,10007327221,40.0
21,35,1035,SIMMONDS Matthew,22,48.671,83.723,123.089,166.479,195.943,51,30,Finished,10004170576,39.0
22,65,1065,VERNON Taylor,23,48.58,83.35,124.302,166.422,195.968,30,51,Finished,10008728667,38.0
