,bib,id,name,q_rank,q_speed,q_split1,q_split2,q_split3,q_split4,q_split5,q_start,q_start_rev,q_status,uci,q_points,r_points,rank,speed,split1,split2,split3,split4,split5,start,start_rev,status,points,qr_diff,q_split1_rank,q_split1_vs_best,q_split1_vs_winner,q_split2_rank,q_split2_vs_best,q_split2_vs_winner,q_split2_sector,q_split2_sector_rank,q_split2_sector_vs_best,q_split2_sector_vs_winner,q_split3_rank,q_split3_vs_best,q_split3_vs_winner,q_split3_sector,q_split3_sector_rank,q_split3_sector_vs_best,q_split3_sector_vs_winner,q_split4_rank,q_split4_vs_best,q_split4_vs_winner,q_split4_sector,q_split4_sector_rank,q_split4_sector_vs_best,q_split4_sector_vs_winner,q_split5_rank,q_split5_vs_best,q_split5_vs_winner,q_split5_sector,q_split5_sector_rank,q_split5_sector_vs_best,q_split5_sector_vs_winner,split1_rank,split1_vs_best,split1_vs_winner,split2_rank,split2_vs_best,split2_vs_winner,split2_sector,split2_sector_rank,split2_sector_vs_best,split2_sector_vs_winner,split3_rank,split3_vs_best,split3_vs_winner,split3_sector,split3_sector_rank,split3_sector_vs_best,split3_sector_vs_winner,split4_rank,split4_vs_best,split4_vs_winner,split4_sector,split4_sector_rank,split4_sector_vs_best,split4_sector_vs_winner,split5_rank,split5_vs_best,split5_vs_winner,split5_sector,split5_sector_rank,split5_sector_vs_best,split5_sector_vs_winner,speed_ms,speed_ms_vs_best,speed_rank,q_speed_rank,BirthDate,CategoryCode,FamilyName,GivenName,Id,Nation,Outfit,PrintName,Protected,RaceId,RaceNr,ScoreboardName,StartOrder,StartTime,UciCode,UciRank,UciRiderId,UciTeamCode,UciTeamId,UciTeamName,WorldCupRank,Age
0,2,2002,ATHERTON Rachel,16,49.86,74.58,116.942,160.266,212.906,249.889,2,40,Finished,10003434487,,200.0,1.0,36.98,51.093,92.842,135.011,186.012,221.141,10.0,8.0,Finished,200.0,-28.74800000000002,37.0,22.123999999999995,0.0,31.0,19.11099999999999,0.0,42.361999999999995,1.0,0.0,0.0,30.0,20.539999999999992,0.0,43.324,3.0,1.429000000000002,0.0,18.0,21.164999999999992,0.0,52.640000000000015,3.0,1.0430000000000064,0.0,16.0,22.661,0.0,36.983000000000004,5.0,1.4960000000000093,0.0,1.0,0.0,0.0,1.0,0.0,0.0,41.748999999999995,2.0,0.49199999999999733,0.0,1.0,0.0,0.0,42.169,1.0,0.0,0.0,2.0,0.5030000000000143,0.0,51.001000000000005,2.0,1.004000000000019,0.0,1.0,0.0,0.0,35.12899999999999,2.0,0.7150000000000034,0.0,10.272222222222222,0.7222222222222214,10.0,3.0,1987-12-06T00:00:00,WE,ATHERTON,Rachel,1197024565271777,GBR,NCh,ATHERTON Rachel,False,0,2,ATHERTON R,2,48630000,GBR19871206,5,10003434487,TDH,1598,TREK FACTORY RACING DH,2,30
1,1,2001,NICOLE Myriam,5,50.49,52.456,103.344,146.517,202.422,238.608,1,41,Finished,10004535237,20.0,160.0,2.0,36.18,51.993,93.25,135.512,185.509,221.779,13.0,5.0,Finished,180.0,-16.829000000000008,1.0,0.0,-22.123999999999995,8.0,5.512999999999991,-13.597999999999999,50.88799999999999,32.0,8.525999999999996,8.525999999999996,5.0,6.790999999999997,-13.748999999999995,43.173,2.0,1.2780000000000058,-0.15099999999999625,7.0,10.680999999999983,-10.484000000000009,55.905,14.0,4.307999999999993,3.2649999999999864,5.0,11.379999999999995,-11.281000000000006,36.18600000000001,3.0,0.6990000000000123,-0.796999999999997,2.0,0.8999999999999986,0.8999999999999986,2.0,0.40800000000000125,0.40800000000000125,41.257,1.0,0.0,-0.49199999999999733,2.0,0.5010000000000048,0.5010000000000048,42.262,2.0,0.09300000000000352,0.09300000000000352,1.0,0.0,-0.5030000000000143,49.996999999999986,1.0,0.0,-1.004000000000019,2.0,0.6380000000000052,0.6380000000000052,36.27000000000001,4.0,1.856000000000023,1.1410000000000196,10.05,0.9444444444444429,12.0,2.0,1990-02-08T00:00:00,WE,NICOLE,Myriam,1197024565271776,FRA,WCL,NICOLE Myriam,False,0,1,NICOLE M,1,48600000,FRA19900208,1,10004535237,CVN,1590,COMMENCAL / VALLNORD,1,28
2,6,2006,HANNAH Tracey,2,50.98,55.436,99.536,143.504,195.101,230.608,5,37,Finished,10003732258,40.0,140.0,3.0,35.5,52.512,94.542,137.55,190.704,225.118,16.0,2.0,Finished,180.0,-5.490000000000009,3.0,2.979999999999997,-19.144,2.0,1.7049999999999983,-17.40599999999999,44.1,5.0,1.7380000000000067,1.7380000000000067,2.0,3.7779999999999916,-16.762,43.96799999999999,5.0,2.0729999999999933,0.6439999999999912,2.0,3.359999999999985,-17.805000000000007,51.59700000000001,1.0,0.0,-1.0430000000000064,2.0,3.3799999999999955,-19.281000000000006,35.507000000000005,2.0,0.020000000000010232,-1.475999999999999,3.0,1.418999999999997,1.418999999999997,3.0,1.7000000000000028,1.7000000000000028,42.03,3.0,0.7730000000000032,0.2810000000000059,3.0,2.5390000000000157,2.5390000000000157,43.00800000000001,4.0,0.8390000000000128,0.8390000000000128,3.0,5.195000000000022,4.692000000000007,53.153999999999996,6.0,3.1570000000000107,2.1529999999999916,3.0,3.977000000000004,3.977000000000004,34.41399999999999,1.0,0.0,-0.7150000000000034,9.86111111111111,1.1333333333333329,13.0,1.0,1988-06-13T00:00:00,WE,HANNAH,Tracey,1197024565271780,AUS,NCh,HANNAH Tracey,False,0,6,HANNAH T,5,48720000,AUS19880613,3,10003732258,URT,1608,POLYGON UR,6,30
3,9,2009,HRASTNIK Monika,4,49.48,56.999,100.942,144.646,198.395,235.39,8,34,Finished,10017602955,25.0,125.0,4.0,36.99,55.303,99.647,142.596,194.214,229.597,14.0,4.0,Finished,150.0,-5.792999999999978,5.0,4.542999999999999,-17.580999999999996,4.0,3.11099999999999,-16.0,43.94299999999999,2.0,1.580999999999996,1.580999999999996,4.0,4.9199999999999875,-15.620000000000005,43.70399999999999,4.0,1.8089999999999975,0.37999999999999545,4.0,6.653999999999996,-14.510999999999996,53.749000000000024,5.0,2.1520000000000152,1.1090000000000089,4.0,8.161999999999978,-14.499000000000024,36.994999999999976,6.0,1.5079999999999814,0.011999999999972033,6.0,4.209999999999994,4.209999999999994,5.0,6.805000000000007,6.805000000000007,44.34400000000001,7.0,3.0870000000000104,2.595000000000013,4.0,7.585000000000008,7.585000000000008,42.949,3.0,0.7800000000000011,0.7800000000000011,4.0,8.705000000000013,8.201999999999998,51.617999999999995,3.0,1.6210000000000093,0.6169999999999902,4.0,8.456000000000017,8.456000000000017,35.38300000000001,3.0,0.9690000000000225,0.2540000000000191,10.275,0.7194444444444432,9.0,5.0,1994-06-07T00:00:00,WE,HRASTNIK,Monika,1197024565271783,SLO,CCh,HRASTNIK Monika,False,0,9,HRASTNIK M,8,48810000,SLO19940607,7,10017602955,,0,,9,24
4,7,2007,SIEGENTHALER Emilie,3,49.48,55.776,99.845,144.556,197.387,235.296,6,36,Finished,10004167243,30.0,110.0,5.0,37.9,54.994,98.833,143.45,195.311,232.78,15.0,3.0,Finished,140.0,-2.515999999999991,4.0,3.3200000000000003,-18.803999999999995,3.0,2.013999999999996,-17.096999999999994,44.068999999999996,4.0,1.7070000000000007,1.7070000000000007,3.0,4.8300000000000125,-15.70999999999998,44.71100000000001,9.0,2.8160000000000167,1.3870000000000147,3.0,5.645999999999987,-15.519000000000005,52.83099999999999,4.0,1.2339999999999804,0.19099999999997408,3.0,8.067999999999984,-14.593000000000018,37.90899999999999,10.0,2.421999999999997,0.9259999999999877,5.0,3.9009999999999962,3.9009999999999962,4.0,5.991,5.991,43.839,4.0,2.5820000000000007,2.0900000000000034,5.0,8.438999999999993,8.438999999999993,44.61699999999999,9.0,2.4479999999999933,2.4479999999999933,5.0,9.802000000000021,9.299000000000007,51.86100000000002,4.0,1.8640000000000327,0.8600000000000136,5.0,11.63900000000001,11.63900000000001,37.468999999999994,9.0,3.055000000000007,2.3400000000000034,10.527777777777779,0.466666666666665,5.0,5.0,1986-09-19T00:00:00,WE,SIEGENTHALER,Emilie,1197024565271781,SUI,,SIEGENTHALER Emilie,False,0,7,SIEGENTHALER,6,48750000,SUI19860919,6,10004167243,PFR,1864,PIVOT FACTORY RACING,7,31
5,14,2014,A'HERN Sian,6,48.96,59.172,104.432,148.6,202.361,240.61,13,29,Finished,10010802043,16.0,95.0,6.0,38.24,56.584,101.212,145.064,197.991,234.589,8.0,10.0,Finished,111.0,-6.021000000000015,13.0,6.715999999999994,-15.408000000000001,10.0,6.600999999999999,-12.509999999999991,45.260000000000005,7.0,2.8980000000000103,2.8980000000000103,9.0,8.873999999999995,-11.665999999999997,44.16799999999999,7.0,2.272999999999996,0.8439999999999941,6.0,10.619999999999976,-10.545000000000016,53.760999999999996,6.0,2.1639999999999873,1.120999999999981,6.0,13.382000000000005,-9.278999999999996,38.249000000000024,13.0,2.762000000000029,1.2660000000000196,9.0,5.491,5.491,8.0,8.370000000000005,8.370000000000005,44.628,9.0,3.371000000000002,2.879000000000005,7.0,10.052999999999997,10.052999999999997,43.85199999999999,8.0,1.6829999999999927,1.6829999999999927,7.0,12.482000000000028,11.979000000000013,52.92700000000002,5.0,2.9300000000000352,1.9260000000000161,6.0,13.448000000000008,13.448000000000008,36.597999999999985,5.0,2.1839999999999975,1.468999999999994,10.622222222222224,0.37222222222222,4.0,6.0,1998-08-02T00:00:00,WE,A'HERN,Sian,1197024565271788,AUS,,A'HERN Sian,False,0,14,A'HERN S,13,48960000,AUS19980802,28,10010802043,,0,,14,19
6,8,2008,CURD Katy,9,47.34,57.648,103.342,147.713,202.153,240.993,7,35,Finished,10006044292,10.0,80.0,7.0,38.84,55.653,100.184,143.485,197.396,236.154,11.0,7.0,Finished,90.0,-4.838999999999999,7.0,5.192,-16.931999999999995,7.0,5.510999999999996,-13.599999999999994,45.693999999999996,12.0,3.3320000000000007,3.3320000000000007,6.0,7.986999999999995,-12.552999999999997,44.370999999999995,8.0,2.475999999999999,1.046999999999997,5.0,10.411999999999978,-10.753000000000014,54.44,9.0,2.8429999999999893,1.799999999999983,9.0,13.764999999999986,-8.896000000000015,38.84,16.0,3.3530000000000086,1.8569999999999993,7.0,4.559999999999995,4.559999999999995,6.0,7.341999999999999,7.341999999999999,44.531,8.0,3.274000000000001,2.7820000000000036,6.0,8.474000000000018,8.474000000000018,43.301000000000016,6.0,1.1320000000000192,1.1320000000000192,6.0,11.887,11.383999999999986,53.91099999999997,7.0,3.9139999999999873,2.909999999999968,7.0,15.013000000000005,15.013000000000005,38.75800000000001,13.0,4.3440000000000225,3.629000000000019,10.78888888888889,0.20555555555555394,2.0,10.0,1989-04-27T00:00:00,WE,CURD,Katy,1197024565271782,GBR,,CURD Katy,False,0,8,CURD K,7,48780000,GBR19890427,30,10006044292,,0,,8,29
7,12,2012,WIDMANN Veronika,7,48.0,58.201,102.543,148.101,203.288,240.682,11,31,Finished,10007423312,14.0,70.0,8.0,37.39,56.446,100.356,145.657,200.892,237.631,7.0,11.0,Finished,84.0,-3.0509999999999877,8.0,5.744999999999997,-16.378999999999998,5.0,4.712000000000003,-14.398999999999987,44.342000000000006,6.0,1.980000000000011,1.980000000000011,7.0,8.375,-12.164999999999992,45.55799999999999,17.0,3.6629999999999967,2.2339999999999947,8.0,11.546999999999997,-9.617999999999995,55.18700000000001,11.0,3.5900000000000034,2.546999999999997,7.0,13.45399999999998,-9.207000000000022,37.39399999999998,7.0,1.9069999999999823,0.41099999999997294,8.0,5.352999999999994,5.352999999999994,7.0,7.513999999999996,7.513999999999996,43.91,5.0,2.6529999999999987,2.1610000000000014,9.0,10.646000000000015,10.646000000000015,45.301000000000016,14.0,3.132000000000019,3.132000000000019,8.0,15.38300000000001,14.879999999999995,55.234999999999985,12.0,5.2379999999999995,4.2339999999999804,8.0,16.49000000000001,16.49000000000001,36.739000000000004,6.0,2.325000000000017,1.6100000000000136,10.386111111111111,0.6083333333333325,8.0,7.0,1993-03-08T00:00:00,WE,WIDMANN,Veronika,1197024565271786,ITA,,WIDMANN Veronika,False,0,12,WIDMANN V,11,48900000,ITA19930308,15,10007423312,FSF,2238,FS FUNN,12,25
8,11,2011,CAPPELLARI Carina,12,47.49,60.615,105.902,150.903,205.288,243.069,10,32,Finished,10006911535,,60.0,9.0,37.78,57.129,102.445,147.406,201.415,238.208,4.0,14.0,Finished,60.0,-4.86099999999999,17.0,8.158999999999999,-13.964999999999996,13.0,8.070999999999998,-11.039999999999992,45.287,8.0,2.9250000000000043,2.9250000000000043,13.0,11.176999999999992,-9.363,45.00099999999999,11.0,3.1059999999999945,1.6769999999999925,12.0,13.546999999999997,-7.617999999999995,54.38500000000002,8.0,2.788000000000011,1.7450000000000045,12.0,15.84099999999998,-6.820000000000022,37.78099999999998,9.0,2.2939999999999827,0.7979999999999734,11.0,6.035999999999994,6.035999999999994,10.0,9.602999999999994,9.602999999999994,45.315999999999995,13.0,4.0589999999999975,3.567,12.0,12.39500000000001,12.39500000000001,44.96100000000001,12.0,2.792000000000016,2.792000000000016,10.0,15.906000000000006,15.402999999999992,54.008999999999986,8.0,4.0120000000000005,3.0079999999999814,9.0,17.067000000000007,17.067000000000007,36.793000000000006,7.0,2.379000000000019,1.6640000000000157,10.494444444444445,0.4999999999999982,6.0,8.0,1991-11-06T00:00:00,WE,CAPPELLARI,Carina,1197024565271785,SUI,NCh,CAPPELLARI Carina,False,0,11,CAPPELLARI C,10,48870000,SUI19911106,10,10006911535,MNR,2039,HIAG DATA - NS-BIKES FACTORY RACING,11,26
9,29,2029,BARTOVA Jana,13,49.74,60.285,105.943,149.974,206.923,245.715,27,15,Finished,10007709763,,55.0,10.0,38.79,56.907,101.551,145.074,201.15,239.904,3.0,15.0,Finished,55.0,-5.811000000000007,15.0,7.8289999999999935,-14.295000000000002,14.0,8.111999999999995,-10.998999999999995,45.658,11.0,3.2960000000000065,3.2960000000000065,11.0,10.24799999999999,-10.292000000000002,44.03099999999999,6.0,2.1359999999999957,0.7069999999999936,13.0,15.181999999999988,-5.983000000000004,56.94900000000001,17.0,5.352000000000004,4.3089999999999975,13.0,18.486999999999995,-4.174000000000007,38.792,15.0,3.305000000000007,1.8089999999999975,10.0,5.813999999999993,5.813999999999993,9.0,8.709000000000003,8.709000000000003,44.644000000000005,10.0,3.3870000000000076,2.8950000000000102,8.0,10.063000000000017,10.063000000000017,43.52300000000001,7.0,1.3540000000000134,1.3540000000000134,9.0,15.64100000000002,15.138000000000005,56.07599999999999,13.0,6.079000000000008,5.074999999999989,10.0,18.763000000000005,18.763000000000005,38.75399999999999,12.0,4.340000000000003,3.625,10.775,0.21944444444444322,3.0,4.0,1990-02-17T00:00:00,WE,BARTOVA,Jana,1197024565271802,CZE,NCh,BARTOVA Jana,False,0,29,BARTOVA J,27,49380000,CZE19900217,54,10007709763,,0,,0,28
