,bib,id,name,q_rank,q_speed,q_split1,q_split2,q_split3,q_split4,q_split5,q_start,q_start_rev,q_status,uci,q_points
0,3,2003,SEAGRAVE Tahnee,1,,53.771,97.831,139.726,191.741,227.228,3,39,Finished,10007414016,50.0
1,6,2006,HANNAH Tracey,2,,55.436,99.536,143.504,195.101,230.608,5,37,Finished,10003732258,40.0
2,7,2007,SIEGENTHALER Emilie,3,,55.776,99.845,144.556,197.387,235.296,6,36,Finished,10004167243,30.0
3,9,2009,HRASTNIK Monika,4,,56.999,100.942,144.646,198.395,235.39,8,34,Finished,10017602955,25.0
4,1,2001,NICOLE Myriam,5,,52.456,103.344,146.517,202.422,238.608,1,41,Finished,10004535237,20.0
5,14,2014,A'HERN Sian,6,,59.172,104.432,148.6,202.361,240.61,13,29,Finished,10010802043,16.0
6,12,2012,WIDMANN Veronika,7,,58.201,102.543,148.101,203.288,240.682,11,31,Finished,10007423312,14.0
7,10,2010,SALAZAR Mariana,8,,57.621,103.15,148.447,204.071,240.985,9,33,Finished,10007687838,12.0
8,8,2008,CURD Katy,9,,57.648,103.342,147.713,202.153,240.993,7,35,Finished,10006044292,10.0
9,19,2019,HOFFMANN Nina Charlott,10,,58.771,104.343,150.121,204.686,242.111,17,25,Finished,10015887065,5.0
10,43,2043,GEHRIG Carolin,11,,58.763,104.843,149.718,203.947,242.63,41,1,Finished,10006989842,
11,11,2011,CAPPELLARI Carina,12,,60.615,105.902,150.903,205.288,243.069,10,32,Finished,10006911535,
12,29,2029,BARTOVA Jana,13,,60.285,105.943,149.974,206.923,245.715,27,15,Finished,10007709763,
13,15,2015,RUBESAM Sandra,14,,58.903,105.097,152.644,208.205,247.794,14,28,Finished,10052523258,
14,37,2037,BALANCHE Camille,15,,60.844,108.565,154.175,211.22,249.466,35,7,Finished,10016567984,
15,2,2002,ATHERTON Rachel,16,,74.58,116.942,160.266,212.906,249.889,2,40,Finished,10003434487,
16,26,2026,HUBSCHER Janine,17,,60.935,108.132,154.855,211.147,250.435,24,18,Finished,10059628813,
17,21,2021,DELEST Agnes,18,,60.948,107.403,155.571,211.734,252.159,19,23,Finished,10006981455,
18,13,2013,MILLER Miranda,19,,59.053,108.356,153.751,213.054,252.788,12,30,Finished,10005872726,
19,25,2025,MOLLOY Tegan,20,,63.246,111.549,156.748,216.372,254.473,23,19,Finished,10008826980,
20,33,2033,SCHWEMMER Kim,21,,61.09,108.834,156.275,214.251,254.692,31,11,Finished,10007401686,
21,36,2036,MISSIAGGIA Alessia,22,,61.185,109.847,155.199,214.209,254.884,34,8,Finished,10011213786,
22,30,2030,WECHSELBERGER Simone,23,,63.055,112.358,157.846,216.908,256.77,28,14,Finished,10010670384,
23,31,2031,HOGIE Abigail,24,,63.975,113.028,158.985,217.207,256.855,29,13,Finished,10054388890,
24,27,2027,HORVAT Spela,25,,61.121,110.728,158.998,217.903,257.031,25,17,Finished,10007478074,
25,24,2024,BEECROFT Danielle,26,,63.806,113.664,160.183,218.639,257.76,22,20,Finished,10008176878,
26,17,2017,CHAPPAZ Melanie,27,,60.395,108.776,156.21,218.81,258.598,15,27,Finished,10011008066,
27,18,2018,RONNING Frida Helena,28,,60.265,110.728,156.978,217.484,260.308,16,26,Finished,10008084326,
28,20,2020,NOGUEIRA Camila,29,,61.832,113.697,160.889,219.868,260.75,18,24,Finished,10008589635,
29,40,2040,BATTOLLA Eva,30,,61.289,111.901,159.616,217.997,263.852,38,4,Finished,10010936631,
30,23,2023,WOHLGENSINGER Alexandra,31,,64.878,115.044,160.786,229.211,269.808,21,21,Finished,10010735153,
31,32,2032,JIRKOVA Simona,32,,70.342,121.297,169.277,229.585,270.264,30,12,Finished,10008193551,
32,22,2022,RUTZ Lea Salome,33,,60.993,111.249,157.319,228.166,270.638,20,22,Finished,10010012000,
33,28,2028,LESOIN Flora,34,,67.453,119.869,171.076,232.204,274.637,26,16,Finished,10009734134,
34,38,2038,TUTT Aston,35,,73.547,123.455,172.01,234.72,275.164,36,6,Finished,10010911975,
35,41,2041,BELL Cairn,36,,66.534,119.427,170.552,235.426,279.601,39,3,Finished,10011212069,
36,35,2035,CHOU Pei Ni,37,,72.629,139.924,194.815,271.857,318.458,33,9,Finished,10003547049,
37,39,2039,GREEN Sumayyah,38,,79.947,142.941,201.242,287.19,338.135,37,5,Finished,10016172712,
38,4,2004,CABIROU Marine,39,,,,,,,4,38,DNF,10009563069,
39,34,2034,SKALWOLD Ella,40,,,,,,,32,10,DNS,10060355303,
40,42,2042,OLSTAM Linn,41,,,,,,,40,2,DNS,10014062556,
