,name,split1,points,points_2,points_3,points_t,points_t_rank,rank,rank_t,split1_2,split1_3,split1_sector,split1_sector_t,split1_sector_t_rank,split1_sector_t_vs_best,split1_t,split1_t_rank,split1_t_vs_best,split2,split2_2,split2_3,split2_sector,split2_sector_2,split2_sector_3,split2_sector_t,split2_sector_t_rank,split2_sector_t_vs_best,split2_t,split2_t_rank,split2_t_vs_best,split3,split3_2,split3_3,split3_sector,split3_sector_2,split3_sector_3,split3_sector_t,split3_sector_t_rank,split3_sector_t_vs_best,split3_t,split3_t_rank,split3_t_vs_best,split4,split4_2,split4_3,split4_sector,split4_sector_2,split4_sector_3,split4_sector_t,split4_sector_t_rank,split4_sector_t_vs_best,split4_t,split4_t_rank,split4_t_vs_best,split5,split5_2,split5_3,split5_sector,split5_sector_2,split5_sector_3,split5_sector_t,split5_sector_t_rank,split5_sector_t_vs_best,split5_t,split5_t_rank,split5_t_vs_best
0,PERFECT Run,51.093,1000,1000,1000,3000.0,1.0,1.0,1.0,22.847,64.814,138.754,138.754,1.0,0.0,138.754,1.0,0.0,92.842,60.224,211.338,41.257,36.752,146.524,224.53300000000002,1.0,0.0,364.404,1.0,0.0,135.011,92.252,240.134,42.169,32.028,28.796,102.993,1.0,0.0,467.39700000000005,1.0,0.0,185.509,135.352,281.291,49.997,42.971,41.123,134.09099999999998,1.0,0.0,602.152,1.0,0.0,221.141,160.706,310.96,34.414,24.788,29.669,88.87099999999998,1.0,0.0,692.807,1.0,0.0
1,NICOLE Myriam,51.993,180.0,230.0,200.0,610.0,2.0,2.0,2.0,23.471999999999998,65.404,140.869,140.869,3.0,2.115000000000009,140.869,3.0,2.115000000000009,93.25,60.224,216.908,41.257,36.752,151.504,229.51299999999998,2.0,4.979999999999961,370.38199999999995,2.0,5.977999999999952,135.512,92.25200000000001,247.122,42.262,32.028,30.214000000000034,104.50400000000002,2.0,1.511000000000024,474.886,2.0,7.488999999999976,185.50900000000001,135.352,288.983,49.99699999999999,43.10000000000001,41.86099999999999,134.958,2.0,0.8670000000000186,609.844,2.0,7.692000000000007,221.77900000000002,160.70600000000002,319.211,36.27000000000001,25.353999999999985,30.22800000000001,91.852,4.0,2.981000000000023,701.696,2.0,8.88900000000001
2,ATHERTON Rachel,51.093,200.0,210.0,190.0,600.0,3.0,3.0,3.0,22.846999999999998,65.12,139.06,139.06,2.0,0.3060000000000116,139.06,2.0,0.3060000000000116,92.84200000000001,61.748000000000005,218.27599999999998,41.749,38.901,153.156,233.806,4.0,9.272999999999996,372.866,3.0,8.461999999999989,135.011,95.397,247.81099999999998,42.169,33.64900000000001,29.535,105.35300000000001,3.0,2.3600000000000136,478.219,3.0,10.821999999999946,186.012,139.415,289.281,51.00100000000001,44.017999999999994,41.47,136.489,3.0,2.3980000000000246,614.7080000000001,3.0,12.55600000000004,221.141,164.265,320.01599999999996,35.12899999999999,24.849999999999994,30.73500000000001,90.714,3.0,1.8430000000000177,705.4219999999999,3.0,12.614999999999895
3,SEAGRAVE Tahnee,,50.0,156.0,230.0,436.0,4.0,10.0,10.0,22.901999999999997,64.814,1087.7160000000001,1087.7160000000001,10.0,948.9620000000001,1087.7160000000001,10.0,948.9620000000001,,61.248000000000005,211.338,,38.346,146.524,1184.87,10.0,960.3369999999999,1272.586,10.0,908.182,,95.686,240.13400000000001,,34.43800000000001,28.79599999999999,1063.2340000000002,10.0,960.2410000000002,1335.82,10.0,868.4229999999999,,139.696,281.291,,44.00999999999999,41.15700000000001,1085.167,10.0,951.0759999999999,1420.9869999999999,10.0,818.8349999999998,,164.484,310.96,,24.78800000000001,29.668999999999986,1054.457,10.0,965.5860000000001,1475.444,10.0,782.637
4,HANNAH Tracey,52.512,180.0,95.0,135.0,410.0,5.0,4.0,4.0,23.703000000000003,69.64,145.85500000000002,145.85500000000002,4.0,7.1010000000000275,145.85500000000002,4.0,7.1010000000000275,94.542,63.028999999999996,221.078,42.03,39.32600000000001,151.438,232.79399999999998,3.0,8.260999999999967,378.649,4.0,14.245000000000005,137.55,97.07700000000001,251.78400000000002,43.00800000000001,34.047999999999995,30.70599999999999,107.762,5.0,4.7690000000000055,486.41100000000006,4.0,19.01400000000001,190.704,153.333,292.907,53.154,56.256,41.12299999999999,150.533,9.0,16.442000000000007,636.944,5.0,34.791999999999916,225.118,178.898,322.744,34.41399999999999,25.565,29.837000000000053,89.81600000000003,2.0,0.94500000000005,726.76,4.0,33.952999999999975
5,CABIROU Marine,58.361000000000004,45.0,150.0,141.0,336.0,6.0,5.0,5.0,24.295,68.834,151.49,151.49,8.0,12.736000000000018,151.49,8.0,12.736000000000018,104.181,63.483999999999995,219.14700000000002,45.82,39.189,150.313,235.322,5.0,10.788999999999987,386.812,5.0,22.408000000000015,147.22,97.391,249.423,43.038999999999994,33.907000000000004,30.27600000000001,107.22200000000001,4.0,4.229000000000013,494.034,5.0,26.636999999999944,201.998,140.362,291.659,54.77799999999999,42.97099999999999,42.23599999999999,139.98499999999996,4.0,5.893999999999977,634.019,4.0,31.866999999999962,240.655,165.935,321.782,38.65700000000001,25.57300000000001,30.12299999999999,94.35300000000001,7.0,5.482000000000028,728.3720000000001,5.0,35.565000000000055
6,SIEGENTHALER Emilie,54.994,140.0,94.0,82.0,316.0,7.0,6.0,6.0,24.839000000000002,69.00399999999999,148.837,148.837,6.0,10.082999999999998,148.837,6.0,10.082999999999998,98.833,70.361,221.47299999999998,43.839,45.52200000000001,152.469,241.83,7.0,17.296999999999997,390.66700000000003,7.0,26.263000000000034,143.45,106.006,252.675,44.61699999999999,35.645,31.202,111.464,8.0,8.471000000000004,502.131,7.0,34.733999999999924,195.31099999999998,151.454,295.47,51.86100000000002,45.44800000000001,42.795000000000016,140.10400000000004,5.0,6.013000000000062,642.235,6.0,40.08299999999997,232.78,177.593,326.60400000000004,37.469,26.13899999999998,31.13399999999996,94.74199999999995,9.0,5.870999999999967,736.9770000000001,6.0,44.17000000000007
7,HRASTNIK Monika,55.303000000000004,150.0,107.0,49.0,306.0,8.0,7.0,7.0,25.733,70.92399999999999,151.95999999999998,151.95999999999998,9.0,13.205999999999989,151.95999999999998,9.0,13.205999999999989,99.647,67.321,228.648,44.34400000000001,41.588,157.724,243.656,8.0,19.12299999999999,395.616,8.0,31.21199999999999,142.596,101.54,259.526,42.949,34.21900000000001,30.87800000000001,108.04600000000002,6.0,5.053000000000026,503.66200000000003,8.0,36.264999999999986,194.21400000000003,147.683,301.992,51.618,46.142999999999994,42.46600000000001,140.227,6.0,6.136000000000024,643.8890000000001,7.0,41.73700000000008,229.597,173.635,334.228,35.38300000000001,25.952,32.23599999999999,93.571,6.0,4.700000000000017,737.46,7.0,44.65300000000002
8,CURD Katy,55.653,90.0,80.0,80.0,250.0,9.0,8.0,8.0,25.08,68.445,149.178,149.178,7.0,10.424000000000007,149.178,7.0,10.424000000000007,100.184,67.73100000000001,222.227,44.531000000000006,42.651,153.782,240.96400000000003,6.0,16.43100000000001,390.14200000000005,6.0,25.738000000000056,143.485,104.743,252.625,43.301000000000016,37.012,30.398,110.71100000000001,7.0,7.718000000000018,500.853,6.0,33.45599999999996,197.396,152.632,295.056,53.91099999999997,47.88900000000001,42.430999999999976,144.23099999999997,7.0,10.139999999999986,645.0840000000001,8.0,42.932000000000016,236.15400000000002,177.84900000000002,325.459,38.75800000000001,25.216999999999985,30.40300000000002,94.37800000000001,8.0,5.507000000000033,739.462,8.0,46.65499999999997
9,SALAZAR Mariana,54.735,47.0,65.0,65.0,177.0,10.0,9.0,9.0,24.796,69.152,148.683,148.683,5.0,9.929000000000002,148.683,5.0,9.929000000000002,104.79700000000001,69.34899999999999,221.653,50.062,44.553,152.50099999999995,247.11599999999993,9.0,22.582999999999913,395.799,9.0,31.394999999999982,149.821,105.95100000000001,253.74099999999999,45.023999999999994,36.60199999999999,32.08800000000002,113.714,9.0,10.721000000000004,509.513,9.0,42.11599999999993,206.705,152.711,296.97700000000003,56.88400000000002,46.76000000000002,43.23599999999996,146.88,8.0,12.789000000000016,656.393,9.0,54.240999999999985,243.56,178.09599999999998,328.30699999999996,36.85499999999999,25.38499999999999,31.330000000000037,93.57000000000002,5.0,4.699000000000041,749.963,9.0,57.15599999999995
