,bib,id,name,q_rank,q_split1,q_split2,q_split3,q_split4,q_split5,q_start,q_start_rev,q_status,uci,q_points,r_points,rank,split1,split2,split3,split4,split5,start,start_rev,status,points,qr_diff,q_split1_rank,q_split1_vs_best,q_split1_vs_winner,q_split2_rank,q_split2_vs_best,q_split2_vs_winner,q_split2_sector,q_split2_sector_rank,q_split2_sector_vs_best,q_split2_sector_vs_winner,q_split3_rank,q_split3_vs_best,q_split3_vs_winner,q_split3_sector,q_split3_sector_rank,q_split3_sector_vs_best,q_split3_sector_vs_winner,q_split4_rank,q_split4_vs_best,q_split4_vs_winner,q_split4_sector,q_split4_sector_rank,q_split4_sector_vs_best,q_split4_sector_vs_winner,q_split5_rank,q_split5_vs_best,q_split5_vs_winner,q_split5_sector,q_split5_sector_rank,q_split5_sector_vs_best,q_split5_sector_vs_winner,split1_rank,split1_vs_best,split1_vs_winner,split2_rank,split2_vs_best,split2_vs_winner,split2_sector,split2_sector_rank,split2_sector_vs_best,split2_sector_vs_winner,split3_rank,split3_vs_best,split3_vs_winner,split3_sector,split3_sector_rank,split3_sector_vs_best,split3_sector_vs_winner,split4_rank,split4_vs_best,split4_vs_winner,split4_sector,split4_sector_rank,split4_sector_vs_best,split4_sector_vs_winner,split5_rank,split5_vs_best,split5_vs_winner,split5_sector,split5_sector_rank,split5_sector_vs_best,split5_sector_vs_winner,speed,q_speed,speed_ms,speed_ms_vs_best,speed_rank,q_speed_rank,BirthDate,CategoryCode,FamilyName,GivenName,Id,Nation,Outfit,PrintName,RaceId,RaceNr,ScoreboardName,StartOrder,StartTime,UciCode,UciRank,UciRiderId,UciTeamCode,UciTeamId,UciTeamName,WorldCupRank,Age
0,3,1003,PIERRON Amaury,3,47.141,83.873,122.846,165.982,196.528,3,156,Finished,10008827283,30.0,200.0,1.0,45.256,80.744,118.416,160.917,190.991,60.0,3.0,Finished,230.0,-5.536999999999978,11.0,1.1229999999999976,0.0,10.0,0.9080000000000013,0.0,36.732000000000006,6.0,0.5930000000000035,0.0,7.0,0.9960000000000093,0.0,38.973,7.0,0.5,0.0,4.0,0.9310000000000116,0.0,43.135999999999996,2.0,0.3830000000000098,0.0,3.0,0.6380000000000052,0.0,30.545999999999992,2.0,0.10599999999999454,0.0,1.0,0.0,0.0,2.0,0.2780000000000058,0.0,35.488,5.0,0.5470000000000041,0.0,3.0,0.0589999999999975,0.0,37.672,3.0,0.4609999999999985,0.0,1.0,0.0,0.0,42.501000000000005,2.0,0.043000000000006366,0.0,1.0,0.0,0.0,30.074000000000012,2.0,0.04600000000002069,0.0,57.643,57.157,16.011944444444445,0.6330555555555542,10.0,5.0,1996-03-04T00:00:00,ME,PIERRON,Amaury,1197024565271555,FRA,,PIERRON Amaury,0,3,PIERRON A,3,50460000,FRA19960304,6,10008827283,CVN,1590,COMMENCAL / VALLNORD,3,22
1,1,1001,GWIN Aaron,13,48.361,85.469,124.547,169.081,200.424,1,158,Finished,10006516663,12.0,160.0,2.0,45.525,80.466,118.357,161.112,191.499,52.0,11.0,Finished,172.0,-8.925000000000011,41.0,2.3429999999999964,1.2199999999999989,22.0,2.5039999999999907,1.5959999999999894,37.108,16.0,0.9689999999999941,0.37599999999999056,12.0,2.6970000000000027,1.7009999999999934,39.078,8.0,0.605000000000004,0.10500000000000398,13.0,4.030000000000001,3.0989999999999895,44.53399999999999,20.0,1.781000000000006,1.3979999999999961,13.0,4.53400000000002,3.896000000000015,31.343000000000018,20.0,0.90300000000002,0.7970000000000255,3.0,0.26899999999999835,0.26899999999999835,1.0,0.0,-0.2780000000000058,34.940999999999995,1.0,0.0,-0.5470000000000041,1.0,0.0,-0.0589999999999975,37.891000000000005,5.0,0.6800000000000068,0.2190000000000083,2.0,0.19499999999999318,0.19499999999999318,42.754999999999995,4.0,0.29699999999999704,0.2539999999999907,2.0,0.5079999999999814,0.5079999999999814,30.387,9.0,0.35900000000000887,0.3129999999999882,58.566,57.715,16.268333333333334,0.37666666666666515,3.0,4.0,1987-12-24T00:00:00,ME,GWIN,Aaron,1197024565271553,USA,WCL,GWIN Aaron,0,1,GWIN A,1,50400000,USA19871224,1,10006516663,YTM,1531,THE YT MOB,1,30
2,10,1010,GREENLAND Laurie,6,46.532,83.007,122.78,166.467,197.595,10,149,Finished,10009404738,20.0,140.0,3.0,45.649,81.097,119.363,161.821,192.146,57.0,6.0,Finished,160.0,-5.449000000000012,5.0,0.5139999999999958,-0.6090000000000018,2.0,0.04200000000000159,-0.8659999999999997,36.47500000000001,2.0,0.3360000000000056,-0.2569999999999979,6.0,0.9300000000000068,-0.0660000000000025,39.772999999999996,30.0,1.2999999999999972,0.7999999999999972,5.0,1.4160000000000252,0.48500000000001364,43.68700000000001,5.0,0.9340000000000259,0.5510000000000161,6.0,1.7050000000000125,1.0670000000000073,31.127999999999986,11.0,0.6879999999999882,0.5819999999999936,6.0,0.3930000000000007,0.3930000000000007,3.0,0.6310000000000002,0.35299999999999443,35.44799999999999,4.0,0.5069999999999979,-0.04000000000000625,5.0,1.0060000000000002,0.9470000000000027,38.266000000000005,12.0,1.0550000000000068,0.5940000000000083,3.0,0.9039999999999964,0.9039999999999964,42.458,1.0,0.0,-0.043000000000006366,3.0,1.1549999999999727,1.1549999999999727,30.32499999999999,8.0,0.29699999999999704,0.25099999999997635,57.75899999999999,55.398,16.044166666666666,0.600833333333334,9.0,26.0,1997-02-18T00:00:00,ME,GREENLAND,Laurie,1197024565271562,GBR,,GREENLAND Laurie,0,10,GREENLAND L,10,50670000,GBR19970218,12,10009404738,MSM,1009,MS MONDRAKER TEAM,10,21
3,4,1004,BROSNAN Troy,7,47.002,83.781,122.684,166.936,197.748,4,155,Finished,10007307417,18.0,125.0,4.0,45.808,81.241,119.218,161.996,192.305,56.0,7.0,Finished,143.0,-5.442999999999984,8.0,0.9840000000000018,-0.1389999999999958,7.0,0.8160000000000025,-0.09199999999999875,36.779,10.0,0.6400000000000006,0.046999999999997044,5.0,0.8340000000000032,-0.16200000000000614,38.90299999999999,6.0,0.4299999999999926,-0.07000000000000739,7.0,1.8850000000000193,0.9540000000000077,44.25200000000001,12.0,1.4990000000000236,1.1160000000000139,7.0,1.858000000000004,1.2199999999999989,30.811999999999983,5.0,0.3719999999999857,0.26599999999999113,9.0,0.5519999999999996,0.5519999999999996,5.0,0.7750000000000057,0.4969999999999999,35.433,3.0,0.49200000000000443,-0.054999999999999716,4.0,0.8610000000000042,0.8020000000000067,37.977000000000004,7.0,0.7660000000000053,0.3050000000000068,4.0,1.0790000000000077,1.0790000000000077,42.778000000000006,5.0,0.3200000000000074,0.277000000000001,4.0,1.313999999999993,1.313999999999993,30.308999999999997,7.0,0.2810000000000059,0.23499999999998522,57.2,56.333,15.888888888888891,0.7561111111111085,13.0,15.0,1993-07-13T00:00:00,ME,BROSNAN,Troy,1197024565271556,AUS,NCh,BROSNAN Troy,0,4,BROSNAN T,4,50490000,AUS19930713,2,10007307417,CFT,2162,CANYON FACTORY DOWNHILL TEAM,4,24
4,2,1002,VERGIER Loris,5,47.097,83.236,122.127,166.501,197.23,2,157,Finished,10008723112,22.0,110.0,5.0,46.139,81.51,119.483,162.984,193.121,58.0,5.0,Finished,132.0,-4.1089999999999804,10.0,1.0790000000000006,-0.04399999999999693,5.0,0.2710000000000008,-0.6370000000000005,36.139,1.0,0.0,-0.5930000000000035,3.0,0.277000000000001,-0.7190000000000083,38.89099999999999,5.0,0.41799999999999216,-0.08200000000000784,6.0,1.450000000000017,0.5190000000000055,44.37400000000001,15.0,1.6210000000000235,1.2380000000000138,5.0,1.3400000000000034,0.7019999999999982,30.728999999999985,4.0,0.28899999999998727,0.18299999999999272,12.0,0.8830000000000027,0.8830000000000027,6.0,1.0440000000000111,0.7660000000000053,35.371,2.0,0.4300000000000068,-0.11699999999999733,6.0,1.1260000000000048,1.0670000000000073,37.973,6.0,0.7620000000000005,0.30100000000000193,5.0,2.0670000000000073,2.0670000000000073,43.501000000000005,14.0,1.0430000000000064,1.0,5.0,2.1299999999999955,2.1299999999999955,30.137,3.0,0.10900000000000887,0.06299999999998818,59.922,56.875,16.645,0.0,1.0,8.0,1996-05-07T00:00:00,ME,VERGIER,Loris,1197024565271554,FRA,,VERGIER Loris,0,2,VERGIER L,2,50430000,FRA19960507,5,10008723112,SCB,1307,SANTA CRUZ SYNDICATE,2,22
5,9,1009,NORTON Dakotah,57,47.522,84.618,124.462,172.226,205.765,9,150,Finished,10010038167,,95.0,6.0,46.419,82.387,119.848,163.146,193.385,47.0,16.0,Finished,95.0,-12.379999999999995,17.0,1.5039999999999978,0.3810000000000002,14.0,1.6529999999999916,0.7449999999999903,37.096,14.0,0.9569999999999936,0.3639999999999901,11.0,2.612000000000009,1.6159999999999997,39.84400000000001,33.0,1.3710000000000093,0.8710000000000093,39.0,7.175000000000011,6.244,47.763999999999996,105.0,5.01100000000001,4.628,57.0,9.875,9.236999999999995,33.53899999999999,113.0,3.0989999999999895,2.992999999999995,14.0,1.1629999999999967,1.1629999999999967,13.0,1.9210000000000065,1.6430000000000007,35.968,12.0,1.0270000000000081,0.480000000000004,7.0,1.4909999999999997,1.4320000000000022,37.461,2.0,0.25,-0.21099999999999852,6.0,2.228999999999985,2.228999999999985,43.29799999999999,12.0,0.8399999999999892,0.7969999999999828,6.0,2.393999999999977,2.393999999999977,30.239000000000004,6.0,0.21100000000001273,0.16499999999999204,58.971000000000004,52.953,16.380833333333335,0.26416666666666444,2.0,66.0,1992-04-30T00:00:00,ME,NORTON,Dakotah,1197024565271561,USA,,NORTON Dakotah,0,9,NORTON D,9,50640000,USA19920430,17,10010038167,UDR,1961,UNIOR/DEVINCI FACTORY RACING,9,26
6,15,1015,FEARON Connor,8,47.444,84.563,124.692,168.797,199.667,15,144,Finished,10007656314,17.0,90.0,7.0,45.667,81.647,120.655,163.781,194.015,55.0,8.0,Finished,107.0,-5.652000000000015,15.0,1.426000000000002,0.3030000000000044,12.0,1.597999999999999,0.6899999999999977,37.119,17.0,0.9799999999999969,0.38699999999999335,14.0,2.8419999999999987,1.8459999999999894,40.12899999999999,43.0,1.6559999999999917,1.1559999999999917,11.0,3.7460000000000093,2.8149999999999977,44.105000000000004,10.0,1.352000000000018,0.9690000000000083,8.0,3.7770000000000152,3.13900000000001,30.870000000000005,7.0,0.4300000000000068,0.3240000000000123,7.0,0.41100000000000136,0.41100000000000136,8.0,1.1810000000000116,0.9030000000000058,35.980000000000004,13.0,1.0390000000000086,0.49200000000000443,11.0,2.298000000000002,2.2390000000000043,39.007999999999996,33.0,1.796999999999997,1.3359999999999985,8.0,2.8640000000000043,2.8640000000000043,43.126000000000005,7.0,0.6680000000000064,0.625,7.0,3.0239999999999725,3.0239999999999725,30.23399999999998,4.0,0.20599999999998886,0.15999999999996817,56.153999999999996,55.027,15.598333333333333,1.0466666666666669,27.0,29.0,1994-01-19T00:00:00,ME,FEARON,Connor,1197024565271567,AUS,,FEARON Connor,0,15,FEARON C,15,50820000,AUS19940119,33,10007656314,KON,1012,KONA FACTORY TEAM,15,24
7,46,1046,JONES Michael,9,46.8,83.556,123.67,167.977,199.91,42,117,Finished,10008194965,16.0,85.0,8.0,45.414,81.644,121.137,163.841,194.38,44.0,19.0,Finished,101.0,-5.530000000000001,7.0,0.7819999999999965,-0.3410000000000011,6.0,0.590999999999994,-0.3170000000000073,36.756,9.0,0.6169999999999973,0.023999999999993804,8.0,1.8200000000000074,0.8239999999999981,40.114000000000004,42.0,1.6410000000000053,1.1410000000000053,9.0,2.926000000000016,1.9950000000000045,44.307,14.0,1.5540000000000163,1.1710000000000065,9.0,4.02000000000001,3.382000000000005,31.932999999999993,50.0,1.492999999999995,1.3870000000000005,2.0,0.15800000000000125,0.15800000000000125,7.0,1.1780000000000115,0.9000000000000057,36.230000000000004,22.0,1.2890000000000086,0.7420000000000044,14.0,2.780000000000001,2.7210000000000036,39.492999999999995,46.0,2.2819999999999965,1.820999999999998,9.0,2.9240000000000066,2.9240000000000066,42.70400000000001,3.0,0.24600000000000932,0.20300000000000296,8.0,3.3889999999999816,3.3889999999999816,30.538999999999987,11.0,0.5109999999999957,0.464999999999975,56.263999999999996,55.013999999999996,15.628888888888888,1.0161111111111119,25.0,30.0,1995-02-22T00:00:00,ME,JONES,Michael,1197024565271594,GBR,,JONES Michael,0,46,JONES M,42,51630000,GBR19950222,93,10008194965,MSM,1009,MS MONDRAKER TEAM,46,23
8,12,1012,MACDONALD Brook,2,46.528,83.026,121.85,165.415,196.036,12,147,Finished,10006429969,40.0,80.0,9.0,45.535,81.663,119.898,163.661,194.481,61.0,2.0,Finished,120.0,-1.5550000000000068,4.0,0.509999999999998,-0.6129999999999995,3.0,0.06099999999999284,-0.8470000000000084,36.498,3.0,0.35899999999999466,-0.23400000000000887,1.0,0.0,-0.9960000000000093,38.824,4.0,0.3509999999999991,-0.1490000000000009,2.0,0.3640000000000043,-0.5670000000000073,43.565,4.0,0.8120000000000118,0.42900000000000205,2.0,0.146000000000015,-0.4919999999999902,30.62100000000001,3.0,0.1810000000000116,0.07500000000001705,4.0,0.27899999999999636,0.27899999999999636,10.0,1.1970000000000027,0.9189999999999969,36.128,16.0,1.1870000000000047,0.6400000000000006,8.0,1.5409999999999968,1.4819999999999993,38.235,11.0,1.024000000000001,0.5630000000000024,7.0,2.7439999999999998,2.7439999999999998,43.763000000000005,21.0,1.3050000000000068,1.2620000000000005,9.0,3.4899999999999807,3.4899999999999807,30.819999999999993,18.0,0.7920000000000016,0.7459999999999809,57.143,57.1,15.873055555555556,0.7719444444444434,14.0,6.0,1991-11-25T00:00:00,ME,MACDONALD,Brook,1197024565271564,NZL,,MACDONALD Brook,0,12,MACDONALD B,12,50730000,NZL19911125,26,10006429969,MSM,1009,MS MONDRAKER TEAM,12,26
9,24,1024,WALLACE Mark,11,47.817,84.561,124.757,169.224,200.321,23,136,Finished,10008172636,14.0,75.0,10.0,47.338,83.15,121.689,164.85,194.878,53.0,10.0,Finished,89.0,-5.443000000000012,22.0,1.7989999999999995,0.6760000000000019,11.0,1.5960000000000036,0.6880000000000024,36.74400000000001,8.0,0.605000000000004,0.012000000000000455,15.0,2.9070000000000107,1.9110000000000014,40.196,48.0,1.722999999999999,1.222999999999999,14.0,4.173000000000002,3.2419999999999902,44.466999999999985,18.0,1.7139999999999986,1.3309999999999889,11.0,4.431000000000012,3.7930000000000064,31.09700000000001,10.0,0.6570000000000107,0.5510000000000161,37.0,2.0820000000000007,2.0820000000000007,21.0,2.6840000000000117,2.406000000000006,35.812000000000005,10.0,0.8710000000000093,0.3240000000000052,18.0,3.3319999999999936,3.272999999999996,38.53899999999999,17.0,1.3279999999999887,0.8669999999999902,13.0,3.9329999999999927,3.9329999999999927,43.161,9.0,0.703000000000003,0.6599999999999966,10.0,3.886999999999972,3.886999999999972,30.02799999999999,1.0,0.0,-0.04600000000002069,56.875,54.11,15.798611111111112,0.8463888888888871,17.0,48.0,1995-06-01T00:00:00,ME,WALLACE,Mark,1197024565271575,CAN,,WALLACE Mark,0,24,WALLACE M,23,51060000,CAN19950601,14,10008172636,CFT,2162,CANYON FACTORY DOWNHILL TEAM,24,23
