uci,q_speed
10008813442,58.344
10006429969,57.100
10008827283,57.157
10007544358,56.833
10008723112,56.875
10009404738,55.398
10007307417,56.333
10007656314,55.027
10008194965,55.014
10005415715,55.963
10008172636,54.110
10007422100,54.072
10006516663,57.715
10011016756,54.314
10004485929,57.889
10076111537,56.443
10003642635,56.127
10005838875,56.945
10009452935,56.875
10005852518,56.346
10007692787,51.567
10009819313,55.909
10009645925,56.401
10005386110,54.571
10007327221,53.958
10005855649,54.975
10007287613,55.706
10009453642,53.719
10003434386,54.623
10008848505,53.432
10005470073,54.021
10007405932,54.623
10011005743,52.021
10007710571,54.417
10008617119,55.652
10005560003,56.291
10008586504,53.719
10006909111,55.746
10009895802,54.021
10008169505,55.545
10008103322,55.172
10006841413,56.665
10011013928,56.346
10007455745,52.627
10004035685,55.963
10002815812,57.773
10008728667,53.519
10006413094,56.457
10007713403,53.532
10007392895,56.072
10008835569,53.569
10008169808,54.520
10008169101,52.471
10009826989,52.435
10007305090,50.548
10004406107,54.779
10010038167,52.953
10006949022,54.662
10006796549,54.818
10008059064,51.475
10006816959,54.263
10009533464,55.438
10006816454,51.694
10009443942,54.110
10009831033,56.127
10008831529,52.675
10008831731,54.714
10008550734,51.648
10008949848,52.531
10007568913,56.127
10009896711,53.002
10008172232,53.819
10009449501,51.787
10004274549,56.346
10004684878,53.420
10009447073,50.416
10008194359,54.923
10007888104,54.417
10008073010,53.581
10008552249,52.352
10009896812,52.856
10016018118,49.741
10060004382,52.162
10010032612,54.779
10004475825,55.080
10011213584,54.276
10007713706,56.833
10008827687,51.475
10049183933,54.212
10007888003,52.103
10007488582,53.681
10011080717,50.033
10011011201,54.610
10054258043,52.808
10008551037,53.235
10008835367,52.759
10009563271,55.438
10009083325,51.787
10011102844,52.292
10016067628,52.162
10008867400,52.435
10007700972,49.946
10010037965,53.383
10010126679,51.880
10010012202,50.760
10006812616,53.482
10004207053,54.161
10015618293,51.120
10007753718,52.711
10007144840,49.903
10006770681,51.648
10009441417,50.637
10011013322,51.155
10007718453,51.927
10008834256,51.155
10009897721,54.072
10011103147,50.493
10011753451,50.895
10010036551,54.123
10007888205,52.711
10015569894,49.816
10008827990,50.284
10007886585,50.715
10011086070,49.157
10044339185,53.870
10011101733,52.209
10011108096,49.827
10016021249,51.075
10011213180,49.368
10017887386,49.326
10010038268,50.548
10052416962,52.483
10007376630,47.145
10008164451,53.002
10011238442,47.692
10008552855,50.339
10006576176,53.235
10010012707,53.383
10010897932,44.453
10011103854,49.199
10011112746,48.201
10013710730,51.475
10054153262,42.619
10009066854,48.475
10010012505,47.653
10010007249,50.152
10014688814,51.200
10009164258,46.593
10009566204,
10003396293,37.173
10008168996,53.383
10008172333,
10009566406,
10009897014,
10060513634,
10010021494,
10017791905,
10012924020,
