,bib,id,name,q_rank,q_split1,q_split2,q_split3,q_split4,q_split5,q_start,q_start_rev,q_status,uci,q_points
0,6,1006,SHAW Luca,1,47.311,83.825,122.298,165.051,195.89,6,153,Finished,10008813442,50.0
1,12,1012,MACDONALD Brook,2,46.528,83.026,121.85,165.415,196.036,12,147,Finished,10006429969,40.0
2,3,1003,PIERRON Amaury,3,47.141,83.873,122.846,165.982,196.528,3,156,Finished,10008827283,30.0
3,17,1017,BRUNI Loic,4,46.232,82.965,122.055,165.441,196.647,17,142,Finished,10007544358,25.0
4,2,1002,VERGIER Loris,5,47.097,83.236,122.127,166.501,197.23,2,157,Finished,10008723112,22.0
5,10,1010,GREENLAND Laurie,6,46.532,83.007,122.78,166.467,197.595,10,149,Finished,10009404738,20.0
6,4,1004,BROSNAN Troy,7,47.002,83.781,122.684,166.936,197.748,4,155,Finished,10007307417,18.0
7,15,1015,FEARON Connor,8,47.444,84.563,124.692,168.797,199.667,15,144,Finished,10007656314,17.0
8,46,1046,JONES Michael,9,46.8,83.556,123.67,167.977,199.91,42,117,Finished,10008194965,16.0
9,14,1014,THIRION Remi,10,47.77,85.132,124.671,168.611,199.962,14,145,Finished,10005415715,15.0
10,24,1024,WALLACE Mark,11,47.817,84.561,124.757,169.224,200.321,23,136,Finished,10008172636,14.0
11,72,1072,LEIVSSON Isak,12,48.402,85.087,125.38,169.907,200.347,63,96,Finished,10007422100,13.0
12,1,1001,GWIN Aaron,13,48.361,85.469,124.547,169.081,200.424,1,158,Finished,10006516663,12.0
13,26,1026,WALKER Matt,14,47.42,84.789,124.801,169.066,200.881,24,135,Finished,10011016756,11.0
14,5,1005,BLENKINSOP Samuel,15,48.919,86.3,125.913,169.854,200.892,5,154,Finished,10004485929,10.0
15,32,1032,ILES Finn,16,47.867,85.405,124.147,169.251,200.977,29,130,Finished,10076111537,9.0
16,27,1027,FAIRCLOUGH Brendan,17,47.978,84.816,124.839,169.479,201.127,25,134,Finished,10003642635,8.0
17,88,1088,WALKER Matthew,18,48.073,85.993,125.391,169.976,201.296,77,82,Finished,10005838875,7.0
18,49,1049,MARIN Alex,19,48.178,85.793,124.942,169.89,201.471,44,115,Finished,10009452935,6.0
19,22,1022,SMITH Joseph,20,48.006,85.508,125.313,169.941,201.518,21,138,Finished,10005852518,5.0
20,59,1059,GUTIERREZ VILLEGAS Rafael,21,47.03,83.856,125.473,169.914,201.542,53,106,Finished,10007692787,
21,36,1036,MANSON Magnus,22,49.002,86.547,125.794,170.007,201.569,33,126,Finished,10009819313,
22,16,1016,HARRISON Charlie,23,47.743,85.971,125.159,170.74,201.997,16,143,Finished,10009645925,
23,23,1023,BRAYTON Adam,24,48.111,85.512,125.582,170.843,202.248,22,137,Finished,10005386110,
24,30,1030,FIGARET Faustin,25,47.83,85.625,125.657,170.362,202.303,27,132,Finished,10007327221,
25,11,1011,GUTIERREZ VILLEGAS Marcelo,26,48.316,85.611,125.31,170.602,202.336,11,148,Finished,10005855649,
26,19,1019,MULALLY Neko,27,48.732,86.156,125.852,170.62,202.588,18,141,Finished,10007287613,
27,63,1063,DICKSON Jacob,28,48.111,86.02,126.649,171.058,202.647,56,103,Finished,10009453642,
28,20,1020,ATHERTON Gee,29,48.033,85.563,125.227,170.007,202.741,19,140,Finished,10003434386,
29,60,1060,ESTAQUE Thomas,30,47.861,84.831,125.679,171.299,202.76,54,105,Finished,10008848505,
30,7,1007,HART Danny,31,46.385,83.117,123.86,167.698,202.878,7,152,Finished,10005470073,
31,65,1065,LUKASIK Slawomir,32,46.789,84.584,124.846,170.912,203.063,58,101,Finished,10007405932,
32,82,1082,BREEDEN Joe,33,47.452,84.731,125.505,170.805,203.109,72,87,Finished,10011005743,
33,96,1096,SEHNAL Stanislav,34,48.744,86.715,126.598,172.128,203.307,85,74,Finished,10007710571,
34,78,1078,MCDOWALL Kirk,35,50.067,87.171,126.78,172.041,203.321,68,91,Finished,10008617119,
35,35,1035,MASTERS Edward,36,47.607,86.226,125.691,171.245,203.701,32,127,Finished,10005560003,
36,44,1044,PIERRON Baptiste,37,48.212,85.894,126.929,172.482,203.798,40,119,Finished,10008586504,
37,31,1031,WILLIAMSON Greg,38,48.374,86.029,125.584,170.563,203.945,28,131,Finished,10006909111,
38,53,1053,FREW Jackson,39,48.69,86.825,126.591,172.176,203.952,47,112,Finished,10009895802,
39,98,1098,VON KLEBELSBERG Johannes,40,49.622,87.464,127.285,172.393,204.006,87,72,Finished,10008169505,
40,8,1008,LUCAS Dean,41,48.042,85.962,126.775,171.797,204.027,8,151,Finished,10008103322,
41,52,1052,CHAPMAN Rupert,42,48.249,87.134,126.767,172.348,204.031,46,113,Finished,10006841413,
42,56,1056,SEAGRAVE Kaos,43,48.91,87.689,127.142,172.981,204.731,50,109,Finished,10011013928,
43,92,1092,JAUCH Jasper,44,48.807,86.7,127.747,173.246,204.776,81,78,Finished,10007455745,
44,21,1021,PAYET Florent,45,48.713,86.906,126.153,172.581,204.799,20,139,Finished,10004035685,
45,61,1061,HANNAH Michael,46,48.938,87.366,126.081,172.701,204.931,55,104,Finished,10002815812,
46,33,1033,VERNON Taylor,47,48.928,86.762,127.364,172.823,205.026,30,129,Finished,10008728667,
47,58,1058,KERR Bernard,48,47.316,85.701,125.9,173.134,205.035,52,107,Finished,10006413094,
48,64,1064,TRUMMER David,49,48.997,86.948,127.261,172.611,205.04,57,102,Finished,10007713403,
49,70,1070,WEBER Basil,50,49.274,87.908,128.088,173.79,205.11,61,98,Finished,10007392895,
50,81,1081,BARTH Joshua,51,48.979,86.293,126.966,173.042,205.132,71,88,Finished,10008835569,
51,95,1095,BARANEK Rastislav,52,48.659,87.005,127.915,173.836,205.495,84,75,Finished,10008169808,
52,41,1041,GANNICOTT George,53,48.845,86.765,128.023,173.869,205.712,38,121,Finished,10008169101,
53,76,1076,VIGE Gaetan,54,48.291,85.914,127.926,173.362,205.717,67,92,Finished,10009826989,
54,113,1113,RUFFIN Gaetan,55,48.095,86.023,127.629,173.944,205.733,101,58,Finished,10007305090,
55,40,1040,MASTERS Wyn,56,49.519,87.806,127.892,173.688,205.738,37,122,Finished,10004406107,
56,9,1009,NORTON Dakotah,57,47.522,84.618,124.462,172.226,205.765,9,150,Finished,10010038167,
57,34,1034,DICKERSON Bryn,58,48.511,87.36,126.982,172.645,205.831,31,128,Finished,10006949022,
58,71,1071,GARLICKI Stefan,59,48.423,86.269,126.453,173.608,205.853,62,97,Finished,10006796549,
59,68,1068,ATWILL Philip,60,48.066,86.423,127.982,173.742,206.097,59,100,Finished,10008059064,
60,86,1086,WEBER Lutz,61,49.163,87.099,127.259,173.832,206.21,75,84,Finished,10006816959,
61,93,1093,LALY Thibault,62,48.529,86.581,127.437,173.916,206.33,82,77,Finished,10009533464,
62,117,1117,MOLLOY Harry,63,48.494,86.683,127.422,174.671,206.444,105,54,Finished,10006816454,
63,43,1043,REVELLI Loris,64,49.984,88.795,129.428,174.907,206.531,39,120,Finished,10009443942,
64,55,1055,FITZGERALD Henry,65,49.994,89.668,129.352,175.019,206.811,49,110,Finished,10009831033,
65,116,1116,SUAREZ ALONSO Angel,66,49.881,88.719,128.676,175.624,206.885,104,55,Finished,10008831529,
66,74,1074,LEVESQUE Dylan,67,51.219,88.76,128.921,174.607,206.923,65,94,Finished,10008831731,
67,108,1108,RIESCO Forrest,68,48.746,86.639,128.909,175.009,207.122,96,63,Finished,10008550734,
68,136,1136,MORGAN Max,69,48.864,87.96,128.788,175.256,207.216,122,37,Finished,10008949848,
69,39,1039,NIEDERBERGER Noel,70,49.428,86.923,126.575,175.816,207.245,36,123,Finished,10007568913,
70,129,1129,MARRY Kevin,71,48.047,86.288,127.596,174.58,207.27,116,43,Finished,10009896711,
71,87,1087,CAROLI Jerome,72,48.347,86.708,128.185,174.567,207.328,76,83,Finished,10008172232,
72,99,1099,COUGOUREUX Benoit,73,48.969,87.494,128.799,174.802,207.372,88,71,Finished,10009449501,
73,54,1054,VAUH Miran,74,48.818,87.449,126.723,174.777,207.792,48,111,Finished,10004274549,
74,47,1047,CARBALLO GONZALEZ Edgar,75,49.53,88.786,130.166,176.411,208.25,43,116,Finished,10004684878,
75,115,1115,CIRIEGO Maxime,76,49.052,87.589,129.867,176.213,208.283,103,56,Finished,10009447073,
76,38,1038,COULANGES Benoit,77,47.661,91.901,132.12,176.658,208.298,35,124,Finished,10008194359,
77,91,1091,MACKINNON Kiran,78,48.951,87.621,128.348,175.975,208.373,80,79,Finished,10007888104,
