,BirthDate,CategoryCode,FamilyName,GivenName,Id,Nation,Outfit,PrintName,RaceId,RaceNr,ScoreboardName,StartOrder,StartTime,UciCode,UciRank,UciRiderId,UciTeamCode,UciTeamId,UciTeamName,WorldCupRank,Age
1001,1987-12-24T00:00:00,ME,GWIN,Aaron,1197024565271553,USA,WCL,GWIN Aaron,0,1,GWIN A,1,50400000,USA19871224,1,10006516663,YTM,1531,THE YT MOB,1,30
1002,1996-05-07T00:00:00,ME,VERGIER,Loris,1197024565271554,FRA,,VERGIER Loris,0,2,VERGIER L,2,50430000,FRA19960507,5,10008723112,SCB,1307,SANTA CRUZ SYNDICATE,2,22
1003,1996-03-04T00:00:00,ME,PIERRON,Amaury,1197024565271555,FRA,,PIERRON Amaury,0,3,PIERRON A,3,50460000,FRA19960304,6,10008827283,CVN,1590,COMMENCAL / VALLNORD,3,22
1004,1993-07-13T00:00:00,ME,BROSNAN,Troy,1197024565271556,AUS,NCh,BROSNAN Troy,0,4,BROSNAN T,4,50490000,AUS19930713,2,10007307417,CFT,2162,CANYON FACTORY DOWNHILL TEAM,4,24
1005,1988-10-28T00:00:00,ME,BLENKINSOP,Samuel,1197024565271557,NZL,CCh,BLENKINSOP Samuel,0,5,BLENKINSOP S,5,50520000,NZL19881028,7,10004485929,NFR,2013,NORCO FACTORY RACING,5,29
1006,1996-12-25T00:00:00,ME,SHAW,Luca,1197024565271558,USA,,SHAW Luca,0,6,SHAW L,6,50550000,USA19961225,10,10008813442,SCB,1307,SANTA CRUZ SYNDICATE,6,21
1007,1991-09-20T00:00:00,ME,HART,Danny,1197024565271559,GBR,,HART Danny,0,7,HART D,7,50580000,GBR19910920,3,10005470073,MST,1680,MADISON SARACEN FACTORY TEAM,7,26
1008,1995-05-02T00:00:00,ME,LUCAS,Dean,1197024565271560,AUS,,LUCAS Dean,0,8,LUCAS D,8,50610000,AUS19950502,11,10008103322,IFR,2029,INTENSE FACTORY RACING,8,23
1009,1992-04-30T00:00:00,ME,NORTON,Dakotah,1197024565271561,USA,,NORTON Dakotah,0,9,NORTON D,9,50640000,USA19920430,17,10010038167,UDR,1961,UNIOR/DEVINCI FACTORY RACING,9,26
1010,1997-02-18T00:00:00,ME,GREENLAND,Laurie,1197024565271562,GBR,,GREENLAND Laurie,0,10,GREENLAND L,10,50670000,GBR19970218,12,10009404738,MSM,1009,MS MONDRAKER TEAM,10,21
1011,1990-05-09T00:00:00,ME,GUTIERREZ VILLEGAS,Marcelo,1197024565271563,COL,NCh,GUTIERREZ VILLEGAS Marcelo,0,11,GUTIERREZ VI,11,50700000,COL19900509,16,10005855649,GFT,1329,GIANT FACTORY OFF-ROAD TEAM,11,28
1012,1991-11-25T00:00:00,ME,MACDONALD,Brook,1197024565271564,NZL,,MACDONALD Brook,0,12,MACDONALD B,12,50730000,NZL19911125,26,10006429969,MSM,1009,MS MONDRAKER TEAM,12,26
1013,1996-06-11T00:00:00,ME,WILSON,Reece,1197024565271565,GBR,,WILSON Reece,0,13,WILSON R,13,50760000,GBR19960611,56,10009563271,,0,,13,21
1014,1990-04-23T00:00:00,ME,THIRION,Remi,1197024565271566,FRA,,THIRION Remi,0,14,THIRION R,14,50790000,FRA19900423,83,10005415715,CVN,1590,COMMENCAL / VALLNORD,14,28
1015,1994-01-19T00:00:00,ME,FEARON,Connor,1197024565271567,AUS,,FEARON Connor,0,15,FEARON C,15,50820000,AUS19940119,33,10007656314,KON,1012,KONA FACTORY TEAM,15,24
1016,1997-10-18T00:00:00,ME,HARRISON,Charlie,1197024565271568,USA,,HARRISON Charlie,0,16,HARRISON C,16,50850000,USA19971018,25,10009645925,IFR,2029,INTENSE FACTORY RACING,16,20
1017,1994-05-13T00:00:00,ME,BRUNI,Loic,1197024565271569,FRA,WCh,BRUNI Loic,0,17,BRUNI L,17,50880000,FRA19940513,4,10007544358,SGR,1667,SPECIALIZED GRAVITY,17,24
1019,1993-02-19T00:00:00,ME,MULALLY,Neko,1197024565271570,USA,,MULALLY Neko,0,19,MULALLY N,18,50910000,USA19930219,63,10007287613,YTM,1531,THE YT MOB,19,25
1020,1985-02-26T00:00:00,ME,ATHERTON,Gee,1197024565271571,GBR,,ATHERTON Gee,0,20,ATHERTON G,19,50940000,GBR19850226,39,10003434386,TDH,1598,TREK FACTORY RACING DH,20,33
1021,1986-11-21T00:00:00,ME,PAYET,Florent,1197024565271572,FRA,,PAYET Florent,0,21,PAYET F,20,50970000,FRA19861121,23,10004035685,VVR,2096,VOULVOUL RACING,21,31
1022,1990-07-04T00:00:00,ME,SMITH,Joseph,1197024565271573,GBR,,SMITH Joseph,0,22,SMITH J,21,51000000,GBR19900704,43,10005852518,NFR,2013,NORCO FACTORY RACING,22,27
1023,1988-10-19T00:00:00,ME,BRAYTON,Adam,1197024565271574,GBR,,BRAYTON Adam,0,23,BRAYTON A,22,51030000,GBR19881019,24,10005386110,HTH,3167,HOPE TECHNOLOGY,23,29
1024,1995-06-01T00:00:00,ME,WALLACE,Mark,1197024565271575,CAN,,WALLACE Mark,0,24,WALLACE M,23,51060000,CAN19950601,14,10008172636,CFT,2162,CANYON FACTORY DOWNHILL TEAM,24,23
1026,1999-05-25T00:00:00,ME,WALKER,Matt,1197024565271576,GBR,,WALKER Matt,0,26,WALKER M,24,51090000,GBR19990525,31,10011016756,MST,1680,MADISON SARACEN FACTORY TEAM,26,19
1027,1988-01-10T00:00:00,ME,FAIRCLOUGH,Brendan,1197024565271577,GBR,,FAIRCLOUGH Brendan,0,27,FAIRCLOUGH B,25,51120000,GBR19880110,50,10003642635,SVS,1448,SCOTT VELOSOLUTIONS,27,30
1028,1998-02-23T00:00:00,ME,HATTON,Charlie,1197024565271578,GBR,,HATTON Charlie,0,28,HATTON C,26,51150000,GBR19980223,30,10009897014,TDH,1598,TREK FACTORY RACING DH,28,20
1030,1993-11-07T00:00:00,ME,FIGARET,Faustin,1197024565271579,FRA,,FIGARET Faustin,0,30,FIGARET F,27,51180000,FRA19931107,44,10007327221,RFD,1170,RADON FACTORY DH RACING,30,24
1031,1992-06-08T00:00:00,ME,WILLIAMSON,Greg,1197024565271580,GBR,NCh,WILLIAMSON Greg,0,31,WILLIAMSON G,28,51210000,GBR19920608,21,10006909111,UFR,3170,UNNO FACTORY RACING,31,26
1032,1999-08-15T00:00:00,ME,ILES,Finn,1197024565271581,CAN,,ILES Finn,0,32,ILES F,29,51240000,CAN19990815,35,10076111537,SGR,1667,SPECIALIZED GRAVITY,32,18
1033,1996-09-12T00:00:00,ME,VERNON,Taylor,1197024565271582,GBR,,VERNON Taylor,0,33,VERNON T,30,51270000,GBR19960912,49,10008728667,UFR,3170,UNNO FACTORY RACING,33,21
1034,1991-10-15T00:00:00,ME,DICKERSON,Bryn,1197024565271583,NZL,,DICKERSON Bryn,0,34,DICKERSON B,31,51300000,NZL19911015,74,10006949022,FSF,2238,FS FUNN,34,26
1035,1989-08-18T00:00:00,ME,MASTERS,Edward,1197024565271584,NZL,NCh,MASTERS Edward,0,35,MASTERS E,32,51330000,NZL19890818,48,10005560003,PFR,1864,PIVOT FACTORY RACING,35,28
1036,1998-03-19T00:00:00,ME,MANSON,Magnus,1197024565271585,CAN,,MANSON Magnus,0,36,MANSON M,33,51360000,CAN19980319,73,10009819313,,0,,36,20
1037,1984-10-30T00:00:00,ME,RUFFIN,Thibaut,1197024565271586,FRA,,RUFFIN Thibaut,0,37,RUFFIN T,34,51390000,FRA19841030,86,10003396293,CVN,1590,COMMENCAL / VALLNORD,37,33
1038,1994-12-20T00:00:00,ME,COULANGES,Benoit,1197024565271587,FRA,,COULANGES Benoit,0,38,COULANGES B,35,51420000,FRA19941220,22,10008194359,DOR,1867,DORVAL AM,38,23
1039,1995-08-21T00:00:00,ME,NIEDERBERGER,Noel,1197024565271588,SUI,,NIEDERBERGER Noel,0,39,NIEDERBERGER,36,51450000,SUI19950821,38,10007568913,MNR,2039,HIAG DATA - NS-BIKES FACTORY RACING,39,22
1040,1987-04-18T00:00:00,ME,MASTERS,Wyn,1197024565271589,NZL,,MASTERS Wyn,0,40,MASTERS W,37,51480000,NZL19870418,45,10004406107,GTR,2103,GT FACTORY RACING,40,31
1041,1995-03-11T00:00:00,ME,GANNICOTT,George,1197024565271590,GBR,,GANNICOTT George,0,41,GANNICOTT G,38,51510000,GBR19950311,84,10008169101,OVR,2043,ONE VISION GLOBAL RACING,41,23
1043,1997-09-20T00:00:00,ME,REVELLI,Loris,1197024565271591,ITA,,REVELLI Loris,0,43,REVELLI L,39,51540000,ITA19970920,34,10009443942,ABD,2027,AB DEVINCI ITALY,43,20
1044,1993-08-08T00:00:00,ME,PIERRON,Baptiste,1197024565271592,FRA,,PIERRON Baptiste,0,44,PIERRON B,40,51570000,FRA19930808,13,10008586504,VVR,2096,VOULVOUL RACING,44,24
1045,1990-07-04T00:00:00,ME,DIPASQUALE,Charly,1197024565271593,FRA,,DIPASQUALE Charly,0,45,DIPASQUALE C,41,51600000,FRA19900704,140,10060004382,,0,,45,27
1046,1995-02-22T00:00:00,ME,JONES,Michael,1197024565271594,GBR,,JONES Michael,0,46,JONES M,42,51630000,GBR19950222,93,10008194965,MSM,1009,MS MONDRAKER TEAM,46,23
1047,1988-12-22T00:00:00,ME,CARBALLO GONZALEZ,Edgar,1197024565271595,ESP,,CARBALLO GONZALEZ Edgar,0,47,CARBALLO GON,43,51660000,ESP19881222,67,10004684878,,0,,47,29
1049,1997-03-25T00:00:00,ME,MARIN,Alex,1197024565271596,ESP,,MARIN Alex,0,49,MARIN A,44,51690000,ESP19970325,29,10009452935,MST,1680,MADISON SARACEN FACTORY TEAM,49,21
1050,1995-07-20T00:00:00,ME,FAYOLLE,Alexandre,1197024565271597,FRA,,FAYOLLE Alexandre,0,50,FAYOLLE A,45,51720000,FRA19950720,54,10008168996,URT,1608,POLYGON UR,50,22
1052,1992-04-09T00:00:00,ME,CHAPMAN,Rupert,1197024565271598,NZL,,CHAPMAN Rupert,0,52,CHAPMAN R,46,51750000,NZL19920409,27,10006841413,PFR,1864,PIVOT FACTORY RACING,52,26
1053,1998-06-26T00:00:00,ME,FREW,Jackson,1197024565271599,AUS,,FREW Jackson,0,53,FREW J,47,51780000,AUS19980626,119,10009895802,,0,,53,19
1054,1982-11-04T00:00:00,ME,VAUH,Miran,1197024565271600,SLO,NCh,VAUH Miran,0,54,VAUH M,48,51810000,SLO19821104,109,10004274549,,0,,54,35
1055,1998-08-13T00:00:00,ME,FITZGERALD,Henry,1197024565271601,CAN,,FITZGERALD Henry,0,55,FITZGERALD H,49,51840000,CAN19980813,226,10009831033,NFR,2013,NORCO FACTORY RACING,55,19
1056,1999-07-10T00:00:00,ME,SEAGRAVE,Kaos,1197024565271602,GBR,,SEAGRAVE Kaos,0,56,SEAGRAVE K,50,51870000,GBR19990710,136,10011013928,FMD,1863,TRANSITION BIKES / MUC-OFF FACTORY RACING,56,18
1057,1988-12-10T00:00:00,ME,READING,Jack,1197024565271603,GBR,,READING Jack,0,57,READING J,51,51900000,GBR19881210,36,10006576176,OVR,2043,ONE VISION GLOBAL RACING,57,29
1058,1991-02-16T00:00:00,ME,KERR,Bernard,1197024565271604,GBR,,KERR Bernard,0,58,KERR B,52,51930000,GBR19910216,89,10006413094,PFR,1864,PIVOT FACTORY RACING,58,27
1059,1994-08-31T00:00:00,ME,GUTIERREZ VILLEGAS,Rafael,1197024565271605,COL,CCh,GUTIERREZ VILLEGAS Rafael,0,59,GUTIERREZ VI,53,51960000,COL19940831,18,10007692787,IJS,2163,IJ RACING-SICK COMPONENTS,59,23
1060,1996-11-15T00:00:00,ME,ESTAQUE,Thomas,1197024565271606,FRA,,ESTAQUE Thomas,0,60,ESTAQUE T,54,51990000,FRA19961115,421,10008848505,,0,,60,21
1061,1983-11-21T00:00:00,ME,HANNAH,Michael,1197024565271607,AUS,,HANNAH Michael,0,61,HANNAH M,55,52020000,AUS19831121,19,10002815812,URT,1608,POLYGON UR,0,34
1063,1997-10-05T00:00:00,ME,DICKSON,Jacob,1197024565271608,IRL,NCh,DICKSON Jacob,0,63,DICKSON J,56,52050000,IRL19971005,28,10009453642,GFT,1329,GIANT FACTORY OFF-ROAD TEAM,65,20
1064,1994-06-01T00:00:00,ME,TRUMMER,David,1197024565271609,AUT,,TRUMMER David,0,64,TRUMMER D,57,52080000,AUT19940601,32,10007713403,PDS,1527,PROPAIN DIRT SIXPACK,63,24
1065,1993-05-01T00:00:00,ME,LUKASIK,Slawomir,1197024565271610,POL,NCh,LUKASIK Slawomir,0,65,LUKASIK S,58,52110000,POL19930501,37,10007405932,MNR,2039,HIAG DATA - NS-BIKES FACTORY RACING,0,25
1068,1995-01-11T00:00:00,ME,ATWILL,Philip,1197024565271611,GBR,,ATWILL Philip,0,68,ATWILL P,59,52140000,GBR19950111,42,10008059064,PDS,1527,PROPAIN DIRT SIXPACK,0,23
1069,1994-01-18T00:00:00,ME,STEPANEK,Ondrej,1197024565271612,CZE,NCh,STEPANEK Ondrej,0,69,STEPANEK O,60,52170000,CZE19940118,52,10007713706,,0,,0,24
1070,1992-12-13T00:00:00,ME,WEBER,Basil,1197024565271613,SUI,,WEBER Basil,0,70,WEBER B,61,52200000,SUI19921213,53,10007392895,,0,,75,25
1071,1990-09-12T00:00:00,ME,GARLICKI,Stefan,1197024565271614,RSA,,GARLICKI Stefan,0,71,GARLICKI S,62,52230000,RSA19900912,55,10006796549,,0,,0,27
1072,1993-10-17T00:00:00,ME,LEIVSSON,Isak,1197024565271615,NOR,NCh,LEIVSSON Isak,0,72,LEIVSSON I,63,52260000,NOR19931017,58,10007422100,,0,,0,24
1073,1998-01-12T00:00:00,ME,PAEZ,Jeronimo,1197024565271616,ARG,,PAEZ Jeronimo,0,73,PAEZ J,64,52290000,ARG19980112,59,10015569894,,0,,0,20
1074,1996-10-09T00:00:00,ME,LEVESQUE,Dylan,1197024565271617,FRA,,LEVESQUE Dylan,0,74,LEVESQUE D,65,52320000,FRA19961009,61,10008831731,,0,,0,21
1075,1995-12-09T00:00:00,ME,COLOMBO,Francesco,1197024565271618,ITA,NCh,COLOMBO Francesco,0,75,COLOMBO F,66,52350000,ITA19951209,62,10008073010,ABD,2027,AB DEVINCI ITALY,81,22
1076,1998-04-15T00:00:00,ME,VIGE,Gaetan,1197024565271619,FRA,,VIGE Gaetan,0,76,VIGE G,67,52380000,FRA19980415,65,10009826989,SVS,1448,SCOTT VELOSOLUTIONS,70,20
1078,1990-11-26T00:00:00,ME,MCDOWALL,Kirk,1197024565271620,CAN,NCh,MCDOWALL Kirk,0,78,MCDOWALL K,68,52410000,CAN19901126,68,10008617119,,0,,0,27
1079,1999-03-06T00:00:00,ME,HARTENSTERN,Max,1197024565271621,GER,NCh,HARTENSTERN Max,0,79,HARTENSTERN,69,52440000,GER19990306,71,10011213584,CBG,2099,CUBE GLOBAL SQUAD PROTECTED BY BLISS,62,19
1080,1997-10-29T00:00:00,ME,GRANDY,Silas,1197024565271622,GER,,GRANDY Silas,0,80,GRANDY S,70,52470000,GER19971029,75,10044339185,,0,,0,20
1081,1995-06-16T00:00:00,ME,BARTH,Joshua,1197024565271623,GER,,BARTH Joshua,0,81,BARTH J,71,52500000,GER19950616,79,10008835569,,0,,0,22
1082,1999-05-12T00:00:00,ME,BREEDEN,Joe,1197024565271624,GBR,,BREEDEN Joe,0,82,BREEDEN J,72,52530000,GBR19990512,80,10011005743,IRU,2233,INTENSE RACING UK,0,19
1083,1999-04-19T00:00:00,ME,COUGOUREUX,Sylvain,1197024565271625,FRA,,COUGOUREUX Sylvain,0,83,COUGOUREUX S,73,52560000,FRA19990419,81,10011080717,LGI,1949,LES GETS INTENSE TEAM,74,19
1085,1994-10-26T00:00:00,ME,CHIANG,Sheng Shan,1197024565271626,TPE,CCh,CHIANG Sheng Shan,0,85,CHIANG S,74,52590000,TPE19941026,87,10007718453,,0,,0,23
1086,1992-12-04T00:00:00,ME,WEBER,Lutz,1197024565271627,SUI,NCh,WEBER Lutz,0,86,WEBER L,75,52620000,SUI19921204,98,10006816959,MNR,2039,HIAG DATA - NS-BIKES FACTORY RACING,83,25
1087,1995-11-26T00:00:00,ME,CAROLI,Jerome,1197024565271628,SUI,,CAROLI Jerome,0,87,CAROLI J,76,52650000,SUI19951126,99,10008172232,,0,,0,22
1088,1990-03-24T00:00:00,ME,WALKER,Matthew,1197024565271629,NZL,,WALKER Matthew,0,88,WALKER M,77,52680000,NZL19900324,100,10005838875,CBG,2099,CUBE GLOBAL SQUAD PROTECTED BY BLISS,76,28
1089,1994-10-03T00:00:00,ME,KLEE,Felix,1197024565271630,SUI,,KLEE Felix,0,89,KLEE F,78,52710000,SUI19941003,101,10008552249,,0,,0,23
1090,1998-09-07T00:00:00,ME,ROJCEK,Adam,1197024565271631,SVK,NCh,ROJCEK Adam,0,90,ROJCEK A,79,52740000,SVK19980907,102,10010032612,,0,,0,19
1091,1993-02-24T00:00:00,ME,MACKINNON,Kiran,1197024565271632,USA,,MACKINNON Kiran,0,91,MACKINNON K,80,52770000,USA19930224,104,10007888104,,0,,78,25
1092,1991-07-21T00:00:00,ME,JAUCH,Jasper,1197024565271633,GER,,JAUCH Jasper,0,92,JAUCH J,81,52800000,GER19910721,105,10007455745,,0,,79,26
1093,1997-05-20T00:00:00,ME,LALY,Thibault,1197024565271634,FRA,,LALY Thibault,0,93,LALY T,82,52830000,FRA19970520,106,10009533464,,0,,61,21
1094,1989-08-05T00:00:00,ME,STRASSER,Benny,1197024565271635,GER,,STRASSER Benny,0,94,STRASSER B,83,52860000,GER19890805,107,10004207053,,0,,0,28
1095,1995-04-14T00:00:00,ME,BARANEK,Rastislav,1197024565271636,SVK,,BARANEK Rastislav,0,95,BARANEK R,84,52890000,SVK19950414,112,10008169808,,0,,0,23
1096,1994-06-09T00:00:00,ME,SEHNAL,Stanislav,1197024565271637,CZE,,SEHNAL Stanislav,0,96,SEHNAL S,85,52920000,CZE19940609,115,10007710571,,0,,0,24
1097,1988-03-04T00:00:00,ME,FISCHBACH,Johannes,1197024565271638,GER,,FISCHBACH Johannes,0,97,FISCHBACH J,86,52950000,GER19880304,117,10004475825,RFD,1170,RADON FACTORY DH RACING,0,30
1098,1995-06-28T00:00:00,ME,VON KLEBELSBERG,Johannes,1197024565271639,ITA,,VON KLEBELSBERG Johannes,0,98,VON KLEBELSB,87,52980000,ITA19950628,118,10008169505,MSM,1009,MS MONDRAKER TEAM,64,22
