,bib,id,name,rank,split1,split2,split3,split4,split5,start,start_rev,status,uci,r_points
0,3,1003,PIERRON Amaury,1,45.256,80.744,118.416,160.917,190.991,60,3,Finished,10008827283,200.0
1,1,1001,GWIN Aaron,2,45.525,80.466,118.357,161.112,191.499,52,11,Finished,10006516663,160.0
2,10,1010,GREENLAND Laurie,3,45.649,81.097,119.363,161.821,192.146,57,6,Finished,10009404738,140.0
3,4,1004,BROSNAN Troy,4,45.808,81.241,119.218,161.996,192.305,56,7,Finished,10007307417,125.0
4,2,1002,VERGIER Loris,5,46.139,81.51,119.483,162.984,193.121,58,5,Finished,10008723112,110.0
5,9,1009,NORTON Dakotah,6,46.419,82.387,119.848,163.146,193.385,47,16,Finished,10010038167,95.0
6,15,1015,FEARON Connor,7,45.667,81.647,120.655,163.781,194.015,55,8,Finished,10007656314,90.0
7,46,1046,JONES Michael,8,45.414,81.644,121.137,163.841,194.38,44,19,Finished,10008194965,85.0
8,12,1012,MACDONALD Brook,9,45.535,81.663,119.898,163.661,194.481,61,2,Finished,10006429969,80.0
9,24,1024,WALLACE Mark,10,47.338,83.15,121.689,164.85,194.878,53,10,Finished,10008172636,75.0
10,17,1017,BRUNI Loic,11,46.578,82.078,120.437,164.137,194.95,59,4,Finished,10007544358,70.0
11,7,1007,HART Danny,12,45.706,81.885,120.764,164.39,195.011,49,14,Finished,10005470073,65.0
12,14,1014,THIRION Remi,13,46.801,82.464,121.128,164.25,195.036,54,9,Finished,10005415715,60.0
13,16,1016,HARRISON Charlie,14,46.559,83.594,121.621,165.001,195.236,34,29,Finished,10009645925,55.0
14,11,1011,GUTIERREZ VILLEGAS Marcelo,15,46.97,83.106,121.564,164.857,196.069,50,13,Finished,10005855649,50.0
15,5,1005,BLENKINSOP Samuel,16,46.746,83.6,121.882,166.016,196.571,51,12,Finished,10004485929,45.0
16,23,1023,BRAYTON Adam,17,47.045,83.041,122.361,165.901,196.82,33,30,Finished,10005386110,44.0
17,20,1020,ATHERTON Gee,18,46.544,82.637,121.477,165.161,196.978,29,34,Finished,10003434386,43.0
18,31,1031,WILLIAMSON Greg,19,46.034,82.408,121.83,166.159,196.98,21,42,Finished,10006909111,42.0
19,60,1060,ESTAQUE Thomas,20,47.175,83.932,123.327,166.593,197.156,28,35,Finished,10008848505,41.0
20,58,1058,KERR Bernard,21,47.373,83.822,122.635,166.312,197.347,12,51,Finished,10006413094,40.0
21,13,1013,WILSON Reece,22,45.959,81.65,120.166,167.101,197.511,46,17,Finished,10009563271,39.0
22,19,1019,MULALLY Neko,23,46.645,83.566,122.406,166.146,197.72,31,32,Finished,10007287613,38.0
23,88,1088,WALKER Matthew,24,47.25,84.671,122.691,166.52,198.016,39,24,Finished,10005838875,37.0
24,59,1059,GUTIERREZ VILLEGAS Rafael,25,46.461,83.07,122.699,166.739,198.044,36,27,Finished,10007692787,36.0
25,8,1008,LUCAS Dean,26,47.016,83.199,121.988,166.036,198.235,48,15,Finished,10008103322,35.0
26,33,1033,VERNON Taylor,27,46.945,83.12,122.64,167.191,198.364,13,50,Finished,10008728667,34.0
27,72,1072,LEIVSSON Isak,28,47.993,84.172,122.953,167.677,198.412,43,20,Finished,10007422100,33.0
28,30,1030,FIGARET Faustin,29,46.472,83.217,122.276,166.637,198.438,32,31,Finished,10007327221,32.0
29,49,1049,MARIN Alex,30,47.5,84.093,122.761,167.274,198.458,38,25,Finished,10009452935,31.0
30,26,1026,WALKER Matt,31,47.084,83.607,123.057,167.351,198.48,42,21,Finished,10011016756,30.0
31,35,1035,MASTERS Edward,32,46.588,83.154,122.142,167.253,198.663,23,40,Finished,10005560003,29.0
32,65,1065,LUKASIK Slawomir,33,46.402,83.268,122.354,167.207,198.996,27,36,Finished,10007405932,28.0
33,61,1061,HANNAH Michael,34,47.66,84.679,122.538,167.864,199.419,14,49,Finished,10002815812,27.0
34,50,1050,FAYOLLE Alexandre,35,47.519,84.014,123.553,168.027,199.523,45,18,Finished,10008168996,26.0
35,63,1063,DICKSON Jacob,36,47.544,84.594,124.392,168.42,199.733,30,33,Finished,10009453642,25.0
36,22,1022,SMITH Joseph,37,46.869,84.165,124.177,168.018,199.737,37,26,Finished,10005852518,24.0
37,81,1081,BARTH Joshua,38,47.61,83.566,122.418,167.845,200.279,9,54,Finished,10008835569,23.0
38,68,1068,ATWILL Philip,39,47.096,83.845,123.881,168.515,200.476,1,62,Finished,10008059064,22.0
39,32,1032,ILES Finn,40,50.42,88.173,126.236,169.389,200.6,41,22,Finished,10076111537,21.0
40,41,1041,GANNICOTT George,41,47.864,84.977,124.54,169.021,200.76,7,56,Finished,10008169101,20.0
41,6,1006,SHAW Luca,42,45.616,81.166,118.377,168.996,200.863,62,1,Finished,10008813442,19.0
42,95,1095,BARANEK Rastislav,43,47.865,85.024,124.481,169.678,200.987,8,55,Finished,10008169808,18.0
43,40,1040,MASTERS Wyn,44,48.414,85.558,125.163,169.555,201.368,4,59,Finished,10004406107,17.0
44,44,1044,PIERRON Baptiste,45,47.454,84.559,124.962,169.529,201.389,22,41,Finished,10008586504,16.0
45,64,1064,TRUMMER David,46,47.707,84.995,124.398,169.321,201.403,11,52,Finished,10007713403,15.0
46,53,1053,FREW Jackson,47,47.964,85.737,124.667,169.609,201.528,20,43,Finished,10009895802,14.0
47,71,1071,GARLICKI Stefan,48,47.458,85.141,124.329,169.744,201.764,2,61,Finished,10006796549,13.0
48,34,1034,DICKERSON Bryn,49,47.605,85.253,123.921,169.664,201.848,3,60,Finished,10006949022,12.0
49,82,1082,BREEDEN Joe,50,47.285,84.296,123.554,169.375,201.942,26,37,Finished,10011005743,11.0
50,70,1070,WEBER Basil,51,48.065,86.436,125.745,170.836,202.473,10,53,Finished,10007392895,10.0
51,113,1113,RUFFIN Gaetan,52,46.994,84.318,124.697,170.643,202.968,5,58,Finished,10007305090,9.0
52,21,1021,PAYET Florent,53,47.293,83.984,122.523,167.891,203.638,15,48,Finished,10004035685,8.0
53,98,1098,VON KLEBELSBERG Johannes,54,48.818,86.766,125.571,172.221,203.94,19,44,Finished,10008169505,7.0
54,92,1092,JAUCH Jasper,55,48.643,87.19,126.592,172.687,204.801,16,47,Finished,10007455745,6.0
55,56,1056,SEAGRAVE Kaos,56,47.898,85.612,124.23,169.461,205.172,17,46,Finished,10011013928,5.0
