,name,split1,points,points_2,points_3,points_t,points_t_rank,rank,rank_t,split1_2,split1_3,split1_sector,split1_sector_t,split1_sector_t_rank,split1_sector_t_vs_best,split1_t,split1_t_rank,split1_t_vs_best,split2,split2_2,split2_3,split2_sector,split2_sector_2,split2_sector_3,split2_sector_t,split2_sector_t_rank,split2_sector_t_vs_best,split2_t,split2_t_rank,split2_t_vs_best,split3,split3_2,split3_3,split3_sector,split3_sector_2,split3_sector_3,split3_sector_t,split3_sector_t_rank,split3_sector_t_vs_best,split3_t,split3_t_rank,split3_t_vs_best,split4,split4_2,split4_3,split4_sector,split4_sector_2,split4_sector_3,split4_sector_t,split4_sector_t_rank,split4_sector_t_vs_best,split4_t,split4_t_rank,split4_t_vs_best,split5,split5_2,split5_3,split5_sector,split5_sector_2,split5_sector_3,split5_sector_t,split5_sector_t_rank,split5_sector_t_vs_best,split5_t,split5_t_rank,split5_t_vs_best
0,PERFECT Run,45.256,1000,1000,1000,3000.0,1.0,1.0,1.0,20.613,59.142,125.011,125.011,1.0,0.0,125.011,1.0,0.0,80.466,52.86,185.501,34.941,32.05,124.899,191.89,1.0,0.0,318.827,1.0,0.0,118.357,80.785,211.297,37.211,27.751,25.796,90.758,1.0,0.0,410.43899999999996,1.0,0.0,160.917,116.514,247.279,42.458,35.307,35.521,113.286,1.0,0.0,524.71,1.0,0.0,190.991,139.193,274.452,30.028,21.897,25.958,77.88300000000001,1.0,0.0,604.636,1.0,0.0
1,BROSNAN Troy,45.808,143.0,80.0,165.0,388.0,5.0,2.0,2.0,21.022,60.101000000000006,126.93100000000001,126.93100000000001,5.0,1.920000000000016,126.93100000000001,5.0,1.920000000000016,81.241,55.352,186.40200000000002,35.433,34.33,126.301,196.06400000000002,5.0,4.174000000000035,322.995,3.0,4.168000000000006,119.21799999999999,83.637,212.226,37.977,28.285000000000004,25.82400000000001,92.08600000000001,5.0,1.3280000000000172,415.081,3.0,4.642000000000053,161.996,120.046,248.301,42.77800000000001,36.409000000000006,36.07499999999999,115.262,3.0,1.975999999999999,530.3430000000001,3.0,5.633000000000038,192.305,142.404,274.763,30.309,22.35799999999999,26.46199999999999,79.12899999999998,4.0,1.2459999999999667,609.472,2.0,4.836000000000013
2,VERGIER Loris,46.138999999999996,132.0,85.0,190.0,407.0,4.0,3.0,3.0,21.076,60.79,128.005,128.005,8.0,2.9939999999999998,128.005,8.0,2.9939999999999998,81.51,56.543,186.00099999999998,35.371,35.467,125.211,196.04899999999998,4.0,4.158999999999992,324.054,5.0,5.226999999999975,119.48299999999999,84.294,211.93,37.973,27.751,25.929,91.653,3.0,0.8950000000000102,415.707,4.0,5.268000000000029,162.984,119.956,248.287,43.50100000000001,35.662000000000006,36.357,115.52000000000001,5.0,2.234000000000009,531.227,4.0,6.516999999999939,193.12099999999998,142.27100000000002,274.722,30.136999999999997,22.314999999999987,26.434999999999967,78.88699999999994,3.0,1.0039999999999338,610.114,3.0,5.4780000000000655
3,PIERRON Amaury,45.256,230.0,40.0,215.0,485.0,2.0,4.0,4.0,20.807,60.602,126.66499999999999,126.66499999999999,4.0,1.6539999999999964,126.66499999999999,4.0,1.6539999999999964,80.744,54.254,185.50099999999998,35.488,33.446999999999996,124.899,193.834,2.0,1.9440000000000168,320.49899999999997,2.0,1.6719999999999686,118.416,82.11399999999999,211.297,37.672,27.86000000000001,25.79599999999999,91.328,2.0,0.5700000000000074,411.827,2.0,1.3880000000000337,160.917,120.823,247.27900000000002,42.50100000000001,38.70899999999999,35.982,117.19200000000001,13.0,3.906000000000006,529.019,2.0,4.308999999999969,190.99099999999999,145.72,274.452,30.07400000000001,24.89700000000001,27.173,82.14400000000002,15.0,4.26100000000001,611.163,4.0,6.527000000000044
4,GWIN Aaron,45.525,172.0,200.0,49.0,421.0,3.0,5.0,5.0,20.81,60.058,126.393,126.393,3.0,1.382000000000005,126.393,3.0,1.382000000000005,80.46600000000001,52.86,190.78900000000002,34.940999999999995,32.05,130.731,197.72199999999998,7.0,5.831999999999994,324.115,6.0,5.288000000000011,118.35700000000001,80.785,217.343,37.89100000000001,27.925,26.554,92.37000000000002,6.0,1.6120000000000232,416.485,6.0,6.046000000000049,161.112,116.514,253.83700000000002,42.755,35.729,36.494,114.97800000000001,2.0,1.6920000000000073,531.463,5.0,6.752999999999929,191.49900000000002,139.19299999999998,280.822,30.386999999999997,22.679000000000013,26.98500000000001,80.05100000000002,10.0,2.1680000000000064,611.514,5.0,6.878000000000043
5,GREENLAND Laurie,45.648999999999994,160.0,90.0,50.0,300.0,6.0,6.0,6.0,21.151999999999997,60.674,127.475,127.475,7.0,2.4639999999999986,127.475,7.0,2.4639999999999986,81.097,54.778999999999996,188.69,35.44799999999999,33.626999999999995,128.016,197.09099999999998,6.0,5.200999999999993,324.566,7.0,5.738999999999976,119.363,83.42,214.955,38.26600000000001,28.641,26.26500000000001,93.17200000000003,9.0,2.41400000000003,417.73800000000006,7.0,7.299000000000092,161.821,119.61399999999999,251.82,42.458,36.194,36.864999999999974,115.51699999999997,4.0,2.230999999999966,533.255,6.0,8.544999999999959,192.146,142.191,279.657,30.324999999999992,22.577,27.83699999999999,80.73899999999998,12.0,2.855999999999966,613.9939999999999,6.0,9.357999999999947
6,HART Danny,45.706,65.0,75.0,135.0,275.0,9.0,7.0,7.0,20.704,60.733999999999995,127.14399999999999,127.14399999999999,6.0,2.1329999999999956,127.14399999999999,6.0,2.1329999999999956,81.885,54.74100000000001,186.386,36.179,34.037,125.652,195.868,3.0,3.9780000000000086,323.012,4.0,4.185000000000002,120.764,82.51100000000001,212.55,38.87899999999999,27.77,26.164000000000016,92.813,8.0,2.055000000000007,415.82500000000005,5.0,5.386000000000081,164.39,119.447,250.051,43.62599999999999,36.93600000000001,37.500999999999976,118.06299999999997,15.0,4.776999999999973,533.8879999999999,7.0,9.177999999999884,195.011,142.965,277.209,30.62100000000001,23.518,27.15800000000001,81.29700000000003,13.0,3.4140000000000157,615.185,7.0,10.548999999999978
7,BLENKINSOP Samuel,46.746,55.0,125.0,100.0,280.0,8.0,8.0,8.0,21.224,61.452,129.422,129.422,12.0,4.411000000000001,129.422,12.0,4.411000000000001,83.6,54.699,189.187,36.85399999999999,33.474999999999994,127.735,198.06399999999996,8.0,6.173999999999978,327.486,8.0,8.658999999999992,121.882,82.891,215.38099999999997,38.28200000000001,28.19200000000001,26.193999999999992,92.668,7.0,1.9100000000000108,420.154,8.0,9.715000000000032,166.016,118.749,251.41,44.13399999999999,35.85799999999999,36.029,116.02099999999999,6.0,2.734999999999985,536.175,8.0,11.464999999999918,196.571,141.107,277.72,30.55500000000001,22.358000000000004,26.310000000000034,79.22300000000004,5.0,1.3400000000000318,615.398,8.0,10.762000000000057
8,NORTON Dakotah,46.419,95.0,110.0,47.0,252.0,10.0,9.0,9.0,20.904,62.555,129.878,129.878,18.0,4.86699999999999,129.878,18.0,4.86699999999999,82.387,54.898,192.958,35.968,33.994,130.403,200.365,15.0,8.475000000000023,330.243,14.0,11.415999999999997,119.848,83.17200000000001,219.14,37.461,28.273999999999994,26.18199999999999,91.91699999999997,4.0,1.1589999999999776,422.15999999999997,11.0,11.721000000000004,163.14600000000002,119.061,256.54,43.29799999999999,35.88900000000001,37.400000000000034,116.58700000000003,9.0,3.3010000000000304,538.7470000000001,11.0,14.037000000000035,193.385,141.821,283.057,30.239000000000004,22.75999999999999,26.517,79.51599999999999,6.0,1.6329999999999814,618.263,9.0,13.627000000000066
9,THIRION Remi,46.801,75.0,44.0,65.0,184.0,12.0,10.0,10.0,21.61,61.408,129.81900000000002,129.81900000000002,17.0,4.808000000000021,129.81900000000002,17.0,4.808000000000021,82.464,56.472,189.25599999999997,35.663000000000004,34.861999999999995,127.848,198.373,9.0,6.483000000000004,328.192,10.0,9.365000000000009,121.12799999999999,85.41,215.118,38.664,28.937999999999995,25.861999999999995,93.464,10.0,2.706000000000003,421.65599999999995,10.0,11.216999999999985,164.25,122.435,251.6,43.122,37.02500000000001,36.482,116.62900000000002,10.0,3.3430000000000177,538.285,9.0,13.574999999999932,195.03599999999997,145.012,278.27,30.785999999999998,22.577,26.66999999999999,80.03299999999999,9.0,2.1499999999999773,618.318,10.0,13.682000000000016
