,bib,id,name,q_rank,q_split1,q_split2,q_split3,q_split4,q_split5,q_start,q_start_rev,q_status,uci,q_points,r_points,rank,split1,split2,split3,split4,split5,start,start_rev,status,points,qr_diff,q_split1_rank,q_split1_vs_best,q_split1_vs_winner,q_split2_rank,q_split2_vs_best,q_split2_vs_winner,q_split2_sector,q_split2_sector_rank,q_split2_sector_vs_best,q_split2_sector_vs_winner,q_split3_rank,q_split3_vs_best,q_split3_vs_winner,q_split3_sector,q_split3_sector_rank,q_split3_sector_vs_best,q_split3_sector_vs_winner,q_split4_rank,q_split4_vs_best,q_split4_vs_winner,q_split4_sector,q_split4_sector_rank,q_split4_sector_vs_best,q_split4_sector_vs_winner,q_split5_rank,q_split5_vs_best,q_split5_vs_winner,q_split5_sector,q_split5_sector_rank,q_split5_sector_vs_best,q_split5_sector_vs_winner,split1_rank,split1_vs_best,split1_vs_winner,split2_rank,split2_vs_best,split2_vs_winner,split2_sector,split2_sector_rank,split2_sector_vs_best,split2_sector_vs_winner,split3_rank,split3_vs_best,split3_vs_winner,split3_sector,split3_sector_rank,split3_sector_vs_best,split3_sector_vs_winner,split4_rank,split4_vs_best,split4_vs_winner,split4_sector,split4_sector_rank,split4_sector_vs_best,split4_sector_vs_winner,split5_rank,split5_vs_best,split5_vs_winner,split5_sector,split5_sector_rank,split5_sector_vs_best,split5_sector_vs_winner,speed_x,speed_y,speed,q_speed,speed_ms,speed_ms_vs_best,speed_rank,q_speed_rank,BirthDate,CategoryCode,FamilyName,GivenName,Id,Nation,Outfit,PrintName,Protected,RaceId,RaceNr,ScoreboardName,StartOrder,StartTime,UciCode,UciRank,UciRiderId,UciTeamCode,UciTeamId,UciTeamName,WorldCupRank,Age
0,3,2003,SEAGRAVE Tahnee,2,71.443,160.969,221.185,278.939,317.281,3,33,Finished,10007414016,40.0,200.0,1.0,63.486,140.565,182.349,231.242,266.424,14.0,2.0,Finished,240.0,-50.85700000000003,2.0,0.8149999999999977,0.0,1.0,0.0,0.0,89.526,1.0,0.0,0.0,5.0,9.775000000000006,0.0,60.21600000000001,15.0,12.231000000000023,0.0,5.0,10.716000000000008,0.0,57.75400000000002,2.0,0.9410000000000025,0.0,2.0,9.759000000000015,0.0,38.341999999999985,1.0,0.0,0.0,2.0,1.0289999999999964,0.0,2.0,1.1810000000000116,0.0,77.07900000000001,3.0,0.23100000000000875,0.0,2.0,2.0989999999999895,0.0,41.78399999999999,9.0,2.3089999999999975,0.0,2.0,1.5679999999999836,0.0,48.893,2.0,0.3509999999999991,0.0,1.0,0.0,0.0,35.18199999999999,2.0,0.35199999999997544,0.0,61.443000000000005,57.184,61.443000000000005,57.184,17.067500000000003,0.7319444444444443,4.0,4.0,1995-06-15T00:00:00,WE,SEAGRAVE,Tahnee,1197084694808795,GBR,,SEAGRAVE Tahnee,False,0,3,SEAGRAVE T,3,48660000,GBR19950615,2,10007414016,FMD,1863,TRANSITION BIKES / MUC-OFF FACTORY RACING,3,23
1,2,2002,ATHERTON Rachel,6,70.628,161.877,233.374,292.343,332.22,2,34,Finished,10003434487,16.0,160.0,2.0,62.457,139.384,180.25,229.674,266.547,10.0,6.0,Finished,176.0,-65.673,1.0,0.0,-0.8149999999999977,2.0,0.9080000000000155,0.9080000000000155,91.24900000000001,3.0,1.7230000000000132,1.7230000000000132,7.0,21.964,12.188999999999993,71.49699999999999,20.0,23.512,11.280999999999977,6.0,24.120000000000005,13.403999999999996,58.96900000000002,5.0,2.156000000000006,1.2150000000000034,6.0,24.698000000000036,14.939000000000021,39.87700000000001,4.0,1.535000000000025,1.535000000000025,1.0,0.0,-1.0289999999999964,1.0,0.0,-1.1810000000000116,76.92699999999999,2.0,0.07899999999999352,-0.15200000000001523,1.0,0.0,-2.0989999999999895,40.866000000000014,5.0,1.3910000000000196,-0.917999999999978,1.0,0.0,-1.5679999999999836,49.42400000000001,3.0,0.882000000000005,0.5310000000000059,2.0,0.1230000000000473,0.1230000000000473,36.87300000000002,5.0,2.0430000000000064,1.691000000000031,59.638999999999996,53.137,59.638999999999996,53.137,16.566388888888888,1.2330555555555591,6.0,10.0,1987-12-06T00:00:00,WE,ATHERTON,Rachel,1197084694808794,GBR,NCh,ATHERTON Rachel,False,0,2,ATHERTON R,2,48630000,GBR19871206,3,10003434487,TDH,1598,TREK FACTORY RACING DH,2,30
2,7,2007,HRASTNIK Monika,1,73.227,163.425,211.41,268.223,307.522,7,29,Finished,10017602955,50.0,140.0,3.0,67.478,144.326,183.801,232.343,268.029,15.0,1.0,Finished,190.0,-39.492999999999995,4.0,2.5990000000000038,1.784000000000006,3.0,2.4560000000000173,2.4560000000000173,90.19800000000001,2.0,0.6720000000000113,0.6720000000000113,1.0,0.0,-9.775000000000006,47.984999999999985,1.0,0.0,-12.231000000000023,1.0,0.0,-10.716000000000008,56.81300000000002,1.0,0.0,-0.9410000000000025,1.0,0.0,-9.759000000000015,39.29899999999998,2.0,0.9569999999999936,0.9569999999999936,6.0,5.020999999999994,3.9919999999999973,3.0,4.942000000000007,3.7609999999999957,76.848,1.0,0.0,-0.23100000000000875,3.0,3.5509999999999877,1.4519999999999982,39.474999999999994,1.0,0.0,-2.3089999999999975,3.0,2.6689999999999827,1.100999999999999,48.542,1.0,0.0,-0.3509999999999991,3.0,1.6050000000000182,1.6050000000000182,35.68600000000001,3.0,0.8559999999999945,0.5040000000000191,61.898999999999994,58.001000000000005,61.898999999999994,58.001000000000005,17.194166666666664,0.6052777777777827,3.0,1.0,1994-06-07T00:00:00,WE,HRASTNIK,Monika,1197084694808799,SLO,CCh,HRASTNIK Monika,False,0,7,HRASTNIK M,7,48780000,SLO19940607,5,10017602955,,0,,7,24
3,4,2004,HANNAH Tracey,4,75.624,171.334,220.538,278.554,318.365,4,32,Finished,10003732258,25.0,125.0,4.0,65.874,144.738,185.3,234.888,269.718,12.0,4.0,Finished,150.0,-48.64699999999999,8.0,4.995999999999995,4.180999999999997,6.0,10.365000000000009,10.365000000000009,95.71000000000001,6.0,6.184000000000012,6.184000000000012,4.0,9.128000000000014,-0.6469999999999914,49.20400000000001,2.0,1.2190000000000225,-11.012,3.0,10.33099999999996,-0.38500000000004775,58.01599999999996,3.0,1.2029999999999461,0.2619999999999436,4.0,10.843000000000018,1.0840000000000032,39.811000000000035,3.0,1.469000000000051,1.469000000000051,3.0,3.4169999999999945,2.387999999999998,4.0,5.354000000000013,4.173000000000002,78.864,5.0,2.0160000000000053,1.7849999999999966,4.0,5.050000000000011,2.951000000000022,40.56200000000001,4.0,1.0870000000000175,-1.22199999999998,4.0,5.213999999999999,3.646000000000015,49.587999999999994,4.0,1.0459999999999923,0.6949999999999932,4.0,3.2940000000000396,3.2940000000000396,34.83000000000001,1.0,0.0,-0.35199999999997544,64.078,53.495,64.078,53.495,17.799444444444447,0.0,1.0,8.0,1988-06-13T00:00:00,WE,HANNAH,Tracey,1197084694808796,AUS,NCh,HANNAH Tracey,False,0,4,HANNAH T,4,48690000,AUS19880613,4,10003732258,URT,1608,POLYGON UR,4,30
4,11,2011,WIDMANN Veronika,9,78.411,188.636,246.418,310.525,351.39,10,26,Finished,10007423312,10.0,110.0,5.0,67.812,148.903,188.929,239.881,275.824,6.0,10.0,Finished,120.0,-75.56599999999997,11.0,7.783000000000001,6.9680000000000035,12.0,27.667,27.667,110.225,12.0,20.698999999999998,20.698999999999998,10.0,35.00800000000001,25.233000000000004,57.78200000000001,11.0,9.797000000000025,-2.4339999999999975,9.0,42.301999999999964,31.585999999999956,64.10699999999997,10.0,7.293999999999954,6.352999999999952,9.0,43.867999999999995,34.10899999999998,40.86500000000001,7.0,2.5230000000000246,2.5230000000000246,8.0,5.354999999999997,4.3260000000000005,9.0,9.519000000000005,8.337999999999994,81.091,9.0,4.242999999999995,4.011999999999986,7.0,8.679000000000002,6.5800000000000125,40.02600000000001,2.0,0.5510000000000161,-1.7579999999999814,8.0,10.206999999999994,8.63900000000001,50.952,6.0,2.4099999999999966,2.0589999999999975,5.0,9.400000000000034,9.400000000000034,35.94300000000001,4.0,1.1129999999999995,0.7610000000000241,63.082,53.713,63.082,53.713,17.52277777777778,0.2766666666666673,2.0,7.0,1993-03-08T00:00:00,WE,WIDMANN,Veronika,1197084694808802,ITA,,WIDMANN Veronika,False,0,11,WIDMANN V,10,48870000,ITA19930308,13,10007423312,FSF,2238,FS FUNN,11,25
5,18,2018,HOFFMANN Nina Charlott,13,74.881,185.121,253.177,326.311,366.332,16,20,Finished,10015887065,,95.0,6.0,66.804,146.289,186.671,238.588,276.262,3.0,13.0,Finished,95.0,-90.07,6.0,4.253,3.4380000000000024,10.0,24.152000000000015,24.152000000000015,110.24000000000001,13.0,20.714000000000013,20.714000000000013,11.0,41.766999999999996,31.99199999999999,68.05599999999998,17.0,20.070999999999998,7.839999999999975,14.0,58.087999999999965,47.37199999999996,73.13399999999999,23.0,16.32099999999997,15.379999999999967,13.0,58.81,49.05099999999999,40.021000000000015,5.0,1.6790000000000305,1.6790000000000305,5.0,4.347000000000001,3.318000000000005,7.0,6.905000000000001,5.7239999999999895,79.48499999999999,7.0,2.6369999999999862,2.4059999999999775,5.0,6.420999999999992,4.322000000000003,40.382000000000005,3.0,0.9070000000000107,-1.4019999999999868,5.0,8.913999999999987,7.346000000000004,51.917,8.0,3.375,3.024000000000001,6.0,9.838000000000022,9.838000000000022,37.67400000000001,9.0,2.843999999999994,2.4920000000000186,58.951,55.853,58.951,55.853,16.37527777777778,1.4241666666666681,8.0,6.0,1996-08-02T00:00:00,WE,HOFFMANN,Nina Charlott,1197084694808808,GER,,HOFFMANN Nina Charlott,False,0,18,HOFFMANN N,16,49050000,GER19960802,17,10015887065,,0,,18,21
6,6,2006,SIEGENTHALER Emilie,3,72.738,166.147,215.734,274.703,317.619,6,30,Finished,10004167243,30.0,80.0,7.0,68.201,147.534,188.947,239.247,276.698,13.0,3.0,Finished,110.0,-40.92100000000005,3.0,2.1099999999999994,1.2950000000000017,4.0,5.177999999999997,5.177999999999997,93.40899999999999,5.0,3.8829999999999956,3.8829999999999956,2.0,4.324000000000012,-5.450999999999993,49.58700000000002,3.0,1.6020000000000323,-10.62899999999999,2.0,6.479999999999961,-4.236000000000047,58.968999999999966,4.0,2.155999999999949,1.2149999999999466,3.0,10.097000000000037,0.3380000000000223,42.916000000000054,10.0,4.574000000000069,4.574000000000069,9.0,5.743999999999993,4.714999999999996,8.0,8.150000000000006,6.968999999999994,79.333,6.0,2.4849999999999994,2.2539999999999907,8.0,8.697000000000003,6.598000000000013,41.41300000000001,7.0,1.9380000000000166,-0.3709999999999809,6.0,9.573000000000008,8.005000000000024,50.30000000000001,5.0,1.7580000000000098,1.4070000000000107,7.0,10.274000000000001,10.274000000000001,37.450999999999965,6.0,2.6209999999999525,2.268999999999977,58.278,48.278,58.278,48.278,16.188333333333333,1.6111111111111143,9.0,21.0,1986-09-19T00:00:00,WE,SIEGENTHALER,Emilie,1197084694808798,SUI,,SIEGENTHALER Emilie,False,0,6,SIEGENTHALER,6,48750000,SUI19860919,7,10004167243,PFR,1864,PIVOT FACTORY RACING,6,31
7,16,2016,FARINA Eleonora,8,73.932,188.392,241.537,304.437,347.681,14,22,Finished,10010007855,12.0,70.0,8.0,65.952,145.598,186.686,239.498,277.047,7.0,9.0,Finished,82.0,-70.63399999999996,5.0,3.304000000000002,2.4890000000000043,11.0,27.423000000000002,27.423000000000002,114.46,17.0,24.933999999999997,24.933999999999997,8.0,30.12700000000001,20.352000000000004,53.14500000000001,6.0,5.160000000000025,-7.070999999999998,8.0,36.214,25.49799999999999,62.900000000000006,8.0,6.086999999999989,5.145999999999987,8.0,40.15899999999999,30.399999999999977,43.24399999999997,13.0,4.901999999999987,4.901999999999987,4.0,3.4949999999999974,2.466000000000001,6.0,6.214000000000027,5.0330000000000155,79.64600000000002,8.0,2.798000000000016,2.5670000000000073,6.0,6.436000000000007,4.3370000000000175,41.087999999999994,6.0,1.6129999999999995,-0.695999999999998,7.0,9.823999999999984,8.256,52.81199999999998,9.0,4.269999999999982,3.9189999999999827,8.0,10.623000000000047,10.623000000000047,37.549000000000035,8.0,2.7190000000000225,2.367000000000047,60.435,57.663000000000004,60.435,57.663000000000004,16.7875,1.0119444444444454,5.0,2.0,1990-11-27T00:00:00,WE,FARINA,Eleonora,1197084694808806,ITA,NCh,FARINA Eleonora,False,0,16,FARINA E,14,48990000,ITA19901127,9,10010007855,,0,,0,27
8,5,2005,CABIROU Marine,10,76.182,201.736,257.889,318.921,360.442,5,31,Finished,10009563069,5.0,60.0,9.0,67.545,145.561,192.22,243.324,280.823,8.0,8.0,Finished,65.0,-79.61900000000003,9.0,5.554000000000002,4.739000000000004,19.0,40.766999999999996,40.766999999999996,125.55399999999999,19.0,36.02799999999999,36.02799999999999,14.0,46.47900000000001,36.70400000000001,56.15300000000002,9.0,8.168000000000035,-4.062999999999988,10.0,50.69799999999998,39.98199999999997,61.03199999999998,7.0,4.218999999999966,3.277999999999963,10.0,52.920000000000016,43.161,41.521000000000015,9.0,3.1790000000000305,3.1790000000000305,7.0,5.088000000000001,4.059000000000005,5.0,6.177000000000021,4.996000000000009,78.016,4.0,1.1680000000000064,0.9369999999999976,10.0,11.969999999999999,9.87100000000001,46.65899999999999,13.0,7.1839999999999975,4.875,9.0,13.650000000000006,12.082000000000022,51.10400000000001,7.0,2.562000000000012,2.2110000000000127,9.0,14.399000000000001,14.399000000000001,37.49899999999997,7.0,2.6689999999999543,2.316999999999979,59.549,50.43,59.549,50.43,16.54138888888889,1.2580555555555577,7.0,13.0,1997-03-12T00:00:00,WE,CABIROU,Marine,1197084694808797,FRA,,CABIROU Marine,False,0,5,CABIROU M,5,48720000,FRA19970312,6,10009563069,VVR,2096,VOULVOUL RACING,5,21
9,10,2010,SALAZAR Mariana,5,74.988,168.096,218.062,278.629,319.646,9,27,Finished,10007687838,20.0,55.0,10.0,68.79,150.213,191.946,246.081,284.517,11.0,5.0,Finished,75.0,-35.12900000000002,7.0,4.359999999999999,3.5450000000000017,5.0,7.1270000000000095,7.1270000000000095,93.108,4.0,3.582000000000008,3.582000000000008,3.0,6.652000000000015,-3.1229999999999905,49.96600000000001,4.0,1.981000000000023,-10.25,4.0,10.406000000000006,-0.3100000000000023,60.56700000000001,6.0,3.7539999999999907,2.812999999999988,5.0,12.124000000000024,2.365000000000009,41.016999999999996,8.0,2.6750000000000114,2.6750000000000114,10.0,6.3330000000000055,5.304000000000009,10.0,10.829000000000008,9.647999999999996,81.42299999999999,10.0,4.574999999999989,4.34399999999998,9.0,11.695999999999998,9.597000000000008,41.733000000000004,8.0,2.2580000000000098,-0.05099999999998772,10.0,16.406999999999982,14.838999999999999,54.13499999999999,10.0,5.592999999999989,5.24199999999999,10.0,18.093000000000018,18.093000000000018,38.43600000000001,11.0,3.6059999999999945,3.254000000000019,58.17100000000001,56.091,58.17100000000001,56.091,16.158611111111114,1.6408333333333331,10.0,5.0,1994-05-06T00:00:00,WE,SALAZAR,Mariana,1197084694808801,ESA,,SALAZAR Mariana,False,0,10,SALAZAR M,9,48840000,ESA19940506,24,10007687838,DOR,1867,DORVAL AM,10,24
