uci,q_speed
10017602955,58.001
10007414016,57.184
10004167243,48.278
10003732258,53.495
10007687838,56.091
10003434487,53.137
10006044292,47.425
10010007855,57.663
10007423312,53.713
10009563069,50.430
10008589635,50.190
10073484352,48.679
10015887065,55.853
10059628813,49.438
10006825649,49.162
10010802043,50.430
10053571565,49.874
10052926416,52.537
10009023408,57.516
10010898134,46.248
10006911535,48.859
10011008066,50.047
10010936631,51.986
10016567984,47.826
10007928015,45.727
10008178595,44.221
10005872726,53.351
10008084326,46.140
10016172712,41.466
10010012000,
10009895701,
10011213786,
10010681906,
10004535237,
10010084546,
