,BirthDate,CategoryCode,FamilyName,GivenName,Id,Nation,Outfit,PrintName,Protected,RaceId,RaceNr,ScoreboardName,StartOrder,StartTime,UciCode,UciRank,UciRiderId,UciTeamCode,UciTeamId,UciTeamName,WorldCupRank,Age
2001,1990-02-08T00:00:00,WE,NICOLE,Myriam,1197084694808793,FRA,WCL,NICOLE Myriam,False,0,1,NICOLE M,1,48600000,FRA19900208,1,10004535237,CVN,1590,COMMENCAL / VALLNORD,1,28
2002,1987-12-06T00:00:00,WE,ATHERTON,Rachel,1197084694808794,GBR,NCh,ATHERTON Rachel,False,0,2,ATHERTON R,2,48630000,GBR19871206,3,10003434487,TDH,1598,TREK FACTORY RACING DH,2,30
2003,1995-06-15T00:00:00,WE,SEAGRAVE,Tahnee,1197084694808795,GBR,,SEAGRAVE Tahnee,False,0,3,SEAGRAVE T,3,48660000,GBR19950615,2,10007414016,FMD,1863,TRANSITION BIKES / MUC-OFF FACTORY RACING,3,23
2004,1988-06-13T00:00:00,WE,HANNAH,Tracey,1197084694808796,AUS,NCh,HANNAH Tracey,False,0,4,HANNAH T,4,48690000,AUS19880613,4,10003732258,URT,1608,POLYGON UR,4,30
2005,1997-03-12T00:00:00,WE,CABIROU,Marine,1197084694808797,FRA,,CABIROU Marine,False,0,5,CABIROU M,5,48720000,FRA19970312,6,10009563069,VVR,2096,VOULVOUL RACING,5,21
2006,1986-09-19T00:00:00,WE,SIEGENTHALER,Emilie,1197084694808798,SUI,,SIEGENTHALER Emilie,False,0,6,SIEGENTHALER,6,48750000,SUI19860919,7,10004167243,PFR,1864,PIVOT FACTORY RACING,6,31
2007,1994-06-07T00:00:00,WE,HRASTNIK,Monika,1197084694808799,SLO,CCh,HRASTNIK Monika,False,0,7,HRASTNIK M,7,48780000,SLO19940607,5,10017602955,,0,,7,24
2008,1989-04-27T00:00:00,WE,CURD,Katy,1197084694808800,GBR,,CURD Katy,False,0,8,CURD K,8,48810000,GBR19890427,21,10006044292,,0,,8,29
2010,1994-05-06T00:00:00,WE,SALAZAR,Mariana,1197084694808801,ESA,,SALAZAR Mariana,False,0,10,SALAZAR M,9,48840000,ESA19940506,24,10007687838,DOR,1867,DORVAL AM,10,24
2011,1993-03-08T00:00:00,WE,WIDMANN,Veronika,1197084694808802,ITA,,WIDMANN Veronika,False,0,11,WIDMANN V,10,48870000,ITA19930308,13,10007423312,FSF,2238,FS FUNN,11,25
2012,1998-08-02T00:00:00,WE,A'HERN,Sian,1197084694808803,AUS,,A'HERN Sian,False,0,12,A'HERN S,11,48900000,AUS19980802,16,10010802043,,0,,12,19
2013,1991-11-06T00:00:00,WE,CAPPELLARI,Carina,1197084694808804,SUI,NCh,CAPPELLARI Carina,False,0,13,CAPPELLARI C,12,48930000,SUI19911106,10,10006911535,MNR,2039,HIAG DATA - NS-BIKES FACTORY RACING,13,26
2014,1990-03-02T00:00:00,WE,MILLER,Miranda,1197084694808805,CAN,WCh,MILLER Miranda,False,0,14,MILLER M,13,48960000,CAN19900302,8,10005872726,SGR,1667,SPECIALIZED GRAVITY,14,28
2016,1990-11-27T00:00:00,WE,FARINA,Eleonora,1197084694808806,ITA,NCh,FARINA Eleonora,False,0,16,FARINA E,14,48990000,ITA19901127,9,10010007855,,0,,0,27
2017,1999-03-12T00:00:00,WE,CHAPPAZ,Melanie,1197084694808807,FRA,,CHAPPAZ Melanie,False,0,17,CHAPPAZ M,15,49020000,FRA19990312,12,10011008066,HTH,3167,HOPE TECHNOLOGY,0,19
2018,1996-08-02T00:00:00,WE,HOFFMANN,Nina Charlott,1197084694808808,GER,,HOFFMANN Nina Charlott,False,0,18,HOFFMANN N,16,49050000,GER19960802,17,10015887065,,0,,18,21
2019,1995-07-09T00:00:00,WE,RONNING,Frida Helena,1197084694808809,NOR,NCh,RONNING Frida Helena,False,0,19,RONNING F,17,49080000,NOR19950709,18,10008084326,,0,,19,23
2020,1993-09-29T00:00:00,WE,NOGUEIRA,Camila,1197084694808810,ARG,,NOGUEIRA Camila,False,0,20,NOGUEIRA C,18,49110000,ARG19930929,25,10008589635,,0,,0,24
2021,1996-12-25T00:00:00,WE,BANDEIRA,Margarida,1197084694808811,POR,NCh,BANDEIRA Margarida,False,0,21,BANDEIRA M,19,49140000,POR19961225,26,10009023408,,0,,0,21
2023,1998-06-28T00:00:00,WE,ARMSTRONG,Virginia,1197084694808812,NZL,CCh,ARMSTRONG Virginia,False,0,23,ARMSTRONG V,20,49170000,NZL19980628,29,10052926416,,0,,0,20
2024,1995-01-25T00:00:00,WE,RUTZ,Lea Salome,1197084694808813,SUI,,RUTZ Lea Salome,False,0,24,RUTZ L,21,49200000,SUI19950125,32,10010012000,,0,,0,23
2025,1996-11-15T00:00:00,WE,HUBSCHER,Janine,1197084694808814,SUI,,HUBSCHER Janine,False,0,25,HUBSCHER J,22,49230000,SUI19961115,35,10059628813,,0,,0,21
2026,1995-07-19T00:00:00,WE,FARIAS MARTINEZ,Andrea Francisca,1197084694808815,CHI,NCh,FARIAS MARTINEZ Andrea Francisca,False,0,26,FARIAS MARTI,23,49260000,CHI19950719,37,10053571565,,0,,0,22
2029,1991-07-11T00:00:00,WE,MARCELLINI,Alia,1197084694808816,ITA,,MARCELLINI Alia,False,0,29,MARCELLINI A,24,49290000,ITA19910711,57,10006825649,GIT,1941,GRAVITALIA SQUADRA CORSE,0,27
