,bib,id,name,rank,split1,split2,split3,split4,split5,start,start_rev,status,uci,r_points
0,3,2003,SEAGRAVE Tahnee,1,63.486,140.565,182.349,231.242,266.424,14,2,Finished,10007414016,200
1,2,2002,ATHERTON Rachel,2,62.457,139.384,180.25,229.674,266.547,10,6,Finished,10003434487,160
2,7,2007,HRASTNIK Monika,3,67.478,144.326,183.801,232.343,268.029,15,1,Finished,10017602955,140
3,4,2004,HANNAH Tracey,4,65.874,144.738,185.3,234.888,269.718,12,4,Finished,10003732258,125
4,11,2011,WIDMANN Veronika,5,67.812,148.903,188.929,239.881,275.824,6,10,Finished,10007423312,110
5,18,2018,HOFFMANN Nina Charlott,6,66.804,146.289,186.671,238.588,276.262,3,13,Finished,10015887065,95
6,6,2006,SIEGENTHALER Emilie,7,68.201,147.534,188.947,239.247,276.698,13,3,Finished,10004167243,80
7,16,2016,FARINA Eleonora,8,65.952,145.598,186.686,239.498,277.047,7,9,Finished,10010007855,70
8,5,2005,CABIROU Marine,9,67.545,145.561,192.22,243.324,280.823,8,8,Finished,10009563069,60
9,10,2010,SALAZAR Mariana,10,68.79,150.213,191.946,246.081,284.517,11,5,Finished,10007687838,55
10,29,2029,MARCELLINI Alia,11,70.626,154.115,199.102,253.683,292.962,1,15,Finished,10006825649,45
11,40,2040,WEATHERLY Kate,12,72.962,159.936,203.849,258.918,296.935,4,12,Finished,10073484352,35
12,8,2008,CURD Katy,13,70.374,153.625,200.366,257.978,299.116,9,7,Finished,10006044292,25
13,25,2025,HUBSCHER Janine,14,71.87,158.348,204.007,261.599,300.128,2,14,Finished,10059628813,15
14,20,2020,NOGUEIRA Camila,15,74.26,162.725,209.63,267.43,307.85,5,11,Finished,10008589635,5
