,bib,id,name,q_rank,q_split1,q_split2,q_split3,q_split4,q_split5,q_start,q_start_rev,q_status,uci,q_points,r_points,rank,split1,split2,split3,split4,split5,start,start_rev,status,points,qr_diff,q_split1_rank,q_split1_vs_best,q_split1_vs_winner,q_split2_rank,q_split2_vs_best,q_split2_vs_winner,q_split2_sector,q_split2_sector_rank,q_split2_sector_vs_best,q_split2_sector_vs_winner,q_split3_rank,q_split3_vs_best,q_split3_vs_winner,q_split3_sector,q_split3_sector_rank,q_split3_sector_vs_best,q_split3_sector_vs_winner,q_split4_rank,q_split4_vs_best,q_split4_vs_winner,q_split4_sector,q_split4_sector_rank,q_split4_sector_vs_best,q_split4_sector_vs_winner,q_split5_rank,q_split5_vs_best,q_split5_vs_winner,q_split5_sector,q_split5_sector_rank,q_split5_sector_vs_best,q_split5_sector_vs_winner,split1_rank,split1_vs_best,split1_vs_winner,split2_rank,split2_vs_best,split2_vs_winner,split2_sector,split2_sector_rank,split2_sector_vs_best,split2_sector_vs_winner,split3_rank,split3_vs_best,split3_vs_winner,split3_sector,split3_sector_rank,split3_sector_vs_best,split3_sector_vs_winner,split4_rank,split4_vs_best,split4_vs_winner,split4_sector,split4_sector_rank,split4_sector_vs_best,split4_sector_vs_winner,split5_rank,split5_vs_best,split5_vs_winner,split5_sector,split5_sector_rank,split5_sector_vs_best,split5_sector_vs_winner,speed,q_speed,speed_ms,speed_ms_vs_best,speed_rank,q_speed_rank,BirthDate,CategoryCode,FamilyName,GivenName,Id,Nation,Outfit,PrintName,Protected,RaceId,RaceNr,ScoreboardName,StartOrder,StartTime,UciCode,UciRank,UciRiderId,UciTeamCode,UciTeamId,UciTeamName,WorldCupRank,Age
0,1,1001,PIERRON Amaury,1,61.533,135.196,170.755,213.596,247.25,1,145,Finished,10008827283,50.0,200.0,1.0,54.943,117.167,147.615,185.895,216.788,66.0,1.0,Finished,250.0,-30.46199999999999,2.0,1.3569999999999993,0.0,2.0,1.4000000000000057,0.0,73.663,2.0,0.043000000000006366,0.0,2.0,0.21199999999998909,0.0,35.559,1.0,0.0,0.0,1.0,0.0,0.0,42.84100000000001,1.0,0.0,0.0,1.0,0.0,0.0,33.653999999999996,1.0,0.0,0.0,5.0,0.6209999999999951,0.0,4.0,0.8589999999999947,0.0,62.224000000000004,4.0,1.070999999999998,0.0,4.0,0.9840000000000089,0.0,30.448000000000008,6.0,0.5390000000000015,0.0,1.0,0.0,0.0,38.28,2.0,0.14799999999999613,0.0,1.0,0.0,0.0,30.893,4.0,0.08599999999998431,0.0,64.759,57.371,17.988611111111112,0.9769444444444488,13.0,9.0,1996-03-04T00:00:00,ME,PIERRON,Amaury,1197084694808582,FRA,WCL,PIERRON Amaury,False,0,1,PIERRON A,1,50400000,FRA19960304,3,10008827283,CVN,1590,COMMENCAL / VALLNORD,1,22
1,5,1005,GREENLAND Laurie,10,64.201,141.328,178.669,224.338,259.234,5,141,Finished,10009404738,15.0,160.0,2.0,55.155,116.308,146.631,185.919,217.312,62.0,5.0,Finished,175.0,-41.92199999999997,36.0,4.0249999999999915,2.667999999999992,20.0,7.532000000000011,6.132000000000005,77.12700000000001,14.0,3.507000000000019,3.464000000000013,11.0,8.126000000000005,7.914000000000016,37.34100000000001,5.0,1.7820000000000107,1.7820000000000107,12.0,10.74199999999999,10.74199999999999,45.66899999999998,15.0,2.8279999999999745,2.8279999999999745,10.0,11.98399999999998,11.98399999999998,34.89599999999999,7.0,1.2419999999999902,1.2419999999999902,6.0,0.8329999999999984,0.2120000000000033,1.0,0.0,-0.8589999999999947,61.153000000000006,1.0,0.0,-1.070999999999998,1.0,0.0,-0.9840000000000089,30.322999999999993,3.0,0.41399999999998727,-0.1250000000000142,2.0,0.02400000000000091,0.02400000000000091,39.28800000000001,5.0,1.156000000000006,1.0080000000000098,2.0,0.5240000000000009,0.5240000000000009,31.393,7.0,0.5859999999999843,0.5,66.807,55.775,18.5575,0.40805555555555983,5.0,18.0,1997-02-18T00:00:00,ME,GREENLAND,Laurie,1197084694808586,GBR,,GREENLAND Laurie,False,0,5,GREENLAND L,5,50520000,GBR19970218,9,10009404738,MSM,1009,MS MONDRAKER TEAM,5,21
2,8,1008,HART Danny,4,61.699,137.952,176.32,221.415,257.581,8,138,Finished,10005470073,25.0,140.0,3.0,54.322,116.386,146.865,185.938,217.448,65.0,2.0,Finished,165.0,-40.13300000000001,4.0,1.5229999999999961,0.16599999999999682,3.0,4.156000000000006,2.7560000000000002,76.253,6.0,2.6330000000000098,2.5900000000000034,4.0,5.776999999999987,5.564999999999998,38.367999999999995,18.0,2.8089999999999975,2.8089999999999975,4.0,7.818999999999988,7.818999999999988,45.095,9.0,2.2539999999999907,2.2539999999999907,4.0,10.331000000000017,10.331000000000017,36.166000000000025,48.0,2.512000000000029,2.512000000000029,1.0,0.0,-0.6209999999999951,2.0,0.07799999999998875,-0.7810000000000059,62.06399999999999,2.0,0.9109999999999872,-0.1600000000000108,2.0,0.23400000000000887,-0.75,30.479000000000013,7.0,0.5700000000000074,0.03100000000000591,3.0,0.042999999999977945,0.042999999999977945,39.07299999999998,3.0,0.9409999999999741,0.792999999999978,3.0,0.6599999999999966,0.6599999999999966,31.51000000000002,8.0,0.703000000000003,0.6170000000000186,63.25899999999999,53.786,17.571944444444444,1.3936111111111167,20.0,45.0,1991-09-20T00:00:00,ME,HART,Danny,1197084694808589,GBR,,HART Danny,False,0,8,HART D,8,50610000,GBR19910920,5,10005470073,MST,1680,MADISON SARACEN FACTORY TEAM,8,26
3,7,1007,SHAW Luca,5,62.461,139.053,177.406,221.969,257.846,7,139,Finished,10008813442,22.0,125.0,4.0,56.937,120.157,150.066,188.198,219.036,64.0,3.0,Finished,147.0,-38.81,8.0,2.2849999999999966,0.9279999999999973,7.0,5.257000000000005,3.8569999999999993,76.592,8.0,2.9720000000000084,2.929000000000002,5.0,6.8629999999999995,6.6510000000000105,38.35300000000001,17.0,2.794000000000011,2.794000000000011,5.0,8.37299999999999,8.37299999999999,44.56299999999999,3.0,1.72199999999998,1.72199999999998,5.0,10.596000000000004,10.596000000000004,35.87700000000001,33.0,2.223000000000013,2.223000000000013,27.0,2.614999999999995,1.9939999999999998,14.0,3.8489999999999895,2.989999999999995,63.22,9.0,2.066999999999993,0.9959999999999951,8.0,3.4350000000000023,2.4509999999999934,29.909000000000006,1.0,0.0,-0.5390000000000015,5.0,2.3029999999999973,2.3029999999999973,38.132000000000005,1.0,0.0,-0.14799999999999613,4.0,2.2479999999999905,2.2479999999999905,30.837999999999994,2.0,0.03099999999997749,-0.05500000000000682,62.485,54.56399999999999,17.356944444444444,1.6086111111111165,28.0,36.0,1996-12-25T00:00:00,ME,SHAW,Luca,1197084694808588,USA,,SHAW Luca,False,0,7,SHAW L,7,50580000,USA19961225,8,10008813442,SCB,1307,SANTA CRUZ SYNDICATE,7,21
4,39,1039,ESTAQUE Thomas,7,62.669,140.237,178.399,224.052,258.186,36,110,Finished,10008848505,18.0,110.0,5.0,54.382,117.274,148.581,187.674,219.254,45.0,22.0,Finished,128.0,-38.93199999999999,9.0,2.492999999999995,1.1359999999999957,12.0,6.4410000000000025,5.040999999999997,77.568,18.0,3.9480000000000075,3.905000000000001,9.0,7.8559999999999945,7.6440000000000055,38.162000000000006,14.0,2.6030000000000086,2.6030000000000086,11.0,10.455999999999989,10.455999999999989,45.65299999999999,14.0,2.8119999999999834,2.8119999999999834,7.0,10.935999999999979,10.935999999999979,34.133999999999986,3.0,0.47999999999998977,0.47999999999998977,2.0,0.05999999999999517,-0.5609999999999999,5.0,0.965999999999994,0.10699999999999932,62.892,5.0,1.7389999999999972,0.6679999999999993,5.0,1.9499999999999886,0.9659999999999798,31.306999999999988,15.0,1.397999999999982,0.8589999999999804,4.0,1.7789999999999964,1.7789999999999964,39.09300000000002,4.0,0.9610000000000127,0.8130000000000166,5.0,2.4659999999999798,2.4659999999999798,31.579999999999984,10.0,0.7729999999999677,0.6869999999999834,60.343,52.122,16.761944444444445,2.2036111111111154,43.0,61.0,1996-11-15T00:00:00,ME,ESTAQUE,Thomas,1197084694808617,FRA,,ESTAQUE Thomas,False,0,39,ESTAQUE T,36,51450000,FRA19961115,176,10008848505,,0,,39,21
5,16,1016,WALLACE Mark,61,61.984,144.803,192.331,238.855,275.623,16,130,Finished,10008172636,,95.0,6.0,56.01,119.331,149.494,188.922,220.768,54.0,13.0,Finished,95.0,-54.85499999999999,6.0,1.8079999999999998,0.4510000000000005,41.0,11.007000000000005,9.607,82.81899999999999,62.0,9.198999999999998,9.155999999999992,67.0,21.787999999999982,21.575999999999993,47.52799999999999,104.0,11.968999999999994,11.968999999999994,60.0,25.258999999999986,25.258999999999986,46.524,25.0,3.6829999999999927,3.6829999999999927,61.0,28.37299999999999,28.37299999999999,36.768,71.0,3.1140000000000043,3.1140000000000043,14.0,1.6879999999999953,1.0670000000000002,11.0,3.022999999999996,2.1640000000000015,63.321000000000005,10.0,2.1679999999999993,1.0970000000000013,6.0,2.8629999999999995,1.8789999999999907,30.162999999999997,2.0,0.2539999999999907,-0.2850000000000108,6.0,3.026999999999987,3.026999999999987,39.428,7.0,1.2959999999999923,1.1479999999999961,6.0,3.9799999999999898,3.9799999999999898,31.846000000000004,13.0,1.0389999999999873,0.953000000000003,61.443000000000005,52.26,17.067500000000003,1.8980555555555583,35.0,59.0,1995-06-01T00:00:00,ME,WALLACE,Mark,1197084694808597,CAN,,WALLACE Mark,False,0,16,WALLACE M,16,50850000,CAN19950601,15,10008172636,CFT,2162,CANYON FACTORY DOWNHILL TEAM,16,23
6,18,1018,WILSON Reece,8,63.383,138.94,179.129,223.458,258.362,18,128,Finished,10009563271,17.0,90.0,7.0,55.955,119.1,150.224,189.992,220.858,44.0,23.0,Finished,107.0,-37.50400000000002,19.0,3.2070000000000007,1.8500000000000014,5.0,5.1440000000000055,3.7439999999999998,75.55699999999999,4.0,1.9369999999999976,1.8939999999999912,16.0,8.585999999999984,8.373999999999995,40.18899999999999,47.0,4.6299999999999955,4.6299999999999955,8.0,9.861999999999995,9.861999999999995,44.32900000000001,2.0,1.4879999999999995,1.4879999999999995,8.0,11.112000000000023,11.112000000000023,34.904000000000025,8.0,1.2500000000000284,1.2500000000000284,13.0,1.6329999999999956,1.0120000000000005,8.0,2.7919999999999874,1.9329999999999927,63.144999999999996,7.0,1.9919999999999902,0.9209999999999923,10.0,3.5929999999999893,2.6089999999999804,31.123999999999995,11.0,1.2149999999999892,0.6759999999999877,8.0,4.09699999999998,4.09699999999998,39.768,12.0,1.6359999999999957,1.4879999999999995,7.0,4.069999999999993,4.069999999999993,30.866000000000014,3.0,0.0589999999999975,-0.026999999999986812,68.12899999999999,55.931999999999995,18.924722222222222,0.04083333333333883,2.0,16.0,1996-06-11T00:00:00,ME,WILSON,Reece,1197084694808599,GBR,,WILSON Reece,False,0,18,WILSON R,18,50910000,GBR19960611,59,10009563271,,0,,18,22
7,32,1032,ILES Finn,2,60.176,133.796,170.543,215.391,250.682,30,116,Finished,10076111537,40.0,85.0,8.0,55.787,118.733,149.998,189.66,221.502,48.0,19.0,Finished,125.0,-29.17999999999998,1.0,0.0,-1.3569999999999993,1.0,0.0,-1.4000000000000057,73.61999999999999,1.0,0.0,-0.043000000000006366,1.0,0.0,-0.21199999999998909,36.747000000000014,3.0,1.1880000000000166,1.1880000000000166,2.0,1.7949999999999875,1.7949999999999875,44.847999999999985,5.0,2.0069999999999766,2.0069999999999766,2.0,3.431999999999988,3.431999999999988,35.291,14.0,1.6370000000000005,1.6370000000000005,9.0,1.4649999999999963,0.8440000000000012,7.0,2.424999999999997,1.5660000000000025,62.946000000000005,6.0,1.7929999999999993,0.7220000000000013,7.0,3.3669999999999902,2.3829999999999814,31.264999999999986,13.0,1.3559999999999803,0.8169999999999789,7.0,3.7649999999999864,3.7649999999999864,39.662000000000006,10.0,1.5300000000000011,1.382000000000005,8.0,4.713999999999999,4.713999999999999,31.842000000000013,12.0,1.0349999999999966,0.9490000000000123,64.574,55.172,17.93722222222222,1.0283333333333395,15.0,24.0,1999-08-15T00:00:00,ME,ILES,Finn,1197084694808611,CAN,,ILES Finn,False,0,32,ILES F,30,51270000,CAN19990815,42,10076111537,SGR,1667,SPECIALIZED GRAVITY,32,18
8,10,1010,MACDONALD Brook,25,64.139,140.731,178.564,223.557,266.114,10,136,Finished,10006429969,,80.0,9.0,56.118,119.319,151.048,190.64,221.916,57.0,10.0,Finished,80.0,-44.19799999999998,35.0,3.962999999999994,2.6059999999999945,16.0,6.935000000000002,5.534999999999997,76.592,8.0,2.9720000000000084,2.929000000000002,10.0,8.020999999999987,7.8089999999999975,37.833,10.0,2.274000000000001,2.274000000000001,10.0,9.960999999999984,9.960999999999984,44.992999999999995,6.0,2.151999999999987,2.151999999999987,25.0,18.863999999999976,18.863999999999976,42.55699999999999,118.0,8.902999999999992,8.902999999999992,17.0,1.7959999999999994,1.1750000000000043,10.0,3.0109999999999957,2.152000000000001,63.201,8.0,2.0479999999999947,0.9769999999999968,12.0,4.417000000000002,3.4329999999999927,31.729,24.0,1.8199999999999932,1.2809999999999917,11.0,4.744999999999976,4.744999999999976,39.591999999999985,9.0,1.4599999999999795,1.3119999999999834,9.0,5.127999999999986,5.127999999999986,31.27600000000001,5.0,0.4689999999999941,0.3830000000000098,64.26,23.0,17.85,1.1155555555555594,16.0,93.0,1991-11-25T00:00:00,ME,MACDONALD,Brook,1197084694808591,NZL,,MACDONALD Brook,False,0,10,MACDONALD B,10,50670000,NZL19911125,19,10006429969,MSM,1009,MS MONDRAKER TEAM,10,26
9,3,1003,BROSNAN Troy,53,63.72,144.695,185.993,235.963,273.015,3,143,Finished,10007307417,,75.0,10.0,54.593,118.625,150.077,190.06,222.379,55.0,12.0,Finished,75.0,-50.635999999999996,30.0,3.543999999999997,2.1869999999999976,39.0,10.899000000000001,9.498999999999995,80.975,50.0,7.355000000000004,7.311999999999998,45.0,15.449999999999989,15.238,41.298,60.0,5.739000000000004,5.739000000000004,51.0,22.36699999999999,22.36699999999999,49.97,82.0,7.128999999999991,7.128999999999991,53.0,25.764999999999986,25.764999999999986,37.05199999999999,80.0,3.397999999999996,3.397999999999996,3.0,0.2710000000000008,-0.3499999999999943,6.0,2.316999999999993,1.4579999999999984,64.032,15.0,2.8789999999999907,1.8079999999999927,9.0,3.445999999999998,2.461999999999989,31.451999999999998,18.0,1.5429999999999922,1.0039999999999907,9.0,4.164999999999992,4.164999999999992,39.983000000000004,14.0,1.850999999999999,1.703000000000003,10.0,5.59099999999998,5.59099999999998,32.31899999999999,21.0,1.511999999999972,1.4259999999999877,64.865,54.64,18.018055555555556,0.9475000000000051,11.0,34.0,1993-07-13T00:00:00,ME,BROSNAN,Troy,1197084694808584,AUS,NCh,BROSNAN Troy,False,0,3,BROSNAN T,3,50460000,AUS19930713,2,10007307417,CFT,2162,CANYON FACTORY DOWNHILL TEAM,3,25
