uci,q_speed
10008827283,57.371
10076111537,55.172
10016018118,56.632
10005470073,53.786
10008813442,54.564
10008835569,55.327
10008848505,52.122
10009563271,55.932
10008723112,52.870
10009404738,55.775
10008194359,51.395
10009453642,55.172
10007656314,55.932
10008059064,55.327
10007544358,54.564
10005855649,53.859
10007713403,54.886
10007305090,56.471
10004170576,54.564
10009831033,52.994
10008169505,53.859
10009533464,53.841
10004485929,55.482
10060004382,58.343
10006429969,23.000
10008586504,55.096
10006413094,51.866
10005415715,50.753
10008949848,51.462
10003434386,54.433
10005852518,52.054
10007692787,57.350
10008169101,54.433
10003642635,58.776
10009896105,59.639
10007287613,48.044
10006812616,50.998
10007885676,53.154
10011106884,55.696
10005838875,52.122
10009449501,52.660
10004065900,54.715
10009897014,54.508
10005386110,55.696
10009896812,55.853
10011005743,54.284
10006949022,51.262
10009896711,54.284
10013451961,60.160
10011753451,55.172
10011103147,58.193
10007661566,55.853
10007307417,54.640
10007327221,42.915
10011213584,50.318
10008552249,51.462
10013909477,60.343
10009826989,54.658
10011103753,54.433
10009443942,54.508
10008172636,52.260
10009452935,51.934
10005560003,51.647
10011011201,52.468
10004406107,51.212
10010032612,57.768
10006816454,53.423
10007700972,55.385
10049183933,51.849
10011213382,54.583
10011102844,51.917
10002815812,57.019
10008831529,55.775
10008827384,53.568
10006576176,52.941
10008728667,53.914
10007568913,54.433
10006909111,50.949
10011920674,57.663
10007422100,53.568
10021791840,54.564
10007488582,51.329
10008194965,50.000
10008550734,56.632
10008073010,54.943
10007376630,55.038
10009645016,56.713
10011080717,52.312
10004207053,53.423
10008834256,54.943
10010012202,54.715
10009441417,54.791
10009819313,48.919
10003777425,57.350
10016021249,55.019
10009645925,54.135
10007710571,53.441
10016067628,53.083
10007144840,53.933
10009895802,55.096
10007392895,52.870
10011108096,50.190
10015569894,52.312
10009447073,54.867
10010012404,56.390
10008831630,50.559
10007921547,51.714
10011016756,52.994
10006816959,52.191
10010007249,52.260
10007717847,52.398
10007558203,52.590
10017791905,50.063
10008103322,50.494
10052416962,53.441
10016020744,47.425
10014688814,49.764
10011086070,55.249
10008168996,47.312
10007713706,46.289
10013710730,51.934
10011103248,49.562
10009539326,46.235
10008068461,47.812
10008617119,0.315
10006516663,
10010038167,
10004035685,
10009187092,
10006796549,
10004274549,
10008169808,
10006770681,
10010126679,
10004475825,
10007405932,
10007455745,
10009539831,
10011013928,
10009164258,
10006341255,
10009656534,
10015867059,
10014311625,
10007886585,
