,bib,id,name,q_rank,q_split1,q_split2,q_split3,q_split4,q_split5,q_start,q_start_rev,q_status,uci,q_points
0,1,1001,PIERRON Amaury,1,61.533,135.196,170.755,213.596,247.25,1,145,Finished,10008827283,50.0
1,32,1032,ILES Finn,2,60.176,133.796,170.543,215.391,250.682,30,116,Finished,10076111537,40.0
2,128,1128,FRIXTALON Hugo,3,63.873,139.02,175.673,220.846,255.582,111,35,Finished,10016018118,30.0
3,8,1008,HART Danny,4,61.699,137.952,176.32,221.415,257.581,8,138,Finished,10005470073,25.0
4,7,1007,SHAW Luca,5,62.461,139.053,177.406,221.969,257.846,7,139,Finished,10008813442,22.0
5,64,1064,BARTH Joshua,6,64.304,140.549,177.425,222.539,257.939,56,90,Finished,10008835569,20.0
6,39,1039,ESTAQUE Thomas,7,62.669,140.237,178.399,224.052,258.186,36,110,Finished,10008848505,18.0
7,18,1018,WILSON Reece,8,63.383,138.94,179.129,223.458,258.362,18,128,Finished,10009563271,17.0
8,4,1004,VERGIER Loris,9,63.517,140.207,178.15,223.498,258.84,4,142,Finished,10008723112,16.0
9,5,1005,GREENLAND Laurie,10,64.201,141.328,178.669,224.338,259.234,5,141,Finished,10009404738,15.0
10,49,1049,COULANGES Benoit,11,61.938,138.843,177.777,222.837,259.261,45,101,Finished,10008194359,14.0
11,54,1054,DICKSON Jacob,12,61.683,140.099,178.877,225.058,260.376,50,96,Finished,10009453642,13.0
12,11,1011,FEARON Connor,13,63.262,141.441,179.031,224.997,260.722,11,135,Finished,10007656314,12.0
13,86,1086,ATWILL Philip,14,62.966,140.023,179.043,225.431,260.944,74,72,Finished,10008059064,11.0
14,13,1013,BRUNI Loic,15,64.361,142.375,179.747,226.107,261.609,13,133,Finished,10007544358,10.0
15,14,1014,GUTIERREZ VILLEGAS Marcelo,16,63.657,141.437,179.684,226.333,262.566,14,132,Finished,10005855649,9.0
16,59,1059,TRUMMER David,17,64.51,143.563,182.634,228.283,263.992,52,94,Finished,10007713403,8.0
17,109,1109,RUFFIN Gaetan,18,63.507,140.361,180.951,228.315,264.364,95,51,Finished,10007305090,7.0
18,78,1078,SIMMONDS Matthew,19,63.108,141.06,180.447,228.534,264.532,66,80,Finished,10004170576,6.0
19,116,1116,FITZGERALD Henry,20,69.396,147.168,185.544,230.381,264.75,100,46,Finished,10009831033,5.0
20,88,1088,VON KLEBELSBERG Johannes,21,64.678,143.559,182.795,229.624,265.137,76,70,Finished,10008169505,
21,85,1085,LALY Thibault,22,64.129,143.084,181.73,229.239,265.155,73,73,Finished,10009533464,
22,6,1006,BLENKINSOP Samuel,23,65.102,144.359,183.289,230.509,265.659,6,140,Finished,10004485929,
23,55,1055,DIPASQUALE Charly,24,64.529,147.801,185.384,231.209,265.848,51,95,Finished,10060004382,
24,10,1010,MACDONALD Brook,25,64.139,140.731,178.564,223.557,266.114,10,136,Finished,10006429969,
25,44,1044,PIERRON Baptiste,26,63.552,143.449,183.716,230.424,266.172,41,105,Finished,10008586504,
26,40,1040,KERR Bernard,27,65.237,146.81,184.686,230.894,267.103,37,109,Finished,10006413094,
27,15,1015,THIRION Remi,28,67.898,145.127,183.581,230.887,267.217,15,131,Finished,10005415715,
28,129,1129,MORGAN Max,29,63.602,143.288,181.308,231.84,267.616,112,34,Finished,10008949848,
29,19,1019,ATHERTON Gee,30,64.512,143.874,182.98,231.731,267.639,19,127,Finished,10003434386,
30,24,1024,SMITH Joseph,31,64.314,142.285,181.887,230.736,267.66,24,122,Finished,10005852518,
31,42,1042,GUTIERREZ VILLEGAS Rafael,32,65.477,144.925,184.285,232.224,267.792,39,107,Finished,10007692787,
32,38,1038,GANNICOTT George,33,65.26,145.626,185.318,232.467,268.258,35,111,Finished,10008169101,
33,30,1030,FAIRCLOUGH Brendan,34,62.912,139.274,179.025,233.068,268.328,29,117,Finished,10003642635,
34,147,1147,VON HEYDEN LANGELAAN Carlos,35,66.411,145.148,185.161,233.111,268.507,130,16,Finished,10009896105,
35,20,1020,MULALLY Neko,36,63.095,140.965,182.435,230.963,268.598,20,126,Finished,10007287613,
36,108,1108,GALLAGHER Kenta,37,64.085,144.939,184.905,231.945,268.896,94,52,Finished,10006812616,
37,141,1141,OLORENSHAW Reuben,38,65.915,147.577,186.199,233.188,269.011,123,23,Finished,10007885676,
38,134,1134,COUTTS Darcy,39,65.012,145.241,185.402,232.657,269.276,116,30,Finished,10011106884,
39,45,1045,WALKER Matthew,40,64.261,144.001,184.077,233.437,269.794,42,104,Finished,10005838875,
40,101,1101,COUGOUREUX Benoit,41,63.67,140.621,179.896,233.521,270.144,87,59,Finished,10009449501,
41,76,1076,POTGIETER Johann,42,64.45,144.562,184.899,233.231,270.335,64,82,Finished,10004065900,
42,33,1033,HATTON Charlie,43,65.824,146.869,185.523,234.422,270.514,31,115,Finished,10009897014,
43,21,1021,BRAYTON Adam,44,62.952,141.306,180.686,235.355,270.607,21,125,Finished,10005386110,
44,138,1138,CHATANAY Valentin,45,64.995,142.278,187.354,234.483,270.626,120,26,Finished,10009896812,
45,80,1080,BREEDEN Joe,46,63.512,142.768,181.039,234.805,270.971,68,78,Finished,10011005743,
46,37,1037,DICKERSON Bryn,47,65.796,148.544,187.194,234.3,271.579,34,112,Finished,10006949022,
47,121,1121,MARRY Kevin,48,63.646,145.515,187.684,236.033,271.64,104,42,Finished,10009896711,
48,153,1153,PAROZ Junior,49,64.401,144.326,188.178,235.589,271.814,134,12,Finished,10013451961,
49,139,1139,RHAM Lucas,50,65.701,144.751,186.775,235.635,272.121,121,25,Finished,10011753451,
50,167,1167,BATE Conor,51,64.808,145.373,187.831,236.542,272.404,145,1,Finished,10011103147,
51,144,1144,LOWE Josh,52,64.507,147.279,188.675,236.687,272.803,126,20,Finished,10007661566,
52,3,1003,BROSNAN Troy,53,63.72,144.695,185.993,235.963,273.015,3,143,Finished,10007307417,
53,28,1028,FIGARET Faustin,54,65.231,144.315,188.098,235.653,273.518,27,119,Finished,10007327221,
54,70,1070,HARTENSTERN Max,55,65.241,145.814,187.538,236.699,274.041,60,86,Finished,10011213584,
55,84,1084,KLEE Felix,56,65.837,147.234,188.458,238.029,274.363,72,74,Finished,10008552249,
56,154,1154,SUMMERS Lewis,57,67.061,149.426,191.525,240.014,274.981,135,11,Finished,10013909477,
57,90,1090,VIGE Gaetan,58,65.262,145.124,191.461,237.918,275.182,78,68,Finished,10009826989,
58,146,1146,MICHELLOD Loris,59,66.945,148.014,188.941,238.848,275.283,128,18,Finished,10011103753,
59,53,1053,REVELLI Loris,60,66.655,150.927,191.577,239.574,275.607,49,97,Finished,10009443942,
60,16,1016,WALLACE Mark,61,61.984,144.803,192.331,238.855,275.623,16,130,Finished,10008172636,
61,36,1036,MARIN Alex,62,63.69,149.865,191.362,240.109,276.427,33,113,Finished,10009452935,
62,34,1034,MASTERS Edward,63,62.04,147.64,191.961,240.7,276.706,32,114,Finished,10005560003,
63,99,1099,NESTOROFF Nikolas,64,69.887,151.909,192.75,240.516,276.792,85,61,Finished,10011011201,
64,41,1041,MASTERS Wyn,65,67.298,150.844,192.466,240.557,277.215,38,108,Finished,10004406107,
65,91,1091,ROJCEK Adam,66,66.193,149.024,192.736,241.635,277.43,79,67,Finished,10010032612,
66,97,1097,MOLLOY Harry,67,64.064,152.879,192.314,242.283,278.61,83,63,Finished,10006816454,
67,124,1124,PAYET Romain,68,69.948,153.368,193.811,242.71,278.919,107,39,Finished,10007700972,
