,BirthDate,CategoryCode,FamilyName,GivenName,Id,Nation,Outfit,PrintName,Protected,RaceId,RaceNr,ScoreboardName,StartOrder,StartTime,UciCode,UciRank,UciRiderId,UciTeamCode,UciTeamId,UciTeamName,WorldCupRank,Age
1001,1996-03-04T00:00:00,ME,PIERRON,Amaury,1197084694808582,FRA,WCL,PIERRON Amaury,False,0,1,PIERRON A,1,50400000,FRA19960304,3,10008827283,CVN,1590,COMMENCAL / VALLNORD,1,22
1002,1987-12-24T00:00:00,ME,GWIN,Aaron,1197084694808583,USA,NCh,GWIN Aaron,False,0,2,GWIN A,2,50430000,USA19871224,1,10006516663,YTM,1531,THE YT MOB,2,30
1003,1993-07-13T00:00:00,ME,BROSNAN,Troy,1197084694808584,AUS,NCh,BROSNAN Troy,False,0,3,BROSNAN T,3,50460000,AUS19930713,2,10007307417,CFT,2162,CANYON FACTORY DOWNHILL TEAM,3,25
1004,1996-05-07T00:00:00,ME,VERGIER,Loris,1197084694808585,FRA,,VERGIER Loris,False,0,4,VERGIER L,4,50490000,FRA19960507,7,10008723112,SCB,1307,SANTA CRUZ SYNDICATE,4,22
1005,1997-02-18T00:00:00,ME,GREENLAND,Laurie,1197084694808586,GBR,,GREENLAND Laurie,False,0,5,GREENLAND L,5,50520000,GBR19970218,9,10009404738,MSM,1009,MS MONDRAKER TEAM,5,21
1006,1988-10-28T00:00:00,ME,BLENKINSOP,Samuel,1197084694808587,NZL,CCh,BLENKINSOP Samuel,False,0,6,BLENKINSOP S,6,50550000,NZL19881028,6,10004485929,NFR,2013,NORCO FACTORY RACING,6,29
1007,1996-12-25T00:00:00,ME,SHAW,Luca,1197084694808588,USA,,SHAW Luca,False,0,7,SHAW L,7,50580000,USA19961225,8,10008813442,SCB,1307,SANTA CRUZ SYNDICATE,7,21
1008,1991-09-20T00:00:00,ME,HART,Danny,1197084694808589,GBR,,HART Danny,False,0,8,HART D,8,50610000,GBR19910920,5,10005470073,MST,1680,MADISON SARACEN FACTORY TEAM,8,26
1009,1992-04-30T00:00:00,ME,NORTON,Dakotah,1197084694808590,USA,,NORTON Dakotah,False,0,9,NORTON D,9,50640000,USA19920430,13,10010038167,UDR,1961,UNIOR/DEVINCI FACTORY RACING,9,26
1010,1991-11-25T00:00:00,ME,MACDONALD,Brook,1197084694808591,NZL,,MACDONALD Brook,False,0,10,MACDONALD B,10,50670000,NZL19911125,19,10006429969,MSM,1009,MS MONDRAKER TEAM,10,26
1011,1994-01-19T00:00:00,ME,FEARON,Connor,1197084694808592,AUS,,FEARON Connor,False,0,11,FEARON C,11,50700000,AUS19940119,30,10007656314,KON,1012,KONA FACTORY TEAM,11,24
1012,1995-05-02T00:00:00,ME,LUCAS,Dean,1197084694808593,AUS,,LUCAS Dean,False,0,12,LUCAS D,12,50730000,AUS19950502,11,10008103322,IFR,2029,INTENSE FACTORY RACING,12,23
1013,1994-05-13T00:00:00,ME,BRUNI,Loic,1197084694808594,FRA,WCh,BRUNI Loic,False,0,13,BRUNI L,13,50760000,FRA19940513,4,10007544358,SGR,1667,SPECIALIZED GRAVITY,13,24
1014,1990-05-09T00:00:00,ME,GUTIERREZ VILLEGAS,Marcelo,1197084694808595,COL,NCh,GUTIERREZ VILLEGAS Marcelo,False,0,14,GUTIERREZ VI,14,50790000,COL19900509,16,10005855649,GFT,1329,GIANT FACTORY OFF-ROAD TEAM,14,28
1015,1990-04-23T00:00:00,ME,THIRION,Remi,1197084694808596,FRA,,THIRION Remi,False,0,15,THIRION R,15,50820000,FRA19900423,52,10005415715,CVN,1590,COMMENCAL / VALLNORD,15,28
1016,1995-06-01T00:00:00,ME,WALLACE,Mark,1197084694808597,CAN,,WALLACE Mark,False,0,16,WALLACE M,16,50850000,CAN19950601,15,10008172636,CFT,2162,CANYON FACTORY DOWNHILL TEAM,16,23
1017,1997-10-18T00:00:00,ME,HARRISON,Charlie,1197084694808598,USA,,HARRISON Charlie,False,0,17,HARRISON C,17,50880000,USA19971018,18,10009645925,IFR,2029,INTENSE FACTORY RACING,17,20
1018,1996-06-11T00:00:00,ME,WILSON,Reece,1197084694808599,GBR,,WILSON Reece,False,0,18,WILSON R,18,50910000,GBR19960611,59,10009563271,,0,,18,22
1019,1985-02-26T00:00:00,ME,ATHERTON,Gee,1197084694808600,GBR,,ATHERTON Gee,False,0,19,ATHERTON G,19,50940000,GBR19850226,24,10003434386,TDH,1598,TREK FACTORY RACING DH,19,33
1020,1993-02-19T00:00:00,ME,MULALLY,Neko,1197084694808601,USA,,MULALLY Neko,False,0,20,MULALLY N,20,50970000,USA19930219,64,10007287613,YTM,1531,THE YT MOB,20,25
1021,1988-10-19T00:00:00,ME,BRAYTON,Adam,1197084694808602,GBR,,BRAYTON Adam,False,0,21,BRAYTON A,21,51000000,GBR19881019,20,10005386110,HTH,3167,HOPE TECHNOLOGY,21,29
1022,1995-02-22T00:00:00,ME,JONES,Michael,1197084694808603,GBR,,JONES Michael,False,0,22,JONES M,22,51030000,GBR19950222,45,10008194965,MSM,1009,MS MONDRAKER TEAM,22,23
1023,1999-05-25T00:00:00,ME,WALKER,Matt,1197084694808604,GBR,,WALKER Matt,False,0,23,WALKER M,23,51060000,GBR19990525,28,10011016756,MST,1680,MADISON SARACEN FACTORY TEAM,23,19
1024,1990-07-04T00:00:00,ME,SMITH,Joseph,1197084694808605,GBR,,SMITH Joseph,False,0,24,SMITH J,24,51090000,GBR19900704,46,10005852518,NFR,2013,NORCO FACTORY RACING,24,28
1026,1992-06-08T00:00:00,ME,WILLIAMSON,Greg,1197084694808606,GBR,NCh,WILLIAMSON Greg,False,0,26,WILLIAMSON G,25,51120000,GBR19920608,22,10006909111,UFR,3170,UNNO FACTORY RACING,26,26
1027,1986-11-21T00:00:00,ME,PAYET,Florent,1197084694808607,FRA,,PAYET Florent,False,0,27,PAYET F,26,51150000,FRA19861121,17,10004035685,VVR,2096,VOULVOUL RACING,27,31
1028,1993-11-07T00:00:00,ME,FIGARET,Faustin,1197084694808608,FRA,,FIGARET Faustin,False,0,28,FIGARET F,27,51180000,FRA19931107,57,10007327221,RFD,1170,RADON FACTORY DH RACING,28,24
1029,1996-09-12T00:00:00,ME,VERNON,Taylor,1197084694808609,GBR,,VERNON Taylor,False,0,29,VERNON T,28,51210000,GBR19960912,55,10008728667,UFR,3170,UNNO FACTORY RACING,29,21
1030,1988-01-10T00:00:00,ME,FAIRCLOUGH,Brendan,1197084694808610,GBR,,FAIRCLOUGH Brendan,False,0,30,FAIRCLOUGH B,29,51240000,GBR19880110,74,10003642635,SVS,1448,SCOTT VELOSOLUTIONS,30,30
1032,1999-08-15T00:00:00,ME,ILES,Finn,1197084694808611,CAN,,ILES Finn,False,0,32,ILES F,30,51270000,CAN19990815,42,10076111537,SGR,1667,SPECIALIZED GRAVITY,32,18
1033,1998-02-23T00:00:00,ME,HATTON,Charlie,1197084694808612,GBR,,HATTON Charlie,False,0,33,HATTON C,31,51300000,GBR19980223,40,10009897014,TDH,1598,TREK FACTORY RACING DH,33,20
1034,1989-08-18T00:00:00,ME,MASTERS,Edward,1197084694808613,NZL,NCh,MASTERS Edward,False,0,34,MASTERS E,32,51330000,NZL19890818,36,10005560003,PFR,1864,PIVOT FACTORY RACING,34,28
1036,1997-03-25T00:00:00,ME,MARIN,Alex,1197084694808614,ESP,,MARIN Alex,False,0,36,MARIN A,33,51360000,ESP19970325,39,10009452935,MST,1680,MADISON SARACEN FACTORY TEAM,36,21
