,bib,id,name,rank,split1,split2,split3,split4,split5,start,start_rev,status,uci,r_points
0,1,1001,PIERRON Amaury,1,54.943,117.167,147.615,185.895,216.788,66,1,Finished,10008827283,200.0
1,5,1005,GREENLAND Laurie,2,55.155,116.308,146.631,185.919,217.312,62,5,Finished,10009404738,160.0
2,8,1008,HART Danny,3,54.322,116.386,146.865,185.938,217.448,65,2,Finished,10005470073,140.0
3,7,1007,SHAW Luca,4,56.937,120.157,150.066,188.198,219.036,64,3,Finished,10008813442,125.0
4,39,1039,ESTAQUE Thomas,5,54.382,117.274,148.581,187.674,219.254,45,22,Finished,10008848505,110.0
5,16,1016,WALLACE Mark,6,56.01,119.331,149.494,188.922,220.768,54,13,Finished,10008172636,95.0
6,18,1018,WILSON Reece,7,55.955,119.1,150.224,189.992,220.858,44,23,Finished,10009563271,90.0
7,32,1032,ILES Finn,8,55.787,118.733,149.998,189.66,221.502,48,19,Finished,10076111537,85.0
8,10,1010,MACDONALD Brook,9,56.118,119.319,151.048,190.64,221.916,57,10,Finished,10006429969,80.0
9,3,1003,BROSNAN Troy,10,54.593,118.625,150.077,190.06,222.379,55,12,Finished,10007307417,75.0
10,49,1049,COULANGES Benoit,11,56.051,119.888,151.062,190.401,222.958,43,24,Finished,10008194359,70.0
11,44,1044,PIERRON Baptiste,12,56.481,120.064,150.914,190.729,223.196,33,34,Finished,10008586504,65.0
12,21,1021,BRAYTON Adam,13,55.862,120.418,151.717,192.392,223.199,16,51,Finished,10005386110,60.0
13,6,1006,BLENKINSOP Samuel,14,56.753,120.739,152.382,192.466,223.758,58,9,Finished,10004485929,55.0
14,86,1086,ATWILL Philip,15,56.932,121.558,153.877,193.379,225.358,41,26,Finished,10008059064,50.0
15,14,1014,GUTIERREZ VILLEGAS Marcelo,16,56.463,121.484,153.002,193.473,225.968,59,8,Finished,10005855649,45.0
16,40,1040,KERR Bernard,17,56.959,121.921,153.427,193.774,225.971,32,35,Finished,10006413094,44.0
17,20,1020,MULALLY Neko,18,55.377,119.284,151.474,193.348,226.186,24,43,Finished,10007287613,43.0
18,11,1011,FEARON Connor,19,55.828,121.438,154.027,194.244,226.227,61,6,Finished,10007656314,42.0
19,17,1017,HARRISON Charlie,20,56.522,122.636,153.647,194.637,226.304,53,14,Finished,10009645925,41.0
20,12,1012,LUCAS Dean,21,56.16,120.215,151.98,193.791,226.352,52,15,Finished,10008103322,40.0
21,128,1128,FRIXTALON Hugo,22,56.786,122.373,154.348,194.737,226.587,47,20,Finished,10016018118,39.0
22,28,1028,FIGARET Faustin,23,56.82,121.696,154.007,194.127,227.02,7,60,Finished,10007327221,38.0
23,64,1064,BARTH Joshua,24,57.641,123.068,154.574,194.878,227.095,46,21,Finished,10008835569,37.0
24,116,1116,FITZGERALD Henry,25,57.677,123.873,155.2,195.664,227.193,37,30,Finished,10009831033,36.0
25,19,1019,ATHERTON Gee,26,57.669,122.647,154.157,194.8,227.244,30,37,Finished,10003434386,35.0
26,15,1015,THIRION Remi,27,57.841,122.143,152.977,194.125,227.506,56,11,Finished,10005415715,34.0
27,13,1013,BRUNI Loic,28,54.654,116.87,147.283,193.578,227.729,60,7,Finished,10007544358,33.0
28,24,1024,SMITH Joseph,29,55.734,120.169,153.433,194.479,227.735,29,38,Finished,10005852518,32.0
29,59,1059,TRUMMER David,30,57.889,123.898,155.31,195.657,227.995,40,27,Finished,10007713403,31.0
30,2,1002,GWIN Aaron,31,55.927,121.549,154.282,195.757,228.556,50,17,Finished,10006516663,30.0
31,78,1078,SIMMONDS Matthew,32,56.508,122.912,155.172,197.339,229.849,38,29,Finished,10004170576,29.0
32,85,1085,LALY Thibault,33,57.394,122.567,155.112,197.06,230.086,35,32,Finished,10009533464,28.0
33,53,1053,REVELLI Loris,34,57.307,124.147,156.693,198.168,230.12,1,66,Finished,10009443942,27.0
34,37,1037,DICKERSON Bryn,35,57.385,122.667,155.01,197.309,230.675,13,54,Finished,10006949022,26.0
35,121,1121,MARRY Kevin,36,57.645,123.619,155.844,198.21,231.314,12,55,Finished,10009896711,25.0
36,55,1055,DIPASQUALE Charly,37,57.088,124.406,157.561,199.388,231.476,34,33,Finished,10060004382,24.0
37,88,1088,VON KLEBELSBERG Johannes,38,57.827,124.398,156.971,199.294,232.202,36,31,Finished,10008169505,23.0
38,43,1043,FAYOLLE Alexandre,39,58.84,126.079,158.617,199.705,232.246,51,16,Finished,10008168996,22.0
39,45,1045,WALKER Matthew,40,58.051,124.025,157.473,199.6,232.282,20,47,Finished,10005838875,21.0
40,54,1054,DICKSON Jacob,41,57.49,124.409,157.044,199.199,232.623,42,25,Finished,10009453642,20.0
41,38,1038,GANNICOTT George,42,58.578,125.579,158.695,200.217,232.695,27,40,Finished,10008169101,19.0
42,30,1030,FAIRCLOUGH Brendan,43,58.223,124.911,158.688,200.292,233.083,26,41,Finished,10003642635,18.0
43,138,1138,CHATANAY Valentin,44,59.343,126.625,159.257,201.509,234.047,15,52,Finished,10009896812,17.0
44,4,1004,VERGIER Loris,45,66.825,131.178,161.548,201.242,234.334,63,4,Finished,10008723112,16.0
45,76,1076,POTGIETER Johann,46,59.734,126.552,160.098,201.307,235.231,18,49,Finished,10004065900,15.0
46,70,1070,HARTENSTERN Max,47,58.629,126.025,159.953,202.522,235.958,6,61,Finished,10011213584,14.0
47,80,1080,BREEDEN Joe,48,59.038,126.672,160.202,202.599,236.023,14,53,Finished,10011005743,13.0
48,144,1144,LOWE Josh,49,58.695,127.832,161.859,203.373,236.754,8,59,Finished,10007661566,12.0
49,129,1129,MORGAN Max,50,59.418,127.942,160.89,203.491,237.114,31,36,Finished,10008949848,11.0
50,141,1141,OLORENSHAW Reuben,51,61.234,130.348,163.48,205.607,238.711,22,45,Finished,10007885676,10.0
51,42,1042,GUTIERREZ VILLEGAS Rafael,52,57.44,123.878,160.713,204.473,238.757,28,39,Finished,10007692787,9.0
52,101,1101,COUGOUREUX Benoit,53,59.856,127.493,162.27,205.139,239.224,19,48,Finished,10009449501,8.0
53,147,1147,VON HEYDEN LANGELAAN Carlos,54,60.444,129.195,162.842,206.142,239.675,25,42,Finished,10009896105,7.0
54,134,1134,COUTTS Darcy,55,60.951,129.252,162.556,207.582,243.572,21,46,Finished,10011106884,6.0
55,84,1084,KLEE Felix,56,58.234,125.098,157.824,209.608,243.614,5,62,Finished,10008552249,5.0
56,167,1167,BATE Conor,57,60.913,131.343,166.658,210.274,244.444,9,58,Finished,10011103147,4.0
57,90,1090,VIGE Gaetan,58,56.101,121.477,154.729,204.084,247.414,3,64,Finished,10009826989,3.0
58,146,1146,MICHELLOD Loris,59,61.291,133.874,169.873,215.262,248.69,2,65,Finished,10011103753,2.0
59,33,1033,HATTON Charlie,60,58.365,124.682,157.068,215.773,249.826,17,50,Finished,10009897014,1.0
60,154,1154,SUMMERS Lewis,61,63.167,135.933,172.874,217.415,251.226,4,63,Finished,10013909477,
61,108,1108,GALLAGHER Kenta,62,69.466,141.26,177.7,222.581,258.064,23,44,Finished,10006812616,
62,139,1139,RHAM Lucas,63,,,,,,10,57,DNF,10011753451,
63,153,1153,PAROZ Junior,64,,,,,,11,56,DSQ,10013451961,
64,9,1009,NORTON Dakotah,65,,,,,,49,18,DNS,10010038167,
65,109,1109,RUFFIN Gaetan,66,,,,,,39,28,DNS,10007305090,
