uci,speed
10008827283,64.759
10009404738,66.807
10005470073,63.259
10008813442,62.485
10008848505,60.343
10008172636,61.443
10009563271,68.129
10076111537,64.574
10006429969,64.260
10007307417,64.865
10008194359,62.313
10008586504,66.695
10005386110,68.276
10004485929,65.428
10008059064,62.362
10005855649,62.957
10006413094,60.970
10007287613,58.429
10007656314,65.105
10009645925,63.259
10008103322,60.900
10016018118,65.726
10007327221,60.527
10008835569,64.971
10009831033,63.259
10003434386,63.259
10005415715,55.249
10007544358,61.064
10005852518,63.057
10007713403,62.683
10006516663,59.281
10004170576,62.093
10009533464,63.158
10009443942,64.785
10006949022,63.360
10009896711,63.158
10060004382,67.261
10008169505,63.462
10008168996,63.158
10005838875,61.730
10009453642,60.713
10008169101,62.982
10003642635,62.982
10009896812,64.679
10008723112,67.147
10004065900,62.362
10011213584,60.783
10011005743,63.845
10007661566,59.819
10008949848,61.538
10007885676,62.982
10007692787,56.091
10009449501,61.253
10009896105,62.857
10011106884,64.785
10008552249,61.899
10011103147,63.462
10009826989,0.686
10011103753,65.105
10009897014,59.459
10013909477,62.882
10006812616,59.729
10011753451,
10013451961,
10010038167,
10007305090,
