,BirthDate,CategoryCode,FamilyName,GivenName,Id,Nation,Outfit,PrintName,RaceId,RaceNr,ScoreboardName,StartOrder,StartTime,UciCode,UciRank,UciRiderId,UciTeamCode,UciTeamId,UciTeamName,WorldCupRank,Age
2001,1990-02-08T00:00:00,WE,NICOLE,Myriam,102001,FRA,NCh,NICOLE Myriam,0,1,NICOLE M,14,46710000,FRA19900208,1,10004535237,CVN,1590,COMMENCAL / VALLNORD,1,28
2002,1995-06-15T00:00:00,WE,SEAGRAVE,Tahnee,102002,GBR,,SEAGRAVE Tahnee,0,2,SEAGRAVE T,12,46290000,GBR19950615,3,10007414016,FMD,1863,TRANSITION BIKES / MUC-OFF FACTORY RACING,2,22
2003,1988-06-13T00:00:00,WE,HANNAH,Tracey,102003,AUS,NCh,HANNAH Tracey,0,3,HANNAH T,15,46920000,AUS19880613,2,10003732258,URT,1608,POLYGON UR,3,29
2004,1987-12-06T00:00:00,WE,ATHERTON,Rachel,102004,GBR,NCh,ATHERTON Rachel,0,4,ATHERTON R,16,47130000,GBR19871206,7,10003434487,TDH,1598,TREK FACTORY RACING DH,4,30
2005,1986-09-19T00:00:00,WE,SIEGENTHALER,Emilie,102005,SUI,,SIEGENTHALER Emilie,0,5,SIEGENTHALER,11,46080000,SUI19860919,6,10004167243,PFR,1864,PIVOT FACTORY RACING,5,31
2008,1997-03-12T00:00:00,WE,CABIROU,Marine,102008,FRA,,CABIROU Marine,0,8,CABIROU M,13,46500000,FRA19970312,5,10009563069,VVR,2096,VOULVOUL RACING,8,21
2009,1990-03-02T00:00:00,WE,MILLER,Miranda,102009,CAN,WCh,MILLER Miranda,0,9,MILLER M,9,45840000,CAN19900302,9,10005872726,SGR,1667,SPECIALIZED GRAVITY,9,28
2010,1991-11-06T00:00:00,WE,CAPPELLARI,Carina,102010,SUI,NCh,CAPPELLARI Carina,0,10,CAPPELLARI C,10,45960000,SUI19911106,11,10006911535,MNR,2039,HIAG DATA - NS-BIKES FACTORY RACING,10,26
2013,1994-05-06T00:00:00,WE,SALAZAR,Mariana,102013,ESA,,SALAZAR Mariana,0,13,SALAZAR M,5,45240000,ESA19940506,26,10007687838,DOR,1867,DORVAL AM,13,24
2014,1994-06-07T00:00:00,WE,HRASTNIK,Monika,102014,SLO,CCh,HRASTNIK Monika,0,14,HRASTNIK M,7,45600000,SLO19940607,8,10017602955,,0,,14,23
2017,1993-03-08T00:00:00,WE,WIDMANN,Veronika,102017,ITA,,WIDMANN Veronika,0,17,WIDMANN V,3,45120000,ITA19930308,17,10007423312,FSF,2238,FS FUNN,0,25
2018,1988-02-10T00:00:00,WE,RUBESAM,Sandra,102018,GER,,RUBESAM Sandra,0,18,RUBESAM S,4,45180000,GER19880210,18,10052523258,,0,,0,30
2025,1998-12-05T00:00:00,WE,BATTOLLA,Eva,102025,SUI,,BATTOLLA Eva,0,25,BATTOLLA E,1,45000000,SUI19981205,69,10010936631,,0,,0,19
2026,1993-08-01T00:00:00,WE,SCHWEMMER,Kim,102026,GER,,SCHWEMMER Kim,0,26,SCHWEMMER K,2,45060000,GER19930801,72,10007401686,,0,,0,24
2028,1981-01-06T00:00:00,WE,RAVANEL,Cecile,102028,FRA,,RAVANEL Cecile,0,28,RAVANEL C,8,45720000,FRA19810106,166,10002816317,,0,,0,37
2030,1989-04-27T00:00:00,WE,CURD,Katy,102030,GBR,,CURD Katy,0,30,CURD K,6,45300000,GBR19890427,209,10006044292,,0,,0,29
