,BirthDate,CategoryCode,FamilyName,GivenName,Id,Nation,Outfit,PrintName,RaceId,RaceNr,ScoreboardName,StartOrder,StartTime,UciCode,UciRank,UciRiderId,UciTeamCode,UciTeamId,UciTeamName,WorldCupRank,Age
1001,1987-12-24T00:00:00,ME,GWIN,Aaron,101001,USA,NCh,GWIN Aaron,0,1,GWIN A,63,55620000,USA19871224,1,10006516663,YTM,1531,THE YT MOB,1,30
1002,1993-07-13T00:00:00,ME,BROSNAN,Troy,101002,AUS,NCh,BROSNAN Troy,0,2,BROSNAN T,62,55410000,AUS19930713,2,10007307417,CFT,2162,CANYON FACTORY DOWNHILL TEAM,2,24
1003,1981-11-13T00:00:00,ME,MINNAAR,Greg,101003,RSA,,MINNAAR Greg,0,3,MINNAAR G,55,53940000,RSA19811113,5,10002818640,SCB,1307,SANTA CRUZ SYNDICATE,3,36
1004,1994-05-13T00:00:00,ME,BRUNI,Loic,101004,FRA,WCh,BRUNI Loic,0,4,BRUNI L,47,52320000,FRA19940513,3,10007544358,SGR,1667,SPECIALIZED GRAVITY,4,24
1005,1996-05-07T00:00:00,ME,VERGIER,Loris,101005,FRA,,VERGIER Loris,0,5,VERGIER L,49,52680000,FRA19960507,7,10008723112,SCB,1307,SANTA CRUZ SYNDICATE,5,22
1006,1991-09-20T00:00:00,ME,HART,Danny,101006,GBR,,HART Danny,0,6,HART D,54,53580000,GBR19910920,6,10005470073,MST,1680,MADISON SARACEN FACTORY TEAM,6,26
1007,1994-02-08T00:00:00,ME,MOIR,Jack,101007,AUS,,MOIR Jack,0,7,MOIR J,57,54360000,AUS19940208,4,10008176575,IFR,2029,INTENSE FACTORY RACING,7,24
1008,1995-06-01T00:00:00,ME,WALLACE,Mark,101008,CAN,,WALLACE Mark,0,8,WALLACE M,51,53040000,CAN19950601,11,10008172636,CFT,2162,CANYON FACTORY DOWNHILL TEAM,8,22
1009,1997-02-18T00:00:00,ME,GREENLAND,Laurie,101009,GBR,,GREENLAND Laurie,0,9,GREENLAND L,58,54570000,GBR19970218,13,10009404738,MSM,1009,MS MONDRAKER TEAM,9,21
1011,1996-03-04T00:00:00,ME,PIERRON,Amaury,101011,FRA,,PIERRON Amaury,0,11,PIERRON A,59,54780000,FRA19960304,9,10008827283,CVN,1590,COMMENCAL / VALLNORD,11,22
1012,1990-05-09T00:00:00,ME,GUTIERREZ VILLEGAS,Marcelo,101012,COL,NCh,GUTIERREZ VILLEGAS Marcelo,0,12,GUTIERREZ VI,52,53220000,COL19900509,12,10005855649,GFT,1329,GIANT FACTORY OFF-ROAD TEAM,12,28
1013,1996-12-25T00:00:00,ME,SHAW,Luca,101013,USA,,SHAW Luca,0,13,SHAW L,60,54990000,USA19961225,17,10008813442,SCB,1307,SANTA CRUZ SYNDICATE,13,21
1014,1995-10-11T00:00:00,ME,ZABJEK,Jure,101014,SLO,NCh,ZABJEK Jure,0,14,ZABJEK J,50,52860000,SLO19951011,8,10008164855,UDR,1961,UNIOR/DEVINCI FACTORY RACING,14,22
1015,1993-08-08T00:00:00,ME,PIERRON,Baptiste,101015,FRA,,PIERRON Baptiste,0,15,PIERRON B,48,52500000,FRA19930808,18,10008586504,VVR,2096,VOULVOUL RACING,15,24
1016,1995-05-02T00:00:00,ME,LUCAS,Dean,101016,AUS,,LUCAS Dean,0,16,LUCAS D,64,55830000,AUS19950502,21,10008103322,IFR,2029,INTENSE FACTORY RACING,16,23
1018,1988-10-19T00:00:00,ME,BRAYTON,Adam,101018,GBR,,BRAYTON Adam,0,18,BRAYTON A,53,53400000,GBR19881019,25,10005386110,HTH,3167,HOPE TECHNOLOGY,18,29
1019,1988-10-28T00:00:00,ME,BLENKINSOP,Samuel,101019,NZL,CCh,BLENKINSOP Samuel,0,19,BLENKINSOP S,61,55200000,NZL19881028,10,10004485929,NFR,2013,NORCO FACTORY RACING,19,29
1020,1997-10-18T00:00:00,ME,HARRISON,Charlie,101020,USA,,HARRISON Charlie,0,20,HARRISON C,56,54150000,USA19971018,27,10009645925,IFR,2029,INTENSE FACTORY RACING,20,20
1022,1994-01-19T00:00:00,ME,FEARON,Connor,101022,AUS,,FEARON Connor,0,22,FEARON C,38,50820000,AUS19940119,30,10007656314,KON,1012,KONA FACTORY TEAM,22,24
1024,1991-11-25T00:00:00,ME,MACDONALD,Brook,101024,NZL,,MACDONALD Brook,0,24,MACDONALD B,46,52140000,NZL19911125,32,10006429969,MSM,1009,MS MONDRAKER TEAM,24,26
1026,1998-02-23T00:00:00,ME,HATTON,Charlie,101026,GBR,,HATTON Charlie,0,26,HATTON C,27,50160000,GBR19980223,33,10009897014,TDH,1598,TREK FACTORY RACING DH,26,20
1029,1992-06-08T00:00:00,ME,WILLIAMSON,Greg,101029,GBR,NCh,WILLIAMSON Greg,0,29,WILLIAMSON G,34,50580000,GBR19920608,22,10006909111,UFR,3170,UNNO FACTORY RACING,29,25
1030,1996-09-12T00:00:00,ME,VERNON,Taylor,101030,GBR,,VERNON Taylor,0,30,VERNON T,9,49080000,GBR19960912,62,10008728667,UFR,3170,UNNO FACTORY RACING,30,21
1031,1994-12-20T00:00:00,ME,COULANGES,Benoit,101031,FRA,,COULANGES Benoit,0,31,COULANGES B,41,51420000,FRA19941220,23,10008194359,DOR,1867,DORVAL AM,31,23
1032,1986-11-21T00:00:00,ME,PAYET,Florent,101032,FRA,,PAYET Florent,0,32,PAYET F,40,51300000,FRA19861121,14,10004035685,VVR,2096,VOULVOUL RACING,32,31
1034,1992-04-30T00:00:00,ME,NORTON,Dakotah,101034,USA,,NORTON Dakotah,0,34,NORTON D,43,51660000,USA19920430,34,10010038167,UDR,1961,UNIOR/DEVINCI FACTORY RACING,34,26
1035,1988-01-10T00:00:00,ME,FAIRCLOUGH,Brendan,101035,GBR,,FAIRCLOUGH Brendan,0,35,FAIRCLOUGH B,29,50280000,GBR19880110,51,10003642635,SVS,1448,SCOTT VELOSOLUTIONS,35,30
1037,1993-11-07T00:00:00,ME,FIGARET,Faustin,101037,FRA,,FIGARET Faustin,0,37,FIGARET F,33,50520000,FRA19931107,58,10007327221,RFD,1170,RADON FACTORY DH RACING,37,24
1038,1997-09-20T00:00:00,ME,REVELLI,Loris,101038,ITA,,REVELLI Loris,0,38,REVELLI L,21,49800000,ITA19970920,36,10009443942,ABD,2027,AB DEVINCI ITALY,38,20
1040,1989-08-18T00:00:00,ME,MASTERS,Edward,101040,NZL,NCh,MASTERS Edward,0,40,MASTERS E,45,51960000,NZL19890818,50,10005560003,PFR,1864,PIVOT FACTORY RACING,40,28
1041,1990-07-04T00:00:00,ME,SMITH,Joseph,101041,GBR,,SMITH Joseph,0,41,SMITH J,44,51780000,GBR19900704,64,10005852518,NFR,2013,NORCO FACTORY RACING,41,27
1043,1985-02-26T00:00:00,ME,ATHERTON,Gee,101043,GBR,,ATHERTON Gee,0,43,ATHERTON G,39,50880000,GBR19850226,53,10003434386,TDH,1598,TREK FACTORY RACING DH,43,33
1045,1993-02-19T00:00:00,ME,MULALLY,Neko,101045,USA,,MULALLY Neko,0,45,MULALLY N,30,50340000,USA19930219,54,10007287613,YTM,1531,THE YT MOB,45,25
1051,1994-06-01T00:00:00,ME,TRUMMER,David,101051,AUT,,TRUMMER David,0,51,TRUMMER D,31,50400000,AUT19940601,45,10007713403,PDS,1527,PROPAIN DIRT SIXPACK,51,23
1056,1995-08-21T00:00:00,ME,NIEDERBERGER,Noel,101056,SUI,,NIEDERBERGER Noel,0,56,NIEDERBERGER,22,49860000,SUI19950821,40,10007568913,MNR,2039,HIAG DATA - NS-BIKES FACTORY RACING,56,22
1058,1990-04-23T00:00:00,ME,THIRION,Remi,101058,FRA,,THIRION Remi,0,58,THIRION R,42,51540000,FRA19900423,79,10005415715,CVN,1590,COMMENCAL / VALLNORD,58,28
1061,1994-08-31T00:00:00,ME,GUTIERREZ VILLEGAS,Rafael,101061,COL,CCh,GUTIERREZ VILLEGAS Rafael,0,61,GUTIERREZ VI,13,49320000,COL19940831,24,10007692787,IJS,2163,IJ RACING-SICK COMPONENTS,0,23
1062,1999-08-15T00:00:00,ME,ILES,Finnley,101062,CAN,,ILES Finnley,0,62,ILES F,36,50700000,CAN19990815,37,10076111537,SGR,1667,SPECIALIZED GRAVITY,0,18
1067,1987-04-18T00:00:00,ME,MASTERS,Wyn,101067,NZL,,MASTERS Wyn,0,67,MASTERS W,5,48840000,NZL19870418,55,10004406107,GTR,2103,GT FACTORY RACING,0,31
1068,1999-04-19T00:00:00,ME,COUGOUREUX,Sylvain,101068,FRA,,COUGOUREUX Sylvain,0,68,COUGOUREUX S,2,48660000,FRA19990419,56,10011080717,LGI,1949,LES GETS INTENSE TEAM,0,19
1070,1995-12-09T00:00:00,ME,COLOMBO,Francesco,101070,ITA,NCh,COLOMBO Francesco,0,70,COLOMBO F,14,49380000,ITA19951209,63,10008073010,ABD,2027,AB DEVINCI ITALY,0,22
1072,1992-12-04T00:00:00,ME,WEBER,Lutz,101072,SUI,NCh,WEBER Lutz,0,72,WEBER L,15,49440000,SUI19921204,67,10006816959,MNR,2039,HIAG DATA - NS-BIKES FACTORY RACING,0,25
1073,1990-03-24T00:00:00,ME,WALKER,Matthew,101073,NZL,,WALKER Matthew,0,73,WALKER M,8,49020000,NZL19900324,70,10005838875,CBG,2099,CUBE GLOBAL SQUAD PROTECTED BY BLISS,0,28
1077,1991-07-21T00:00:00,ME,JAUCH,Jasper,101077,GER,,JAUCH Jasper,0,77,JAUCH J,12,49260000,GER19910721,83,10007455745,,0,,0,26
1078,1988-12-22T00:00:00,ME,CARBALLO GONZALEZ,Edgar,101078,ESP,,CARBALLO GONZALEZ Edgar,0,78,CARBALLO GON,20,49740000,ESP19881222,85,10004684878,,0,,0,29
1079,1998-03-19T00:00:00,ME,MANSON,Magnus,101079,CAN,,MANSON Magnus,0,79,MANSON M,23,49920000,CAN19980319,91,10009819313,,0,,0,20
1083,1984-10-30T00:00:00,ME,RUFFIN,Thibaut,101083,FRA,,RUFFIN Thibaut,0,83,RUFFIN T,25,50040000,FRA19841030,101,10003396293,CVN,1590,COMMENCAL / VALLNORD,0,33
1084,1982-11-04T00:00:00,ME,VAUH,Miran,101084,SLO,,VAUH Miran,0,84,VAUH M,10,49140000,SLO19821104,106,10004274549,,0,,0,35
1086,1997-05-20T00:00:00,ME,LALY,Thibault,101086,FRA,,LALY Thibault,0,86,LALY T,17,49560000,FRA19970520,109,10009533464,,0,,0,21
1088,1991-10-15T00:00:00,ME,DICKERSON,Bryn,101088,NZL,,DICKERSON Bryn,0,88,DICKERSON B,32,50460000,NZL19911015,113,10006949022,FSF,2238,FS FUNN,0,26
1091,1998-06-26T00:00:00,ME,FREW,Jackson,101091,AUS,,FREW Jackson,0,91,FREW J,26,50100000,AUS19980626,117,10009895802,,0,,0,19
1093,1993-01-22T00:00:00,ME,NEWELL,Jake,101093,AUS,,NEWELL Jake,0,93,NEWELL J,3,48720000,AUS19930122,123,10007488582,,0,,0,25
1094,1995-03-11T00:00:00,ME,GANNICOTT,George,101094,GBR,,GANNICOTT George,0,94,GANNICOTT G,7,48960000,GBR19950311,124,10008169101,OVR,2043,ONE VISION GLOBAL RACING,0,23
1096,1999-07-10T00:00:00,ME,SEAGRAVE,Kaos,101096,GBR,,SEAGRAVE Kaos,0,96,SEAGRAVE K,18,49620000,GBR19990710,128,10011013928,FMD,1863,TRANSITION BIKES / MUC-OFF FACTORY RACING,0,18
1097,1996-03-23T00:00:00,ME,KOLB,Andreas,101097,AUT,,KOLB Andreas,0,97,KOLB A,37,50760000,AUT19960323,130,10009187092,,0,,0,22
1100,1995-06-28T00:00:00,ME,VON KLEBELSBERG,Johannes,101100,ITA,N,VON KLEBELSBERG Johannes,0,100,VON KLEBELSB,24,49980000,ITA19950628,141,10008169505,MSM,1009,MS MONDRAKER TEAM,0,22
1107,1998-10-31T00:00:00,ME,VIEIRA,Douglas,101107,BRA,,VIEIRA Douglas,0,107,VIEIRA D,11,49200000,BRA19981031,192,10010126679,,0,,0,19
1110,1990-07-04T00:00:00,ME,DIPASQUALE,Charly,101110,FRA,,DIPASQUALE Charly,0,110,DIPASQUALE C,19,49680000,FRA19900704,216,10060004382,,0,,0,27
1111,1996-06-29T00:00:00,ME,COCKBURN,Luke,101111,GBR,,COCKBURN Luke,0,111,COCKBURN L,16,49500000,GBR19960629,220,10015618293,,0,,0,21
1116,1995-12-08T00:00:00,ME,SUAREZ ALONSO,Angel,101116,ESP,,SUAREZ ALONSO Angel,0,116,SUAREZ ALONS,35,50640000,ESP19951208,267,10008831529,YTM,1531,THE YT MOB,0,22
1119,1999-02-02T00:00:00,ME,VESTAVIK,Brage Evensen,101119,NOR,,VESTAVIK Brage Evensen,0,119,VESTAVIK B,1,48600000,NOR19990202,303,10049183933,MSM,1009,MS MONDRAKER TEAM,0,19
1121,1998-08-13T00:00:00,ME,FITZGERALD,Henry,101121,CAN,,FITZGERALD Henry,0,121,FITZGERALD H,6,48900000,CAN19980813,338,10009831033,NFR,2013,NORCO FACTORY RACING,0,19
1122,1998-05-17T00:00:00,ME,MARRY,Kevin,101122,FRA,N,MARRY Kevin,0,122,MARRY K,28,50220000,FRA19980517,340,10009896711,VVR,2096,VOULVOUL RACING,0,20
1151,1997-01-24T00:00:00,ME,CIRIEGO,Maxime,101151,FRA,,CIRIEGO Maxime,0,151,CIRIEGO M,4,48780000,FRA19970124,191,10009447073,DOR,1867,DORVAL AM,0,21
