,bib,id,name,rank,speed,split1,split2,split3,split4,split5,start,start_rev,status,uci,split1_rank,split1_vs_best,split1_vs_winner,split2_rank,split2_vs_best,split2_vs_winner,split2_sector,split2_sector_rank,split2_sector_vs_best,split2_sector_vs_winner,split3_rank,split3_vs_best,split3_vs_winner,split3_sector,split3_sector_rank,split3_sector_vs_best,split3_sector_vs_winner,split4_rank,split4_vs_best,split4_vs_winner,split4_sector,split4_sector_rank,split4_sector_vs_best,split4_sector_vs_winner,split5_rank,split5_vs_best,split5_vs_winner,split5_sector,split5_sector_rank,split5_sector_vs_best,split5_sector_vs_winner,speed_ms,speed_ms_vs_best,speed_rank
0,1,1001,GWIN Aaron,1,47.21,20.81,52.86,80.785,116.514,139.193,63,2,Finished,10006516663,6.0,0.19699999999999918,0.0,1.0,0.0,0.0,32.05,1.0,0.0,0.0,1.0,0.0,0.0,27.924999999999997,5.0,0.1739999999999995,0.0,1.0,0.0,0.0,35.729,3.0,0.42200000000001125,0.0,1.0,0.0,0.0,22.679000000000016,11.0,0.7819999999999965,0.0,13.113888888888889,0.6638888888888896,19.0
1,13,1013,SHAW Luca,2,49.6,20.613,54.162,82.787,118.094,139.991,60,5,Finished,10008813442,1.0,0.0,-0.19699999999999918,3.0,1.3019999999999996,1.3019999999999996,33.549,6.0,1.4990000000000023,1.4990000000000023,6.0,2.0020000000000095,2.0020000000000095,28.625000000000007,11.0,0.8740000000000094,0.70000000000001,3.0,1.5799999999999983,1.5799999999999983,35.30699999999999,1.0,0.0,-0.42200000000001125,2.0,0.7980000000000018,0.7980000000000018,21.89700000000002,1.0,0.0,-0.7819999999999965,13.777777777777779,0.0,1.0
2,16,1016,LUCAS Dean,3,48.0,20.68,53.964,81.87,117.83,140.328,64,1,Finished,10008103322,2.0,0.06700000000000017,-0.129999999999999,2.0,1.1039999999999992,1.1039999999999992,33.284,3.0,1.2340000000000018,1.2340000000000018,2.0,1.085000000000008,1.085000000000008,27.906000000000006,4.0,0.15500000000000824,-0.018999999999991246,2.0,1.3160000000000025,1.3160000000000025,35.959999999999994,6.0,0.6530000000000058,0.23099999999999454,3.0,1.134999999999991,1.134999999999991,22.498000000000005,8.0,0.6009999999999849,-0.1810000000000116,13.333333333333334,0.44444444444444464,9.0
3,19,1019,BLENKINSOP Samuel,4,49.55,21.224,54.699,82.891,118.749,141.107,61,4,Finished,10004485929,16.0,0.6110000000000007,0.4140000000000015,6.0,1.8389999999999986,1.8389999999999986,33.474999999999994,5.0,1.4249999999999972,1.4249999999999972,7.0,2.1060000000000088,2.1060000000000088,28.192000000000007,7.0,0.4410000000000096,0.2670000000000101,4.0,2.2349999999999994,2.2349999999999994,35.85799999999999,4.0,0.5510000000000019,0.12899999999999068,4.0,1.9139999999999873,1.9139999999999873,22.358000000000004,5.0,0.4609999999999843,-0.32100000000001216,13.76388888888889,0.013888888888889284,2.0
4,34,1034,NORTON Dakotah,5,47.5,20.904,54.898,83.172,119.061,141.821,43,22,Finished,10010038167,9.0,0.29100000000000037,0.0940000000000012,9.0,2.038000000000004,2.038000000000004,33.994,12.0,1.9440000000000026,1.9440000000000026,9.0,2.3870000000000005,2.3870000000000005,28.273999999999994,8.0,0.5229999999999961,0.34899999999999665,5.0,2.5470000000000113,2.5470000000000113,35.88900000000001,5.0,0.582000000000022,0.1600000000000108,5.0,2.627999999999986,2.627999999999986,22.75999999999999,14.0,0.8629999999999711,0.08099999999997465,13.194444444444445,0.5833333333333339,15.0
5,7,1007,MOIR Jack,6,46.57,21.293,54.912,82.986,119.34,142.081,57,8,Finished,10008176575,18.0,0.6799999999999997,0.48300000000000054,10.0,2.0519999999999996,2.0519999999999996,33.619,7.0,1.5690000000000026,1.5690000000000026,8.0,2.2010000000000076,2.2010000000000076,28.074000000000005,6.0,0.3230000000000075,0.14900000000000801,6.0,2.8260000000000076,2.8260000000000076,36.354,10.0,1.0470000000000113,0.625,6.0,2.887999999999977,2.887999999999977,22.740999999999985,13.0,0.8439999999999657,0.06199999999996919,12.936111111111112,0.8416666666666668,30.0
6,9,1009,GREENLAND Laurie,7,46.93,21.152,54.779,83.42,119.614,142.191,58,7,Finished,10009404738,14.0,0.5390000000000015,0.3420000000000023,8.0,1.919000000000004,1.919000000000004,33.627,8.0,1.5770000000000053,1.5770000000000053,10.0,2.635000000000005,2.635000000000005,28.641,12.0,0.8900000000000006,0.7160000000000011,8.0,3.1000000000000085,3.1000000000000085,36.194,8.0,0.8870000000000147,0.4650000000000034,7.0,2.9979999999999905,2.9979999999999905,22.576999999999998,10.0,0.6799999999999784,-0.10200000000001808,13.036111111111111,0.7416666666666671,23.0
7,5,1005,VERGIER Loris,8,36.25,21.076,56.543,84.294,119.956,142.271,49,16,Finished,10008723112,11.0,0.46300000000000097,0.2660000000000018,30.0,3.683,3.683,35.467,40.0,3.4170000000000016,3.4170000000000016,14.0,3.5090000000000003,3.5090000000000003,27.750999999999998,1.0,0.0,-0.1739999999999995,10.0,3.4420000000000073,3.4420000000000073,35.662000000000006,2.0,0.3550000000000182,-0.06699999999999307,8.0,3.0779999999999745,3.0779999999999745,22.314999999999984,2.0,0.41799999999996373,-0.36400000000003274,10.069444444444445,3.708333333333334,53.0
8,2,1002,BROSNAN Troy,9,48.58,21.022,55.352,83.637,120.046,142.404,62,3,Finished,10007307417,10.0,0.4089999999999989,0.21199999999999974,14.0,2.4919999999999973,2.4919999999999973,34.33,18.0,2.280000000000001,2.280000000000001,11.0,2.852000000000004,2.852000000000004,28.285000000000004,9.0,0.534000000000006,0.36000000000000654,11.0,3.5320000000000107,3.5320000000000107,36.409000000000006,12.0,1.102000000000018,0.6800000000000068,9.0,3.2109999999999843,3.2109999999999843,22.35799999999999,4.0,0.4609999999999701,-0.3210000000000264,13.494444444444445,0.2833333333333332,3.0
9,6,1006,HART Danny,10,46.71,20.704,54.741,82.511,119.447,142.965,54,11,Finished,10005470073,3.0,0.09100000000000108,-0.1059999999999981,7.0,1.8810000000000002,1.8810000000000002,34.037,13.0,1.9870000000000019,1.9870000000000019,4.0,1.725999999999999,1.725999999999999,27.769999999999996,2.0,0.01899999999999835,-0.15500000000000114,7.0,2.933000000000007,2.933000000000007,36.93600000000001,17.0,1.629000000000019,1.2070000000000078,10.0,3.7719999999999914,3.7719999999999914,23.518,32.0,1.620999999999981,0.8389999999999844,12.975000000000001,0.8027777777777771,27.0
