mf,name,cost
female,Rachel Atherton,675000
male,Aaron Gwin,625000
female,Myriam Nicole,625000
female,Tahnee Seagrave,600000
female,Tracey Hannah,600000
male,Troy Brosnan,550000
male,Greg Minnaar,525000
female,Cecile Ravanel,500000
male,Loic Bruni,475000
female,Emilie Siegenthaler,425000
male,Loris Vergier,400000
male,Danny Hart,375000
male,Jack Moir,350000
male,Mark Wallace,325000
male,Laurie Greenland,325000
female,Eleonora Farina,320000
male,Gee Atherton,275000
female,Marine Cabirou,275000
male,Amaury Pierron,250000
male,Marcelo Gutierrez Villegas,250000
male,Luca Shaw,250000
female,Miranda Miller,250000
female,Morgane Charre,250000
male,Remi Thirion,250000
male,Florent Payet,225000
male,Michael Hannah,225000
male,Jure Jabjek,210000
male,Baptiste Pierron,200000
male,Dean Lucas,200000
male,Rudy Cabirou,200000
male,Adam Brayton,200000
male,Connor Fearon,200000
male,Brook Macdonald,200000
male,George Brannigan,200000
male,Bernard Kerr,200000
male,Finn Iles,200000
male,Matt Walker,200000
male,Martin Maes,200000
male,Philip Atwill,190000
male,Jacob Dickson,180000
male,Charlie Hatton,180000
male,Rupert Chapman,180000
male,Samuel Blenkinsop,175000
male,Charlie Harrison,175000
male,Greg Williamson,175000
male,Taylor Vernon,175000
female,Carina Cappellari,160000
female,Mariana Salazar,160000
male,Benoit Coulanges,155000
male,Alexandre Fayolle,150000
male,Dakotah Norton,150000
male,Brendan Fairclough,150000
male,Jack Reading,150000
male,Faustin Figaret,150000
female,Monika Hrastnik,150000
male,Thomas Estaque,150000
male,Joseph Smith,140000
female,Vaea Verbeeck,140000
male,Loris Revelli,135000
male,Alex Marin,135000
male,Eliot Jackson,135000
male,Gaetan Vige,135000
male,Neko Mulally,135000
male,Isak Leivsson,125000
male,Slawomir Lukasik,125000
female,Alia Marcellini,125000
male,Edward Masters,120000
male,David Trummer,100000
female,Veronika Widmann,100000
female,Frida Ronning,100000
male,Reece Wilson,100000
male,Michael Jones,100000
male,Stefan Garlicki,90000
male,Forrest Riesco,90000
male,Noel Niederberger,90000
female,Sandra Rubesam,75000
male,Graeme Mudd,75000
male,Benoit Cougoureux,70000
male,Johannes Fischbach,70000
male,Francesco Colombo,65000
male,Shane Leslie,65000
male,Thibault Laly,60000
male,Jackson Frew,60000
male,Dylan Levesque,60000
male,Kiran Mackinnon,60000
female,Tegan Molloy,50000
male,Thibaut Ruffin,50000
male,Kenta Gallagher,50000
male,Sylvain Cougoureux,50000
male,Joshua Button,40000
male,Jake Newell,40000
male,Kirk McDowall,40000
male,Lachlan Blair,40000
male,Vasco Bica,40000
male,Magnus Manson,35000
male,Bruce Klein,30000
male,Fraser McGlone,30000
male,Roger Vieira,30000
male,Janis Lehmann,30000
male,Bryn Dickerson,30000
male,Gustavo Ortiz Vasquez,30000
female,Eva Battolla,25000
male,Wyn Masters,25000
male,Jerome Caroli,25000
male,Matthew Walker,25000
male,Gaetan Ruffin,25000
male,Melvin Pons,25000
male,Francisco Pardal,25000
male,Jordan Prochyra,20000
male,Joe Breeden,15000
female,Lea Salome Rutz,10000
female,Camila Nogueira,10000
male,Jasper Jauch,10000
male,Stanislav Sehnal,10000
male,Remy Morton,10000
male,Keegan Wright,10000
male,Ziga Pandur,5000
male,Oscar Harnstrom,5000
male,Maxime Ciriego,5000
male,Marco Milivinti,5000
male,Silas Grandy,5000
male,Josh Lowe,5000
male,Felix Klee,5000
male,Guillaume Larbeyou,5000
male,Jason Schroeder,5000
male,Oliver Zwar,5000
male,Adam Rojcek,5000
male,Francesco Petrucci,5000
male,Shaun Richards,5000
male,Carlos Von Heyden Langelaan,5000
