name,uci,cost
Rachel Atherton,10003434487,675000
Myriam Nicole,10004535237,625000
Tracey Hannah,10003732258,600000
Tahnee Seagrave,10007414016,600000
Cecile Ravanel,10002816317,500000
Emilie Siegenthaler,10004167243,425000
Eleonora Farina,10010007855,320000
Marine Cabirou,10009563069,275000
Miranda Miller,10005872726,250000
Morgane Charre,10006509690,250000
Carina Cappellari,10006911535,160000
Mariana Salazar,10007687838,160000
Monika Hrastnik,10017602955,150000
Vaea Verbeeck,10006526969,140000
Alia Marcellini,10006825649,125000
Frida Ronning,10008084326,100000
Veronika Widmann,10007423312,100000
Sandra Rubesam,10052523258,75000
Tegan Molloy,10008826980,50000
Eva Battolla,10010936631,25000
Camila Nogueira,10008589635,10000
Lea Salome Rutz,10010012000,10000
